file,kernel,value,unit
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Copy,1712780.067,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Mul,1443628.256,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Add,1469349.477,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Triad,1463102.72,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Dot,1306891.217,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Copy,1716448.98,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Mul,1445338.301,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Add,1471631.826,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Triad,1463847.396,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/110_babelstream_gpu0.log,Dot,1305842.22,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Copy,1713436.032,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Mul,1444249.622,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Add,1471658.72,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Triad,1463900.616,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Dot,1320975.621,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Copy,1709671.078,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Mul,1440220.275,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Add,1470073.691,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Triad,1464752.666,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/111_babelstream_numa1_gpu.log,Dot,1306827.594,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/110_babelstream_gpu0.log,Copy,1718316.835,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/110_babelstream_gpu0.log,Mul,1449905.239,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/110_babelstream_gpu0.log,Add,1471795.891,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/110_babelstream_gpu0.log,Triad,1469001.036,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/110_babelstream_gpu0.log,Dot,1321691.068,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/111_babelstream_numa1_gpu.log,Copy,1718151.861,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/111_babelstream_numa1_gpu.log,Mul,1447329.378,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/111_babelstream_numa1_gpu.log,Add,1471661.409,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/111_babelstream_numa1_gpu.log,Triad,1464329.18,MBytes/sec
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/111_babelstream_numa1_gpu.log,Dot,1318124.798,MBytes/sec
