file,label,kind,tp,network_provenance,cap_gbit,size_label,size_bytes,time_us,algbw_GBs,busbw_GBs,parse_index,raw_line
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/120_ar_tp4_16k.log,120_ar_tp4_16k,ALLREDUCE,4,,,16K,16384,20.17,0.81,1.22,5,16384          4096     float     sum      -1    20.17    0.81    1.22       0    17.76    0.92    1.38       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/120_ar_tp4_128k.log,120_ar_tp4_128k,ALLREDUCE,4,,,128K,131072,20.73,6.32,9.49,5,131072         32768     float     sum      -1    20.73    6.32    9.49       0    17.93    7.31   10.96       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/120_ar_tp4_512k.log,120_ar_tp4_512k,ALLREDUCE,4,,,512K,524288,47.81,10.97,16.45,5,524288        131072     float     sum      -1    47.81   10.97   16.45       0    45.52   11.52   17.28       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/120_ar_tp4_64m.log,120_ar_tp4_64m,ALLREDUCE,4,,,64M,67108864,2599.87,25.81,38.72,5,67108864      16777216     float     sum      -1  2599.87   25.81   38.72       0  2595.97   25.85   38.78       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/120_ar_tp4_128m.log,120_ar_tp4_128m,ALLREDUCE,4,,,128M,134217728,5164.9,25.99,38.98,5,134217728      33554432     float     sum      -1  5164.90   25.99   38.98       0  5164.94   25.99   38.98       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/120_ar_tp4_256m.log,120_ar_tp4_256m,ALLREDUCE,4,,,256M,268435456,10258.2,26.17,39.25,5,268435456      67108864     float     sum      -1  10258.2   26.17   39.25       0  10231.8   26.24   39.35       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/122_ar_tp4_curve.log,122_ar_tp4_curve,ALLREDUCE,4,,,,8,18.88,0.0,0.0,5,8             2     float     sum      -1    18.88    0.00    0.00       0    16.00    0.00    0.00       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/120_ar_tp4_16k.log,120_ar_tp4_16k,ALLREDUCE,4,,,16K,16384,17.93,0.91,1.37,5,16384          4096     float     sum      -1    17.93    0.91    1.37       0    16.64    0.98    1.48       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/120_ar_tp4_128k.log,120_ar_tp4_128k,ALLREDUCE,4,,,128K,131072,21.21,6.18,9.27,5,131072         32768     float     sum      -1    21.21    6.18    9.27       0    17.84    7.35   11.02       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/120_ar_tp4_512k.log,120_ar_tp4_512k,ALLREDUCE,4,,,512K,524288,47.47,11.05,16.57,5,524288        131072     float     sum      -1    47.47   11.05   16.57       0    44.81   11.70   17.55       0
