size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,ALLGATHER,Capped 100 Gbps,100,804.88,0.0102,0.0095
16384,16 KiB (Decode Token),4096,ALLGATHER,Capped 100 Gbps,100,910.01,0.018,0.0169
32768,32 KiB,8192,ALLGATHER,Capped 100 Gbps,100,1232.14,0.0266,0.0249
65536,64 KiB,16384,ALLGATHER,Capped 100 Gbps,100,935.81,0.07,0.0657
131072,128 KiB,32768,ALLGATHER,Capped 100 Gbps,100,1063.83,0.1232,0.1155
262144,256 KiB,65536,ALLGATHER,Capped 100 Gbps,100,2398.76,0.1093,0.1025
524288,512 KiB,131072,ALLGATHER,Capped 100 Gbps,100,2334.14,0.2246,0.2106
1048576,1 MiB,262144,ALLGATHER,Capped 100 Gbps,100,2624.35,0.3996,0.3746
2097152,2 MiB,524288,ALLGATHER,Capped 100 Gbps,100,2340.1,0.8962,0.8402
4194304,4 MiB,1048576,ALLGATHER,Capped 100 Gbps,100,2476.07,1.6939,1.5881
8388608,8 MiB,2097152,ALLGATHER,Capped 100 Gbps,100,2505.88,3.3476,3.1383
16777216,16 MiB,4194304,ALLGATHER,Capped 100 Gbps,100,1326.83,12.6446,11.8543
33554432,32 MiB,8388608,ALLGATHER,Capped 100 Gbps,100,992.74,33.7998,31.6873
67108864,64 MiB,16777216,ALLGATHER,Capped 100 Gbps,100,1729.68,38.7984,36.3735
134217728,128 MiB (8K Prefill),33554432,ALLGATHER,Capped 100 Gbps,100,1693.08,79.2743,74.3197
268435456,256 MiB,67108864,ALLGATHER,Capped 100 Gbps,100,3826.98,70.1429,65.759
