size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,ALLGATHER,GCP Native (173.58 Gbps),175,697.07,0.0118,0.011
16384,16 KiB (Decode Token),4096,ALLGATHER,GCP Native (173.58 Gbps),175,693.16,0.0236,0.0222
32768,32 KiB,8192,ALLGATHER,GCP Native (173.58 Gbps),175,1616.22,0.0203,0.019
65536,64 KiB,16384,ALLGATHER,GCP Native (173.58 Gbps),175,1342.46,0.0488,0.0458
131072,128 KiB,32768,ALLGATHER,GCP Native (173.58 Gbps),175,1877.78,0.0698,0.0654
262144,256 KiB,65536,ALLGATHER,GCP Native (173.58 Gbps),175,2857.38,0.0917,0.086
524288,512 KiB,131072,ALLGATHER,GCP Native (173.58 Gbps),175,2802.87,0.1871,0.1754
1048576,1 MiB,262144,ALLGATHER,GCP Native (173.58 Gbps),175,3210.22,0.3266,0.3062
2097152,2 MiB,524288,ALLGATHER,GCP Native (173.58 Gbps),175,2228.6,0.941,0.8822
4194304,4 MiB,1048576,ALLGATHER,GCP Native (173.58 Gbps),175,2186.36,1.9184,1.7985
8388608,8 MiB,2097152,ALLGATHER,GCP Native (173.58 Gbps),175,2312.65,3.6273,3.4006
16777216,16 MiB,4194304,ALLGATHER,GCP Native (173.58 Gbps),175,2745.23,6.1114,5.7294
33554432,32 MiB,8388608,ALLGATHER,GCP Native (173.58 Gbps),175,2167.63,15.4798,14.5123
67108864,64 MiB,16777216,ALLGATHER,GCP Native (173.58 Gbps),175,2592.2,25.8888,24.2707
134217728,128 MiB (8K Prefill),33554432,ALLGATHER,GCP Native (173.58 Gbps),175,3831.54,35.0297,32.8404
268435456,256 MiB,67108864,ALLGATHER,GCP Native (173.58 Gbps),175,5663.59,47.3967,44.4344
