size_bytes,payload_label,collective,native_175g_time_us,capped_100g_time_us,capped_50g_time_us,capped_20g_time_us,capped_10g_time_us
8192,8 KiB (Min Size 8KB),ALLGATHER,697.07,804.88,1097.74,889.74,1084.19
16384,16 KiB (Decode Token),ALLGATHER,693.16,910.01,686.53,1628.75,1080.64
32768,32 KiB,ALLGATHER,1616.22,1232.14,3397.29,1077.39,1269.8
65536,64 KiB,ALLGATHER,1342.46,935.81,1323.03,1289.95,1064.91
131072,128 KiB,ALLGATHER,1877.78,1063.83,1233.66,2146.16,1289.04
262144,256 KiB,ALLGATHER,2857.38,2398.76,1115.58,1972.34,1763.09
524288,512 KiB,ALLGATHER,2802.87,2334.14,1694.46,1135.49,1733.48
1048576,1 MiB,ALLGATHER,3210.22,2624.35,1369.7,1315.91,1414.0
2097152,2 MiB,ALLGATHER,2228.6,2340.1,1151.62,1583.6,1569.34
4194304,4 MiB,ALLGATHER,2186.36,2476.07,1373.82,1985.78,1876.84
8388608,8 MiB,ALLGATHER,2312.65,2505.88,1444.13,2938.21,1790.38
16777216,16 MiB,ALLGATHER,2745.23,1326.83,1435.46,2709.49,2229.05
33554432,32 MiB,ALLGATHER,2167.63,992.74,1140.78,1683.65,3004.45
67108864,64 MiB,ALLGATHER,2592.2,1729.68,1369.72,1463.63,2060.34
134217728,128 MiB (8K Prefill),ALLGATHER,3831.54,1693.08,2688.51,2748.86,4028.26
268435456,256 MiB,ALLGATHER,5663.59,3826.98,3105.11,4594.36,4809.03
