size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,REDUCESCATTER,Capped 10 Gbps,10,1131.84,0.0072,0.0068
16384,16 KiB (Decode Token),4096,REDUCESCATTER,Capped 10 Gbps,10,673.85,0.0243,0.0228
32768,32 KiB,8192,REDUCESCATTER,Capped 10 Gbps,10,1008.85,0.0325,0.0305
65536,64 KiB,16384,REDUCESCATTER,Capped 10 Gbps,10,1067.17,0.0614,0.0576
131072,128 KiB,32768,REDUCESCATTER,Capped 10 Gbps,10,1307.66,0.1002,0.094
262144,256 KiB,65536,REDUCESCATTER,Capped 10 Gbps,10,1980.19,0.1324,0.1241
524288,512 KiB,131072,REDUCESCATTER,Capped 10 Gbps,10,2673.02,0.1961,0.1839
1048576,1 MiB,262144,REDUCESCATTER,Capped 10 Gbps,10,2752.27,0.381,0.3572
2097152,2 MiB,524288,REDUCESCATTER,Capped 10 Gbps,10,1965.0,1.0673,1.0005
4194304,4 MiB,1048576,REDUCESCATTER,Capped 10 Gbps,10,1455.81,2.8811,2.701
8388608,8 MiB,2097152,REDUCESCATTER,Capped 10 Gbps,10,2218.42,3.7813,3.545
16777216,16 MiB,4194304,REDUCESCATTER,Capped 10 Gbps,10,2071.04,8.1009,7.5946
33554432,32 MiB,8388608,REDUCESCATTER,Capped 10 Gbps,10,2609.39,12.8591,12.0554
67108864,64 MiB,16777216,REDUCESCATTER,Capped 10 Gbps,10,1224.81,54.7912,51.3668
134217728,128 MiB (8K Prefill),33554432,REDUCESCATTER,Capped 10 Gbps,10,2616.83,51.2902,48.0846
268435456,256 MiB,67108864,REDUCESCATTER,Capped 10 Gbps,10,5159.74,52.025,48.7734
