size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,REDUCESCATTER,GCP Native (173.58 Gbps),175,1275.84,0.0064,0.006
16384,16 KiB (Decode Token),4096,REDUCESCATTER,GCP Native (173.58 Gbps),175,1036.16,0.0158,0.0148
32768,32 KiB,8192,REDUCESCATTER,GCP Native (173.58 Gbps),175,688.39,0.0476,0.0446
65536,64 KiB,16384,REDUCESCATTER,GCP Native (173.58 Gbps),175,1010.15,0.0649,0.0608
131072,128 KiB,32768,REDUCESCATTER,GCP Native (173.58 Gbps),175,1086.57,0.1206,0.1131
262144,256 KiB,65536,REDUCESCATTER,GCP Native (173.58 Gbps),175,1087.5,0.2411,0.226
524288,512 KiB,131072,REDUCESCATTER,GCP Native (173.58 Gbps),175,1088.42,0.4817,0.4516
1048576,1 MiB,262144,REDUCESCATTER,GCP Native (173.58 Gbps),175,1088.16,0.9636,0.9034
2097152,2 MiB,524288,REDUCESCATTER,GCP Native (173.58 Gbps),175,1133.02,1.8509,1.7353
4194304,4 MiB,1048576,REDUCESCATTER,GCP Native (173.58 Gbps),175,1081.14,3.8795,3.637
8388608,8 MiB,2097152,REDUCESCATTER,GCP Native (173.58 Gbps),175,3504.41,2.3937,2.2441
16777216,16 MiB,4194304,REDUCESCATTER,GCP Native (173.58 Gbps),175,1743.61,9.6221,9.0207
33554432,32 MiB,8388608,REDUCESCATTER,GCP Native (173.58 Gbps),175,1010.44,33.2077,31.1323
67108864,64 MiB,16777216,REDUCESCATTER,GCP Native (173.58 Gbps),175,1542.36,43.5105,40.7911
134217728,128 MiB (8K Prefill),33554432,REDUCESCATTER,GCP Native (173.58 Gbps),175,4759.64,28.1991,26.4367
268435456,256 MiB,67108864,REDUCESCATTER,GCP Native (173.58 Gbps),175,3472.8,77.2965,72.4655
