size_bytes,payload_label,collective,native_175g_time_us,capped_100g_time_us,capped_50g_time_us,capped_20g_time_us,capped_10g_time_us
8192,8 KiB (Min Size 8KB),REDUCESCATTER,1275.84,1099.32,465.42,523.88,1131.84
16384,16 KiB (Decode Token),REDUCESCATTER,1036.16,1185.05,1083.68,881.89,673.85
32768,32 KiB,REDUCESCATTER,688.39,889.65,1085.65,1095.36,1008.85
65536,64 KiB,REDUCESCATTER,1010.15,2172.28,1302.12,999.63,1067.17
131072,128 KiB,REDUCESCATTER,1086.57,2127.35,826.42,521.23,1307.66
262144,256 KiB,REDUCESCATTER,1087.5,2045.58,1006.23,1286.75,1980.19
524288,512 KiB,REDUCESCATTER,1088.42,2317.84,1178.08,1591.6,2673.02
1048576,1 MiB,REDUCESCATTER,1088.16,2565.1,4024.08,1062.34,2752.27
2097152,2 MiB,REDUCESCATTER,1133.02,2030.42,2172.96,828.59,1965.0
4194304,4 MiB,REDUCESCATTER,1081.14,2497.94,2539.43,935.45,1455.81
8388608,8 MiB,REDUCESCATTER,3504.41,2578.62,2375.11,760.84,2218.42
16777216,16 MiB,REDUCESCATTER,1743.61,1927.85,2105.82,2704.6,2071.04
33554432,32 MiB,REDUCESCATTER,1010.44,1852.14,2284.46,2168.06,2609.39
67108864,64 MiB,REDUCESCATTER,1542.36,3021.99,1911.39,2359.0,1224.81
134217728,128 MiB (8K Prefill),REDUCESCATTER,4759.64,3295.01,4106.93,3730.8,2616.83
268435456,256 MiB,REDUCESCATTER,3472.8,4874.06,6131.61,3393.18,5159.74
