size_bytes,payload_label,elements,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,GCP Native (173.58 Gbps),175,875.35,0.0094,0.0175
16384,16 KiB (Decode Token),4096,GCP Native (173.58 Gbps),175,1246.64,0.0131,0.0246
32768,32 KiB,8192,GCP Native (173.58 Gbps),175,1731.7,0.0189,0.0355
65536,64 KiB,16384,GCP Native (173.58 Gbps),175,1243.02,0.0527,0.0989
131072,128 KiB,32768,GCP Native (173.58 Gbps),175,2562.07,0.0512,0.0959
262144,256 KiB,65536,GCP Native (173.58 Gbps),175,2573.75,0.1019,0.191
524288,512 KiB,131072,GCP Native (173.58 Gbps),175,2027.51,0.2586,0.4849
1048576,1 MiB,262144,GCP Native (173.58 Gbps),175,1574.11,0.6661,1.249
2097152,2 MiB,524288,GCP Native (173.58 Gbps),175,2284.65,0.9179,1.7211
4194304,4 MiB,1048576,GCP Native (173.58 Gbps),175,1926.86,2.1768,4.0814
8388608,8 MiB,2097152,GCP Native (173.58 Gbps),175,1507.38,5.565,10.4344
16777216,16 MiB,4194304,GCP Native (173.58 Gbps),175,1585.11,10.5843,19.8455
33554432,32 MiB,8388608,GCP Native (173.58 Gbps),175,1731.01,19.3843,36.3456
67108864,64 MiB,16777216,GCP Native (173.58 Gbps),175,3199.9,20.9722,39.3228
134217728,128 MiB (8K Prefill),33554432,GCP Native (173.58 Gbps),175,2413.68,55.6071,104.2633
268435456,256 MiB,67108864,GCP Native (173.58 Gbps),175,4345.41,61.7745,115.8272
