size_bytes,payload_label,elements,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,Capped 50 Gbps,50,1077.8,0.0076,0.0143
16384,16 KiB (Decode Token),4096,Capped 50 Gbps,50,993.69,0.0165,0.0309
32768,32 KiB,8192,Capped 50 Gbps,50,820.47,0.0399,0.0749
65536,64 KiB,16384,Capped 50 Gbps,50,1143.45,0.0573,0.1075
131072,128 KiB,32768,Capped 50 Gbps,50,1792.27,0.0731,0.1371
262144,256 KiB,65536,Capped 50 Gbps,50,2014.39,0.1301,0.244
524288,512 KiB,131072,Capped 50 Gbps,50,2084.3,0.2515,0.4716
1048576,1 MiB,262144,Capped 50 Gbps,50,1645.7,0.6372,1.1947
2097152,2 MiB,524288,Capped 50 Gbps,50,2183.71,0.9604,1.8007
4194304,4 MiB,1048576,Capped 50 Gbps,50,1490.55,2.8139,5.2761
8388608,8 MiB,2097152,Capped 50 Gbps,50,1696.21,4.9455,9.2728
16777216,16 MiB,4194304,Capped 50 Gbps,50,2006.05,8.3633,15.6812
33554432,32 MiB,8388608,Capped 50 Gbps,50,2149.43,15.6109,29.2703
67108864,64 MiB,16777216,Capped 50 Gbps,50,1919.26,34.966,65.5613
134217728,128 MiB (8K Prefill),33554432,Capped 50 Gbps,50,1919.92,69.908,131.0775
268435456,256 MiB,67108864,Capped 50 Gbps,50,5179.59,51.8256,97.173
