size_bytes,payload_label,native_175g_time_us,native_175g_algbw_gbs,capped_100g_time_us,capped_100g_algbw_gbs,capped_50g_time_us,capped_50g_algbw_gbs,capped_20g_time_us,capped_20g_algbw_gbs,capped_10g_time_us,capped_10g_algbw_gbs
8192,8 KiB (Min Size 8KB),875.35,0.01,825.89,0.01,1077.8,0.01,803.84,0.01,1049.35,0.01
16384,16 KiB (Decode Token),1246.64,0.01,1060.85,0.02,993.69,0.02,1109.31,0.01,1245.8,0.01
32768,32 KiB,1731.7,0.02,827.59,0.04,820.47,0.04,957.58,0.03,1304.49,0.03
65536,64 KiB,1243.02,0.05,951.83,0.07,1143.45,0.06,1310.0,0.05,1370.15,0.05
131072,128 KiB,2562.07,0.05,916.68,0.14,1792.27,0.07,1079.22,0.12,1870.05,0.07
262144,256 KiB,2573.75,0.1,1804.42,0.15,2014.39,0.13,1083.74,0.24,1130.4,0.23
524288,512 KiB,2027.51,0.26,1819.56,0.29,2084.3,0.25,2084.66,0.25,1049.81,0.5
1048576,1 MiB,1574.11,0.67,3432.36,0.31,1645.7,0.64,1835.76,0.57,866.3,1.21
2097152,2 MiB,2284.65,0.92,2207.51,0.95,2183.71,0.96,1809.42,1.16,1105.92,1.9
4194304,4 MiB,1926.86,2.18,1458.04,2.88,1490.55,2.81,2444.81,1.72,1105.55,3.79
8388608,8 MiB,1507.38,5.57,1700.9,4.93,1696.21,4.95,1830.5,4.58,1724.58,4.86
16777216,16 MiB,1585.11,10.58,2606.27,6.44,2006.05,8.36,1901.07,8.83,1592.72,10.53
33554432,32 MiB,1731.01,19.38,1765.17,19.01,2149.43,15.61,1460.02,22.98,2408.94,13.93
67108864,64 MiB,3199.9,20.97,1926.06,34.84,1919.26,34.97,2193.17,30.6,2132.61,31.47
134217728,128 MiB (8K Prefill),2413.68,55.61,3009.81,44.59,1919.92,69.91,2193.05,61.2,2394.3,56.06
268435456,256 MiB,4345.41,61.77,4862.68,55.2,5179.59,51.83,4253.94,63.1,5113.02,52.5
