size_bytes,payload_label,description,local_intra_numa_ms,local_cross_numa_ms,p2p_native_175g_ms,p2p_native_algbw_gbs,p2p_100g_ms,p2p_100g_algbw_gbs,p2p_50g_ms,p2p_50g_algbw_gbs,p2p_20g_ms,p2p_20g_algbw_gbs,p2p_10g_ms,p2p_10g_algbw_gbs,p2p_native_vs_local_intra,p2p_10g_vs_local_intra
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.0091,0.0092,0.0801,0.2,0.0783,0.21,0.0817,0.2,0.0967,0.17,0.1109,0.15,8.80x,12.19x
32768,32.0 KiB,"32.0 KiB",0.0092,0.0115,0.1105,0.3,0.0888,0.37,0.1681,0.19,0.1268,0.26,0.1366,0.24,12.01x,14.85x
65536,64.0 KiB,"64.0 KiB",0.0112,0.0128,0.1361,0.48,0.1557,0.42,0.1232,0.53,0.1322,0.5,0.1164,0.56,12.15x,10.39x
131072,128.0 KiB,"Small Activation (128 KiB)",0.0134,0.0152,0.1944,0.67,3.0297,0.04,0.2092,0.63,0.1896,0.69,0.1969,0.67,14.51x,14.69x
262144,256.0 KiB,"256.0 KiB",0.0181,0.0221,0.2792,0.94,0.2863,0.92,0.2428,1.08,0.2643,0.99,0.2618,1.0,15.43x,14.46x
524288,512.0 KiB,"512.0 KiB",0.0247,0.0356,0.4217,1.24,0.4175,1.26,0.3811,1.38,0.4498,1.17,0.4383,1.2,17.07x,17.74x
1048576,1.0 MiB,"1 MiB Tensor",0.0393,0.0625,0.6315,1.66,0.982,1.07,0.5316,1.97,0.5886,1.78,0.8884,1.18,16.07x,22.61x
2097152,2.0 MiB,"2.0 MiB",0.067,0.1162,1.524,1.38,1.549,1.35,1.0146,2.07,0.9986,2.1,1.9137,1.1,22.75x,28.56x
4194304,4.0 MiB,"4.0 MiB",0.1211,0.2224,1.9447,2.16,2.0052,2.09,2.7329,1.53,1.767,2.37,3.6665,1.14,16.06x,30.28x
8388608,8.0 MiB,"8.0 MiB",0.2394,0.2384,2.9174,2.88,2.987,2.81,2.8662,2.93,3.5216,2.38,7.0664,1.19,12.19x,29.52x
16777216,16.0 MiB,"16 MiB Activation",0.4588,0.4574,5.3436,3.14,5.6649,2.96,6.583,2.55,7.1948,2.33,14.1652,1.18,11.65x,30.87x
33554432,32.0 MiB,"32.0 MiB",0.8996,0.8951,15.3203,2.19,11.8002,2.84,13.1559,2.55,15.243,2.2,28.236,1.19,17.03x,31.39x
67108864,64.0 MiB,"64 MiB Chunk",1.8029,1.7955,22.8137,2.94,20.9585,3.2,20.3424,3.3,30.4593,2.2,56.5672,1.19,12.65x,31.38x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",3.6033,3.5844,52.2815,2.57,48.8725,2.75,50.1481,2.68,60.7517,2.21,112.725,1.19,14.51x,31.28x
268435456,256.0 MiB,"Large Prefill (256 MiB)",7.1798,7.1432,97.5356,2.75,102.484,2.62,106.685,2.52,116.671,2.3,225.356,1.19,13.58x,31.39x
