collective,size_bytes,payload_label,description,tp8_local_latency_ms,tp8_local_algbw_gbs,tp16_native_175g_ms,tp16_native_algbw_gbs,tp16_100g_ms,tp16_100g_algbw_gbs,tp16_50g_ms,tp16_50g_algbw_gbs,tp16_20g_ms,tp16_20g_algbw_gbs,tp16_10g_ms,tp16_10g_algbw_gbs,tp16_native_vs_tp8_local,tp16_10g_vs_tp8_local
AllReduce,16384,16 KiB,Batch-1 Token Decode,0.028,0.58,0.273,0.06,0.302,0.05,0.276,0.06,0.275,0.06,0.276,0.06,9.72x,9.81x
AllReduce,32768,32 KiB,32 KiB,0.03,1.09,0.279,0.12,0.317,0.1,0.286,0.11,0.284,0.12,0.288,0.11,9.28x,9.57x
AllReduce,65536,64 KiB,64 KiB,0.035,1.86,0.277,0.24,0.321,0.2,0.294,0.22,0.291,0.23,0.303,0.22,7.87x,8.61x
AllReduce,131072,128 KiB,Small Activation,0.05,2.62,0.477,0.27,0.47,0.28,0.381,0.34,0.401,0.33,0.423,0.31,9.54x,8.47x
AllReduce,262144,256 KiB,256 KiB,0.087,3.0,0.394,0.66,0.447,0.59,0.407,0.64,0.474,0.55,0.845,0.31,4.51x,9.68x
AllReduce,524288,512 KiB,512 KiB,0.162,3.24,0.472,1.11,0.617,0.85,0.475,1.1,0.849,0.62,1.652,0.32,2.91x,10.19x
AllReduce,1048576,1 MiB,1 MiB Tensor,0.138,7.57,0.668,1.57,0.889,1.18,0.697,1.5,1.722,0.61,3.297,0.32,4.83x,23.81x
AllReduce,2097152,2 MiB,2 MiB,0.231,9.08,0.843,2.49,0.941,2.23,0.793,2.65,1.651,1.27,3.303,0.64,3.65x,14.29x
AllReduce,4194304,4 MiB,4 MiB,0.355,11.83,1.312,3.2,1.124,3.73,1.366,3.07,3.298,1.27,6.591,0.64,3.70x,18.59x
AllReduce,8388608,8 MiB,8 MiB,0.656,12.79,2.07,4.05,2.812,2.98,2.639,3.18,6.586,1.27,13.183,0.64,3.16x,20.10x
AllReduce,16777216,16 MiB,16 MiB Activation,1.217,13.79,3.296,5.09,4.028,4.17,5.269,3.18,13.178,1.27,26.38,0.64,2.71x,21.68x
AllReduce,33554432,32 MiB,32 MiB,2.378,14.11,5.572,6.02,7.231,4.64,10.538,3.18,26.349,1.27,52.727,0.64,2.34x,22.17x
AllReduce,67108864,64 MiB,64 MiB Chunk,4.64,14.46,11.243,5.97,13.002,5.16,21.062,3.19,52.681,1.27,105.436,0.64,2.42x,22.72x
AllReduce,134217728,128 MiB,8K Prefill Chunk (128 MiB),9.021,14.88,23.025,5.83,25.195,5.33,42.149,3.18,105.424,1.27,210.938,0.64,2.55x,23.38x
AllReduce,268435456,256 MiB,Large Prefill (256 MiB),18.006,14.91,45.886,5.85,50.035,5.36,84.373,3.18,210.896,1.27,421.903,0.64,2.55x,23.43x
AllGather,16384,16 KiB,Batch-1 Token Decode,0.016,0.99,0.132,0.12,0.134,0.12,0.182,0.09,0.138,0.12,0.145,0.11,7.99x,8.80x
AllGather,32768,32 KiB,32 KiB,0.019,1.74,0.136,0.24,0.139,0.24,0.207,0.16,0.152,0.22,0.149,0.22,7.21x,7.91x
AllGather,65536,64 KiB,64 KiB,0.02,3.34,0.148,0.44,0.141,0.46,0.183,0.36,0.149,0.44,0.151,0.43,7.54x,7.72x
AllGather,131072,128 KiB,Small Activation,0.031,4.28,0.195,0.67,0.192,0.68,0.187,0.7,0.224,0.58,0.258,0.51,6.36x,8.45x
AllGather,262144,256 KiB,256 KiB,0.047,5.55,0.213,1.23,0.202,1.3,0.208,1.26,0.249,1.05,0.427,0.61,4.51x,9.02x
AllGather,524288,512 KiB,512 KiB,0.083,6.29,0.228,2.3,0.246,2.13,0.243,2.16,0.429,1.22,0.825,0.64,2.74x,9.90x
AllGather,1048576,1 MiB,1 MiB Tensor,0.075,13.9,0.282,3.72,0.263,3.98,0.293,3.58,0.43,2.44,0.825,1.27,3.74x,10.94x
AllGather,2097152,2 MiB,2 MiB,0.118,17.83,0.484,4.33,0.494,4.24,0.458,4.57,0.831,2.52,1.65,1.27,4.11x,14.03x
AllGather,4194304,4 MiB,4 MiB,0.181,23.19,0.598,7.02,0.565,7.42,0.736,5.7,1.645,2.55,3.288,1.28,3.31x,18.18x
AllGather,8388608,8 MiB,8 MiB,0.334,25.15,0.94,8.92,1.077,7.79,1.336,6.28,3.288,2.55,6.592,1.27,2.82x,19.77x
AllGather,16777216,16 MiB,16 MiB Activation,0.634,26.45,1.498,11.2,1.941,8.65,2.636,6.37,6.61,2.54,13.158,1.27,2.36x,20.74x
AllGather,33554432,32 MiB,32 MiB,1.24,27.07,2.601,12.9,3.798,8.84,5.262,6.38,13.211,2.54,26.307,1.28,2.10x,21.22x
AllGather,67108864,64 MiB,64 MiB Chunk,2.461,27.27,4.833,13.88,7.656,8.77,10.51,6.39,26.322,2.55,52.633,1.27,1.96x,21.39x
AllGather,134217728,128 MiB,8K Prefill Chunk (128 MiB),4.896,27.42,9.462,14.19,14.928,8.99,21.057,6.37,52.713,2.55,105.436,1.27,1.93x,21.54x
