size_bytes,payload_label,description,tp8_local_latency_ms,tp8_local_algbw_gbs,tp16_native_175g_ms,tp16_native_algbw_gbs,tp16_100g_ms,tp16_100g_algbw_gbs,tp16_50g_ms,tp16_50g_algbw_gbs,tp16_20g_ms,tp16_20g_algbw_gbs,tp16_10g_ms,tp16_10g_algbw_gbs,tp16_native_vs_tp8_local,tp16_10g_vs_tp8_local
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.017,0.96,0.168,0.1,0.2572,0.06,0.3518,0.05,0.2959,0.06,0.2494,0.07,9.88x,14.67x
32768,32.0 KiB,"32.0 KiB",0.0191,1.72,0.2433,0.13,0.2493,0.13,0.3302,0.1,0.3006,0.11,0.2532,0.13,12.74x,13.26x
65536,64.0 KiB,"64.0 KiB",0.0199,3.29,0.1881,0.35,0.2692,0.24,0.3353,0.2,0.3168,0.21,0.2696,0.24,9.45x,13.55x
131072,128.0 KiB,"Small Activation (128 KiB)",0.029,4.52,0.4189,0.31,0.5581,0.23,0.5557,0.24,0.5978,0.22,0.8502,0.15,14.44x,29.32x
262144,256.0 KiB,"256.0 KiB",0.0471,5.57,0.4828,0.54,0.5841,0.45,0.6157,0.43,0.5774,0.45,0.6205,0.42,10.25x,13.17x
524288,512.0 KiB,"512.0 KiB",0.0828,6.33,0.5057,1.04,0.727,0.72,0.6236,0.84,0.7516,0.7,0.8292,0.63,6.11x,10.01x
1048576,1.0 MiB,"1 MiB Tensor",0.0754,13.9,0.4727,2.22,0.6436,1.63,0.814,1.29,0.6816,1.54,0.8177,1.28,6.27x,10.84x
2097152,2.0 MiB,"2.0 MiB",0.1169,17.93,0.8363,2.51,1.1694,1.79,1.0559,1.99,1.1125,1.89,1.7481,1.2,7.15x,14.95x
4194304,4.0 MiB,"4.0 MiB",0.1803,23.27,1.1959,3.51,1.3787,3.04,1.4349,2.92,1.6589,2.53,3.6678,1.14,6.63x,20.34x
8388608,8.0 MiB,"8.0 MiB",0.3314,25.31,1.879,4.46,2.4695,3.4,2.5197,3.33,3.2909,2.55,8.7157,0.96,5.67x,26.30x
16777216,16.0 MiB,"16 MiB Activation",0.6324,26.53,2.8857,5.81,4.289,3.91,4.9854,3.37,6.5791,2.55,17.365,0.97,4.56x,27.46x
33554432,32.0 MiB,"32.0 MiB",1.2328,27.22,5.103,6.58,6.3919,5.25,6.9559,4.82,13.2721,2.53,33.801,0.99,4.14x,27.42x
67108864,64.0 MiB,"64 MiB Chunk",2.4522,27.37,9.7939,6.85,14.1904,4.73,11.8104,5.68,26.6436,2.52,66.4427,1.01,3.99x,27.10x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",4.8901,27.45,19.8085,6.78,23.212,5.78,23.7847,5.64,53.1594,2.52,128.408,1.05,4.05x,26.26x
268435456,256.0 MiB,"Large Prefill (256 MiB)",9.7558,27.52,39.6986,6.76,47.2889,5.68,48.2458,5.56,106.115,2.53,240.833,1.11,4.07x,24.69x
