size_bytes,payload_label,description,tp8_local_latency_ms,tp8_local_algbw_gbs,tp16_native_175g_ms,tp16_native_algbw_gbs,tp16_100g_ms,tp16_100g_algbw_gbs,tp16_50g_ms,tp16_50g_algbw_gbs,tp16_20g_ms,tp16_20g_algbw_gbs,tp16_10g_ms,tp16_10g_algbw_gbs,tp16_native_vs_tp8_local,tp16_10g_vs_tp8_local
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.028,0.58,0.3469,0.05,0.665,0.02,0.6606,0.02,0.6481,0.03,0.5005,0.03,12.39x,17.87x
32768,32.0 KiB,"32.0 KiB",0.0302,1.09,0.3499,0.09,0.7053,0.05,0.6975,0.05,0.6679,0.05,0.5337,0.06,11.59x,17.67x
65536,64.0 KiB,"64.0 KiB",0.0318,2.06,0.3661,0.18,0.6701,0.1,0.7389,0.09,0.6534,0.1,0.5947,0.11,11.51x,18.70x
131072,128.0 KiB,"Small Activation (128 KiB)",0.0502,2.61,1.2057,0.11,1.198,0.11,1.0833,0.12,1.2555,0.1,0.9921,0.13,24.02x,19.76x
262144,256.0 KiB,"256.0 KiB",0.0876,2.99,0.9565,0.27,1.2662,0.21,1.1447,0.23,1.2731,0.21,3.8165,0.07,10.92x,43.57x
524288,512.0 KiB,"512.0 KiB",0.1617,3.24,1.2391,0.42,2.5721,0.2,1.2422,0.42,1.2668,0.41,1.6462,0.32,7.66x,10.18x
1048576,1.0 MiB,"1 MiB Tensor",0.138,7.6,1.3096,0.8,1.8664,0.56,1.5966,0.66,1.9049,0.55,3.7103,0.28,9.49x,26.89x
2097152,2.0 MiB,"2.0 MiB",0.2278,9.21,1.8392,1.14,2.1422,0.98,2.1346,0.98,2.2101,0.95,3.3877,0.62,8.07x,14.87x
4194304,4.0 MiB,"4.0 MiB",0.3474,12.07,2.1673,1.94,2.4769,1.69,3.0339,1.38,3.5195,1.19,7.4836,0.56,6.24x,21.54x
8388608,8.0 MiB,"8.0 MiB",0.6496,12.91,3.1203,2.69,4.2585,1.97,4.2463,1.98,6.5922,1.27,13.1623,0.64,4.80x,20.26x
16777216,16.0 MiB,"16 MiB Activation",1.2196,13.76,6.0413,2.78,8.4305,1.99,7.7449,2.17,13.163,1.27,26.3159,0.64,4.95x,21.58x
33554432,32.0 MiB,"32.0 MiB",2.3624,14.2,10.0583,3.34,12.5644,2.67,13.1984,2.54,26.2947,1.28,52.5258,0.64,4.26x,22.23x
67108864,64.0 MiB,"64 MiB Chunk",4.7489,14.13,19.9271,3.37,23.8103,2.82,23.2063,2.89,52.5422,1.28,105.077,0.64,4.20x,22.13x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",9.4087,14.27,40.1472,3.34,47.6823,2.81,45.3802,2.96,105.317,1.27,210.665,0.64,4.27x,22.39x
268435456,256.0 MiB,"Large Prefill (256 MiB)",18.0108,14.9,80.4723,3.34,95.714,2.8,91.1325,2.95,210.864,1.27,421.783,0.64,4.47x,23.42x
