size_bytes,payload_label,description,tp8_local_latency_ms,tp8_local_algbw_gbs,tp16_native_175g_ms,tp16_native_algbw_gbs,tp16_100g_ms,tp16_100g_algbw_gbs,tp16_50g_ms,tp16_50g_algbw_gbs,tp16_20g_ms,tp16_20g_algbw_gbs,tp16_10g_ms,tp16_10g_algbw_gbs,tp16_native_vs_tp8_local,tp16_10g_vs_tp8_local
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.0134,1.22,0.3327,0.05,0.8749,0.02,0.8645,0.02,0.9054,0.02,0.8392,0.02,24.83x,62.63x
32768,32.0 KiB,"32.0 KiB",0.0834,0.39,0.6008,0.05,0.8868,0.04,1.4048,0.02,0.9161,0.04,1.0641,0.03,7.20x,12.76x
65536,64.0 KiB,"64.0 KiB",0.0272,2.41,0.3342,0.2,1.1982,0.05,1.0143,0.06,1.0259,0.06,0.9352,0.07,12.29x,34.38x
131072,128.0 KiB,"Small Activation (128 KiB)",0.0462,2.83,0.3741,0.35,1.0417,0.13,1.043,0.13,1.052,0.12,1.0438,0.13,8.10x,22.59x
262144,256.0 KiB,"256.0 KiB",0.0296,8.86,0.5893,0.44,1.5292,0.17,1.0989,0.24,1.1007,0.24,1.1478,0.23,19.91x,38.78x
524288,512.0 KiB,"512.0 KiB",0.0448,11.7,0.512,1.02,1.1943,0.44,1.2013,0.44,1.2426,0.42,2.5427,0.21,11.43x,56.76x
1048576,1.0 MiB,"1 MiB Tensor",0.0758,13.84,0.9222,1.14,2.2831,0.46,2.7147,0.39,2.4735,0.42,6.32,0.17,12.17x,83.38x
2097152,2.0 MiB,"2.0 MiB",0.1353,15.5,2.2468,0.93,3.509,0.6,2.9256,0.72,5.5052,0.38,13.0088,0.16,16.61x,96.15x
4194304,4.0 MiB,"4.0 MiB",0.2477,16.94,2.6194,1.6,4.9816,0.84,4.9599,0.85,12.4573,0.34,46.0173,0.09,10.57x,185.78x
8388608,8.0 MiB,"8.0 MiB",0.4625,18.14,4.7197,1.78,8.9384,0.94,8.603,0.98,40.167,0.21,88.4205,0.09,10.20x,191.18x
16777216,16.0 MiB,"16 MiB Activation",0.8534,19.66,8.61,1.95,13.9181,1.21,21.3211,0.79,48.7139,0.34,109.876,0.15,10.09x,128.75x
33554432,32.0 MiB,"32.0 MiB",1.6938,19.81,15.1691,2.21,27.4917,1.22,36.7205,0.91,109.296,0.31,213.656,0.16,8.96x,126.14x
67108864,64.0 MiB,"64 MiB Chunk",3.3158,20.24,28.0007,2.4,54.1517,1.24,83.9586,0.8,191.761,0.35,374.222,0.18,8.44x,112.86x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",5.7845,23.2,86.3775,1.55,103.378,1.3,151.69,0.88,305.17,0.44,693.116,0.19,14.93x,119.82x
268435456,256.0 MiB,"Large Prefill (256 MiB)",11.0108,24.38,137.362,1.95,194.993,1.38,225.009,1.19,596.686,0.45,1242.26,0.22,12.48x,112.82x
