size_bytes,payload_label,description,tp8_local_latency_ms,tp8_local_algbw_gbs,tp16_native_175g_ms,tp16_native_algbw_gbs,tp16_100g_ms,tp16_100g_algbw_gbs,tp16_50g_ms,tp16_50g_algbw_gbs,tp16_20g_ms,tp16_20g_algbw_gbs,tp16_10g_ms,tp16_10g_algbw_gbs,tp16_native_vs_tp8_local,tp16_10g_vs_tp8_local
8192,8 KiB,Min Size Floor,0.02,0.41,0.454,0.02,0.331,0.02,0.212,0.04,0.212,0.04,0.602,0.01,22.80x,30.21x
16384,16 KiB,Batch-1 Token Decode,0.018,0.9,0.172,0.1,0.207,0.08,0.225,0.07,0.202,0.08,0.295,0.06,9.47x,16.28x
32768,32 KiB,32 KiB,0.019,1.72,0.175,0.19,0.212,0.15,0.222,0.15,0.236,0.14,0.332,0.1,9.15x,17.38x
65536,64 KiB,64 KiB,0.02,3.32,0.183,0.36,0.214,0.31,0.231,0.28,0.216,0.3,0.303,0.22,9.26x,15.34x
131072,128 KiB,Small Activation,0.03,4.4,0.358,0.37,0.397,0.33,0.424,0.31,0.43,0.3,0.51,0.26,12.03x,17.13x
262144,256 KiB,256 KiB,0.051,5.18,0.372,0.7,0.55,0.48,0.444,0.59,0.448,0.58,0.514,0.51,7.35x,10.17x
524288,512 KiB,512 KiB,0.091,5.76,0.422,1.24,0.592,0.89,0.471,1.11,0.504,1.04,0.918,0.57,4.63x,10.08x
1048576,1 MiB,1 MiB Tensor,0.076,13.81,0.429,2.45,0.632,1.66,0.472,2.22,0.483,2.17,0.849,1.24,5.64x,11.17x
2097152,2 MiB,2 MiB,0.125,16.77,0.971,2.16,0.935,2.24,0.853,2.46,0.882,2.38,1.641,1.28,7.77x,13.13x
4194304,4 MiB,4 MiB,0.187,22.44,1.178,3.56,1.302,3.22,1.247,3.36,1.803,2.33,3.298,1.27,6.30x,17.64x
8388608,8 MiB,8 MiB,0.349,24.01,1.972,4.25,2.136,3.93,2.203,3.81,3.278,2.56,6.621,1.27,5.64x,18.95x
16777216,16 MiB,16 MiB Activation,0.641,26.18,3.55,4.73,4.56,3.68,3.763,4.46,6.586,2.55,13.151,1.28,5.54x,20.52x
33554432,32 MiB,32 MiB,1.247,26.91,5.916,5.67,5.769,5.82,5.97,5.62,13.169,2.55,26.217,1.28,4.74x,21.02x
67108864,64 MiB,64 MiB Chunk,2.484,27.02,9.07,7.4,9.706,6.91,12.593,5.33,26.231,2.56,52.457,1.28,3.65x,21.12x
134217728,128 MiB,8K Prefill Chunk (128 MiB),4.967,27.02,18.539,7.24,18.903,7.1,21.558,6.23,53.192,2.52,105.581,1.27,3.73x,21.26x
268435456,256 MiB,Large Prefill (256 MiB),9.934,27.02,30.598,8.77,34.59,7.76,42.904,6.26,106.482,2.52,211.135,1.27,3.08x,21.25x
