size_bytes,payload_label,description,tp4_local_latency_ms,tp4_local_algbw_gbs,tp4_multi_native_175g_ms,tp4_multi_native_algbw_gbs,tp4_multi_100g_ms,tp4_multi_100g_algbw_gbs,tp4_multi_50g_ms,tp4_multi_50g_algbw_gbs,tp4_multi_20g_ms,tp4_multi_20g_algbw_gbs,tp4_multi_10g_ms,tp4_multi_10g_algbw_gbs,tp4_multi_native_vs_local,tp4_multi_10g_vs_local
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.0163,1.0,0.1998,0.08,0.1987,0.08,0.3098,0.05,0.2729,0.06,0.2307,0.07,12.26x,14.15x
32768,32.0 KiB,"32.0 KiB",0.0167,1.97,0.2256,0.15,0.313,0.1,0.2561,0.13,0.3767,0.09,0.2709,0.12,13.51x,16.22x
65536,64.0 KiB,"64.0 KiB",0.0179,3.67,0.2648,0.25,0.3259,0.2,1.6054,0.04,0.393,0.17,0.295,0.22,14.79x,16.48x
131072,128.0 KiB,"Small Activation (128 KiB)",0.0265,4.95,0.2718,0.48,0.335,0.39,0.3849,0.34,0.3145,0.42,0.3126,0.42,10.26x,11.80x
262144,256.0 KiB,"256.0 KiB",0.0443,5.92,0.431,0.61,0.4739,0.55,0.6175,0.42,0.6017,0.44,0.6553,0.4,9.73x,14.79x
524288,512.0 KiB,"512.0 KiB",0.079,6.64,0.4039,1.3,0.4937,1.06,0.6596,0.79,0.5343,0.98,0.6553,0.8,5.11x,8.29x
1048576,1.0 MiB,"1 MiB Tensor",0.0913,11.48,0.652,1.61,0.7117,1.47,0.7753,1.35,0.7419,1.41,1.3008,0.81,7.14x,14.25x
2097152,2.0 MiB,"2.0 MiB",0.1522,13.77,0.846,2.48,1.0169,2.06,1.13,1.86,1.3141,1.6,3.0668,0.68,5.56x,20.15x
4194304,4.0 MiB,"4.0 MiB",0.2529,16.58,1.5558,2.7,2.0295,2.07,1.6818,2.49,3.2277,1.3,6.4226,0.65,6.15x,25.40x
8388608,8.0 MiB,"8.0 MiB",0.5212,16.1,2.2914,3.66,3.1441,2.67,2.9205,2.87,5.5338,1.52,14.7303,0.57,4.40x,28.26x
16777216,16.0 MiB,"16 MiB Activation",1.0089,16.63,4.1765,4.02,7.8072,2.15,4.7614,3.52,10.8341,1.55,27.6058,0.61,4.14x,27.36x
33554432,32.0 MiB,"32.0 MiB",2.0027,16.75,7.6174,4.4,9.7179,3.45,9.4887,3.54,22.0588,1.52,53.9461,0.62,3.80x,26.94x
67108864,64.0 MiB,"64 MiB Chunk",3.982,16.85,14.7742,4.54,18.2846,3.67,18.9667,3.54,43.1787,1.55,108.131,0.62,3.71x,27.15x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",7.9026,16.98,29.3915,4.57,36.7501,3.65,37.1083,3.62,85.5209,1.57,213.516,0.63,3.72x,27.02x
268435456,256.0 MiB,"Large Prefill (256 MiB)",15.4135,17.42,58.8072,4.56,75.8913,3.54,74.24,3.62,170.413,1.58,425.734,0.63,3.82x,27.62x
