size_bytes,payload_label,description,tp4_local_latency_ms,tp4_local_algbw_gbs,tp4_multi_native_175g_ms,tp4_multi_native_algbw_gbs,tp4_multi_100g_ms,tp4_multi_100g_algbw_gbs,tp4_multi_50g_ms,tp4_multi_50g_algbw_gbs,tp4_multi_20g_ms,tp4_multi_20g_algbw_gbs,tp4_multi_10g_ms,tp4_multi_10g_algbw_gbs,tp4_multi_native_vs_local,tp4_multi_10g_vs_local
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.0104,1.58,0.1172,0.14,0.1227,0.13,0.1417,0.12,0.125,0.13,0.1304,0.13,11.27x,12.54x
32768,32.0 KiB,"32.0 KiB",0.0127,2.58,0.1307,0.25,0.1345,0.24,0.1545,0.21,0.1379,0.24,0.1646,0.2,10.29x,12.96x
65536,64.0 KiB,"64.0 KiB",0.0172,3.82,0.152,0.43,0.1276,0.51,0.173,0.38,0.1436,0.46,0.1567,0.42,8.84x,9.11x
131072,128.0 KiB,"Small Activation (128 KiB)",0.0178,7.37,0.1694,0.77,0.1638,0.8,0.1681,0.78,0.1935,0.68,0.1509,0.87,9.52x,8.48x
262144,256.0 KiB,"256.0 KiB",0.0223,11.75,1.9673,0.13,0.2181,1.2,2.6288,0.1,0.2577,1.02,1.0042,0.26,88.22x,45.03x
524288,512.0 KiB,"512.0 KiB",0.0323,16.22,0.3158,1.66,0.3398,1.54,0.401,1.31,0.4044,1.3,0.4104,1.28,9.78x,12.71x
1048576,1.0 MiB,"1 MiB Tensor",0.0539,19.44,0.4821,2.18,0.5286,1.98,0.603,1.74,0.5773,1.82,0.9191,1.14,8.94x,17.05x
2097152,2.0 MiB,"2.0 MiB",0.0916,22.88,0.7571,2.77,0.8662,2.42,1.307,1.6,0.9031,2.32,2.4758,0.85,8.27x,27.03x
4194304,4.0 MiB,"4.0 MiB",0.1686,24.88,1.2267,3.42,1.4437,2.91,1.7014,2.47,1.9436,2.16,5.7995,0.72,7.28x,34.40x
8388608,8.0 MiB,"8.0 MiB",0.2984,28.12,3.2006,2.62,3.9046,2.15,3.5741,2.35,5.1215,1.64,12.5867,0.67,10.73x,42.18x
16777216,16.0 MiB,"16 MiB Activation",0.5593,30.0,4.1931,4.0,6.1997,2.71,6.6926,2.51,10.4032,1.61,26.3111,0.64,7.50x,47.04x
33554432,32.0 MiB,"32.0 MiB",1.1485,29.21,7.3451,4.57,10.6784,3.14,12.5203,2.68,21.6331,1.55,52.0044,0.65,6.40x,45.28x
67108864,64.0 MiB,"64 MiB Chunk",2.1901,30.64,14.2255,4.72,18.1159,3.7,21.978,3.05,40.7326,1.65,102.37,0.66,6.50x,46.74x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",4.3146,31.11,29.4215,4.56,38.5216,3.48,40.1546,3.34,77.731,1.73,195.826,0.69,6.82x,45.39x
268435456,256.0 MiB,"Large Prefill (256 MiB)",8.6982,30.86,72.4432,3.71,90.0235,2.98,82.2832,3.26,161.69,1.66,366.344,0.73,8.33x,42.12x
