topology,local_baseline_type,collective,size_bytes,payload_label,description,local_latency_ms,local_algbw_gbs,multi_native_175g_ms,multi_native_algbw_gbs,multi_100g_ms,multi_100g_algbw_gbs,multi_50g_ms,multi_50g_algbw_gbs,multi_20g_ms,multi_20g_algbw_gbs,multi_10g_ms,multi_10g_algbw_gbs,multi_native_vs_local,multi_10g_vs_local
TP=4,Socket-Local Single-NUMA,ReduceScatter,16384,16 KiB,Batch-1 Token Decode,0.011,1.53,0.077,0.21,0.078,0.21,0.076,0.22,0.075,0.22,0.08,0.2,7.19x,7.53x
TP=4,Socket-Local Single-NUMA,ReduceScatter,32768,32 KiB,32 KiB,0.011,2.85,0.088,0.37,0.105,0.31,0.086,0.38,0.087,0.38,0.087,0.38,7.70x,7.59x
TP=4,Socket-Local Single-NUMA,ReduceScatter,65536,64 KiB,64 KiB,0.012,5.25,0.089,0.73,0.108,0.61,0.091,0.72,0.092,0.71,0.09,0.73,7.15x,7.22x
TP=4,Socket-Local Single-NUMA,ReduceScatter,131072,128 KiB,Small Activation,0.018,7.49,0.1,1.31,0.114,1.15,0.098,1.34,0.099,1.32,0.164,0.8,5.72x,9.40x
TP=4,Socket-Local Single-NUMA,ReduceScatter,262144,256 KiB,256 KiB,0.028,9.46,0.16,1.64,0.194,1.35,0.16,1.64,0.165,1.59,0.33,0.79,5.76x,11.90x
TP=4,Socket-Local Single-NUMA,ReduceScatter,524288,512 KiB,512 KiB,0.048,10.86,0.141,3.71,0.163,3.23,0.14,3.74,0.165,3.18,0.329,1.59,2.92x,6.82x
TP=4,Socket-Local Single-NUMA,ReduceScatter,1048576,1 MiB,1 MiB Tensor,0.054,19.44,0.225,4.66,0.253,4.14,0.221,4.75,0.342,3.07,0.677,1.55,4.17x,12.56x
TP=4,Socket-Local Single-NUMA,ReduceScatter,2097152,2 MiB,2 MiB,0.088,23.75,0.285,7.36,0.277,7.56,0.33,6.35,0.668,3.14,1.318,1.59,3.23x,14.93x
TP=4,Socket-Local Single-NUMA,ReduceScatter,4194304,4 MiB,4 MiB,0.144,29.11,0.417,10.06,0.398,10.55,0.534,7.85,1.318,3.18,2.638,1.59,2.89x,18.30x
TP=4,Socket-Local Single-NUMA,ReduceScatter,8388608,8 MiB,8 MiB,0.288,29.16,0.73,11.49,0.67,12.52,1.074,7.81,2.631,3.19,5.271,1.59,2.54x,18.32x
TP=4,Socket-Local Single-NUMA,ReduceScatter,16777216,16 MiB,16 MiB Activation,0.547,30.65,1.393,12.04,1.233,13.61,2.121,7.91,5.262,3.19,10.542,1.59,2.55x,19.26x
TP=4,Socket-Local Single-NUMA,ReduceScatter,33554432,32 MiB,32 MiB,1.078,31.12,2.64,12.71,2.414,13.9,4.225,7.94,10.54,3.18,21.093,1.59,2.45x,19.57x
TP=4,Socket-Local Single-NUMA,ReduceScatter,67108864,64 MiB,64 MiB Chunk,2.141,31.34,5.335,12.58,4.979,13.48,8.451,7.94,21.089,3.18,42.193,1.59,2.49x,19.71x
TP=4,Socket-Local Single-NUMA,ReduceScatter,134217728,128 MiB,8K Prefill Chunk (128 MiB),4.262,31.49,10.688,12.56,9.672,13.88,16.909,7.94,42.192,3.18,84.427,1.59,2.51x,19.81x
TP=4,Socket-Local Single-NUMA,ReduceScatter,268435456,256 MiB,Large Prefill (256 MiB),8.479,31.66,20.978,12.8,18.952,14.16,33.786,7.95,84.503,3.18,168.884,1.59,2.47x,19.92x
