size_bytes,payload_label,description,tp8_local_latency_ms,tp8_local_algbw_gbs,tp8_multi_native_175g_ms,tp8_multi_native_algbw_gbs,tp8_multi_100g_ms,tp8_multi_100g_algbw_gbs,tp8_multi_50g_ms,tp8_multi_50g_algbw_gbs,tp8_multi_20g_ms,tp8_multi_20g_algbw_gbs,tp8_multi_10g_ms,tp8_multi_10g_algbw_gbs,tp8_multi_native_vs_local,tp8_multi_10g_vs_local
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.017,0.96,0.1578,0.1,0.1939,0.08,0.1978,0.08,0.1441,0.11,0.1391,0.12,9.28x,8.18x
32768,32.0 KiB,"32.0 KiB",0.0191,1.72,0.1548,0.21,0.189,0.17,0.1923,0.17,0.2304,0.14,0.1534,0.21,8.10x,8.03x
65536,64.0 KiB,"64.0 KiB",0.0199,3.29,0.7236,0.09,0.3063,0.21,0.31,0.21,0.2505,0.26,0.3405,0.19,36.36x,17.11x
131072,128.0 KiB,"Small Activation (128 KiB)",0.029,4.52,0.3524,0.37,0.3329,0.39,0.3163,0.41,0.2512,0.52,0.2615,0.5,12.15x,9.02x
262144,256.0 KiB,"256.0 KiB",0.0471,5.57,0.2617,1.0,0.4469,0.59,0.3597,0.73,0.2894,0.91,0.3821,0.69,5.56x,8.11x
524288,512.0 KiB,"512.0 KiB",0.0828,6.33,0.6267,0.84,0.3422,1.53,0.347,1.51,0.3303,1.59,0.3749,1.4,7.57x,4.53x
1048576,1.0 MiB,"1 MiB Tensor",0.0754,13.9,0.4743,2.21,0.6391,1.64,0.5846,1.79,0.5134,2.04,0.7663,1.37,6.29x,10.16x
2097152,2.0 MiB,"2.0 MiB",0.1169,17.93,0.7563,2.77,0.8754,2.4,0.7189,2.92,0.7894,2.66,1.7985,1.17,6.47x,15.38x
4194304,4.0 MiB,"4.0 MiB",0.1803,23.27,0.914,4.59,1.1221,3.74,1.118,3.75,1.8458,2.27,3.928,1.07,5.07x,21.79x
8388608,8.0 MiB,"8.0 MiB",0.3314,25.31,1.7331,4.84,3.7228,2.25,1.9607,4.28,4.2547,1.97,7.1008,1.18,5.23x,21.43x
16777216,16.0 MiB,"16 MiB Activation",0.6324,26.53,2.7006,6.21,2.955,5.68,3.4901,4.81,7.2919,2.3,13.0173,1.29,4.27x,20.58x
33554432,32.0 MiB,"32.0 MiB",1.2328,27.22,5.0237,6.68,8.0094,4.19,6.026,5.57,15.3486,2.19,25.4021,1.32,4.08x,20.61x
67108864,64.0 MiB,"64 MiB Chunk",2.4522,27.37,9.1157,7.36,11.0199,6.09,10.9715,6.12,27.7207,2.42,51.3396,1.31,3.72x,20.94x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",4.8901,27.45,18.0735,7.43,21.2265,6.32,21.6683,6.19,52.1281,2.57,102.658,1.31,3.70x,20.99x
268435456,256.0 MiB,"Large Prefill (256 MiB)",9.7558,27.52,36.0664,7.44,42.224,6.36,43.7165,6.14,101.649,2.64,201.018,1.34,3.70x,20.60x
