topology,local_baseline_type,collective,size_bytes,payload_label,description,local_latency_ms,local_algbw_gbs,multi_native_175g_ms,multi_native_algbw_gbs,multi_100g_ms,multi_100g_algbw_gbs,multi_50g_ms,multi_50g_algbw_gbs,multi_20g_ms,multi_20g_algbw_gbs,multi_10g_ms,multi_10g_algbw_gbs,multi_native_vs_local,multi_10g_vs_local
TP=8,Node-Local Dual-Socket,AllReduce,16384,16 KiB,Batch-1 Token Decode,0.028,0.58,0.204,0.08,0.208,0.08,0.21,0.08,0.207,0.08,0.202,0.08,7.27x,7.20x
TP=8,Node-Local Dual-Socket,AllReduce,32768,32 KiB,32 KiB,0.03,1.09,0.21,0.16,0.211,0.16,0.214,0.15,0.21,0.16,0.216,0.15,6.99x,7.19x
TP=8,Node-Local Dual-Socket,AllReduce,65536,64 KiB,64 KiB,0.035,1.86,0.248,0.26,0.294,0.22,0.25,0.26,0.259,0.25,0.255,0.26,7.04x,7.26x
TP=8,Node-Local Dual-Socket,AllReduce,131072,128 KiB,Small Activation,0.05,2.62,0.241,0.54,0.286,0.46,0.256,0.51,0.255,0.51,0.398,0.33,4.81x,7.95x
TP=8,Node-Local Dual-Socket,AllReduce,262144,256 KiB,256 KiB,0.087,3.0,0.272,0.96,0.299,0.88,0.295,0.89,0.385,0.68,0.771,0.34,3.12x,8.83x
TP=8,Node-Local Dual-Socket,AllReduce,524288,512 KiB,512 KiB,0.162,3.24,0.477,1.1,0.466,1.13,0.751,0.7,0.786,0.67,1.54,0.34,2.94x,9.50x
TP=8,Node-Local Dual-Socket,AllReduce,1048576,1 MiB,1 MiB Tensor,0.138,7.57,0.432,2.43,0.469,2.24,0.558,1.88,0.789,1.33,1.542,0.68,3.12x,11.13x
TP=8,Node-Local Dual-Socket,AllReduce,2097152,2 MiB,2 MiB,0.231,9.08,0.582,3.6,0.628,3.34,0.735,2.85,1.551,1.35,3.076,0.68,2.52x,13.31x
TP=8,Node-Local Dual-Socket,AllReduce,4194304,4 MiB,4 MiB,0.355,11.83,0.935,4.49,1.007,4.16,1.389,3.02,3.075,1.36,6.152,0.68,2.64x,17.35x
TP=8,Node-Local Dual-Socket,AllReduce,8388608,8 MiB,8 MiB,0.656,12.79,1.715,4.89,1.431,5.86,2.473,3.39,6.147,1.36,12.3,0.68,2.61x,18.75x
TP=8,Node-Local Dual-Socket,AllReduce,16777216,16 MiB,16 MiB Activation,1.217,13.79,3.306,5.07,2.577,6.51,4.919,3.41,12.316,1.36,24.581,0.68,2.72x,20.20x
TP=8,Node-Local Dual-Socket,AllReduce,33554432,32 MiB,32 MiB,2.378,14.11,6.711,5.0,4.967,6.75,9.837,3.41,24.575,1.37,49.191,0.68,2.82x,20.68x
TP=8,Node-Local Dual-Socket,AllReduce,67108864,64 MiB,64 MiB Chunk,4.64,14.46,13.169,5.1,9.866,6.8,19.672,3.41,49.2,1.36,98.433,0.68,2.84x,21.21x
TP=8,Node-Local Dual-Socket,AllReduce,134217728,128 MiB,8K Prefill Chunk (128 MiB),9.021,14.88,26.222,5.12,19.719,6.81,39.378,3.41,98.43,1.36,196.921,0.68,2.91x,21.83x
TP=8,Node-Local Dual-Socket,AllReduce,268435456,256 MiB,Large Prefill (256 MiB),18.006,14.91,52.552,5.11,39.523,6.79,79.439,3.38,196.873,1.36,393.861,0.68,2.92x,21.87x
