size_bytes,payload_label,description,tp8_local_latency_ms,tp8_local_algbw_gbs,tp8_multi_native_175g_ms,tp8_multi_native_algbw_gbs,tp8_multi_100g_ms,tp8_multi_100g_algbw_gbs,tp8_multi_50g_ms,tp8_multi_50g_algbw_gbs,tp8_multi_20g_ms,tp8_multi_20g_algbw_gbs,tp8_multi_10g_ms,tp8_multi_10g_algbw_gbs,tp8_multi_native_vs_local,tp8_multi_10g_vs_local
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.0175,0.94,0.1389,0.12,0.1349,0.12,0.167,0.1,0.1399,0.12,0.1672,0.1,7.94x,9.55x
32768,32.0 KiB,"32.0 KiB",0.019,1.72,0.2058,0.16,0.1546,0.21,0.2025,0.16,0.1517,0.22,0.1572,0.21,10.83x,8.27x
65536,64.0 KiB,"64.0 KiB",0.0194,3.38,0.2659,0.25,0.6806,0.1,0.3074,0.21,0.261,0.25,0.2794,0.23,13.71x,14.40x
131072,128.0 KiB,"Small Activation (128 KiB)",0.0291,4.5,0.2508,0.52,0.3082,0.43,0.9924,0.13,0.3501,0.37,0.4008,0.33,8.62x,13.77x
262144,256.0 KiB,"256.0 KiB",0.0491,5.34,0.3726,0.7,0.422,0.62,0.3591,0.73,0.382,0.69,0.3747,0.7,7.59x,7.63x
524288,512.0 KiB,"512.0 KiB",0.0898,5.84,0.3877,1.35,0.3675,1.43,0.4026,1.3,0.4131,1.27,0.3737,1.4,4.32x,4.16x
1048576,1.0 MiB,"1 MiB Tensor",0.0748,14.01,0.4788,2.19,0.6323,1.66,0.59,1.78,0.6336,1.65,0.7514,1.4,6.40x,10.05x
2097152,2.0 MiB,"2.0 MiB",0.1233,17.01,0.7265,2.89,0.8127,2.58,0.7957,2.64,0.8588,2.44,1.7555,1.19,5.89x,14.24x
4194304,4.0 MiB,"4.0 MiB",0.185,22.67,1.3859,3.03,1.1023,3.81,1.1274,3.72,1.5205,2.76,3.3584,1.25,7.49x,18.15x
8388608,8.0 MiB,"8.0 MiB",0.34,24.67,1.5013,5.59,3.9879,2.1,2.1971,3.82,3.0896,2.72,6.5864,1.27,4.42x,19.37x
16777216,16.0 MiB,"16 MiB Activation",0.6354,26.4,2.2477,7.46,3.6904,4.55,4.4342,3.78,6.1617,2.72,12.264,1.37,3.54x,19.30x
33554432,32.0 MiB,"32.0 MiB",1.2393,27.08,4.5484,7.38,6.9805,4.81,6.5484,5.12,12.4555,2.69,24.4674,1.37,3.67x,19.74x
67108864,64.0 MiB,"64 MiB Chunk",2.4553,27.33,9.2304,7.27,11.3019,5.94,11.7616,5.71,25.1617,2.67,49.0787,1.37,3.76x,19.99x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",4.87,27.56,18.4162,7.29,22.079,6.08,21.5798,6.22,51.8349,2.59,98.3006,1.37,3.78x,20.18x
268435456,256.0 MiB,"Large Prefill (256 MiB)",9.5202,28.2,35.4577,7.57,44.1894,6.07,43.2923,6.2,101.338,2.65,196.815,1.36,3.72x,20.67x
