Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.4,15234510214,14200,1072852.8,984210.0,15200,64201400,2104500.2,ncclDevKernel_AllReduce_bf16_RING
4.9,1031710708,8808,117133.4,56608.0,15328,440993,124569.4,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>
4.6,986330326,4888,201786.1,9951.0,8671,617377,267411.0,void cutlass::Kernel<cutlass::gemm::kernel::MoeFCGemm>
2.0,433792264,4888,88746.4,5824.0,5504,254400,115547.4,tensorrt_llm::kernels::cutlass_kernels::finalizeMoeRoutingKernel
1.9,404504195,4888,82754.5,1856.0,1408,247744,112781.2,tensorrt_llm::kernels::cutlass_kernels::expandInputRowsKernel
1.7,351458917,448,784506.5,782610.0,779265,830241,8063.9,void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<192, 128, 64, 8>>
1.4,295789883,1280,231085.8,230560.5,223872,245472,3085.9,chunk_gated_delta_rule_fwd_kernel_h_blockdim64
1.1,229234451,2176,105346.7,67904.0,66944,505088,81450.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>
0.8,172784522,9964,17340.9,2080.0,1888,53888,21311.6,vllm::fused_add_rms_norm_kernel<c10::BFloat16>
0.6,119850806,868,138077.0,137968.5,133088,144321,1653.3,_fwd_grouped_kernel_stage1
0.5,112006688,3840,29168.4,31552.0,21600,35041,4350.5,_causal_conv1d_fwd_kernel
0.4,90841684,616,147470.3,168992.5,8448,236352,84804.0,vllm::kimi_k3_fused_ops::fusedKimiK3MLAKVConcatPackKernel
0.4,74745236,1280,58394.7,58400.0,57024,60672,461.5,chunk_gla_fwd_kernel_o
0.3,71641124,1280,55969.6,55520.0,54304,61792,1312.3,chunk_kda_fwd_kernel_intra_token_parallel
