case,groups,purpose,tp,pp,physical_gpu_indices,max_num_batched_tokens,max_num_seqs,max_num_active_seqs,kv_cache_dtype,kv_cache_memory_bytes,offload_gib_total,prefix_caching,observability_profile,bench,status,requested_input_tokens,requested_output_tokens,concurrency,prompts_requested,warmups,request_rate,burstiness,probe_request_rate,bench_exit_code,completed,failed,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms_raw,p99_ttft_ms_raw,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms_raw,p99_tpot_ms_raw,mean_itl_ms,mean_e2el_ms,actual_input_min,actual_input_max,actual_input_mean,actual_output_min,actual_output_max,actual_output_mean,input_len_exact_match,metric_samples,peak_kv_usage,peak_running,peak_waiting,mean_running,mean_waiting,preemptions_delta,preemptions_metric,prefix_hits_delta,prefix_queries_delta,prefix_hit_metric,prefix_query_metric,offload_bytes_delta,offload_time_delta_s,queue_mean_s_from_hist,prefill_mean_s_from_hist,decode_mean_s_from_hist,inference_mean_s_from_hist,gpu_node_stats_json,metrics_capture_status,p95_reliable,p99_reliable,p95_ttft_ms,p99_ttft_ms,p95_tpot_ms,p99_tpot_ms,prefix_first_ttft_ms,prefix_repeat_ttft_median_ms
tp4_qualification,qualification;single_node;tp_compare,Harness qualification and low-cost TP4 baseline.,4,1,"[0, 1, 2, 3]",8192,32,,auto,,0,False,full,8k_c1,COMPLETED,8192,256,1,12,2,inf,,,0,12,0,16.308106130999988,0.7358303842031827,188.37257835601477,6216.2950857484875,224.3463118333248,224.78998649998516,225.97502495001436,226.21659859001056,4.448846953921601,4.4492273490196155,4.450379298039281,4.450529691764709,4.448847551960826,1358.8022850833331,8192,8192,8192,256,256,256,True,86,0.0012590494176896172,1.0,0.0,0.5116279069767442,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,7.20500000757814e-06,0.20786570500000798,1.1326294133333288,1.3404951183333367,"{""node0"": {""gpu_mem_used_peak_mb"": 88769.0, ""gpu_power_mean_w"": 159.94588235294117, ""gpu_samples"": 340, ""gpu_sm_clock_mean_mhz"": 2340.7382352941177, ""gpu_util_mean_pct"": 58.252941176470586, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_qualification,qualification;single_node;tp_compare,Harness qualification and low-cost TP4 baseline.,4,1,"[0, 1, 2, 3]",8192,32,,auto,,0,False,full,8k_c8,COMPLETED,8192,256,8,32,2,inf,,,0,32,0,14.759667785999909,2.168070478547843,555.0260425082478,18315.859402772174,956.4542680937329,1043.7522469999863,1614.0172438999057,1743.2321181099587,10.696033672181368,10.326870686274594,13.425968237254773,13.50575062592177,10.696034146446046,3683.942854499982,8192,8192,8192,256,256,256,True,82,0.01007239534151716,8.0,5.0,3.658536585365854,0.4146341463414634,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.24637757790626402,0.5102638606562344,2.70212011418751,3.2123839748437444,"{""node0"": {""gpu_mem_used_peak_mb"": 88769.0, ""gpu_power_mean_w"": 183.58448170731708, ""gpu_samples"": 328, ""gpu_sm_clock_mean_mhz"": 2371.993902439024, ""gpu_util_mean_pct"": 53.89939024390244, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,False,1614.0172438999057,,13.425968237254773,,,
tp4_qualification,qualification;single_node;tp_compare,Harness qualification and low-cost TP4 baseline.,4,1,"[0, 1, 2, 3]",8192,32,,auto,,0,False,full,128k_c1,COMPLETED,131072,128,1,5,1,inf,,,0,5,0,25.898424507000072,0.19306193697800236,24.711927933184302,25329.72613151391,4534.120901000028,4534.793485000023,4540.13515419997,4540.854722039958,5.081049436220325,5.075888086613898,5.100263103937201,5.104864312126242,5.081051814173177,5179.41417940001,131072,131072,131072,128,128,128,True,121,0.016367642429965357,1.0,0.0,0.628099173553719,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.011074069600101665,4.233932069399953,0.6176544715999966,4.851586540999949,"{""node0"": {""gpu_mem_used_peak_mb"": 90537.0, ""gpu_power_mean_w"": 243.80427685950414, ""gpu_samples"": 484, ""gpu_sm_clock_mean_mhz"": 2401.896694214876, ""gpu_util_mean_pct"": 65.70661157024793, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_qualification,qualification;single_node;tp_compare,Harness qualification and low-cost TP4 baseline.,4,1,"[0, 1, 2, 3]",8192,32,,auto,,0,False,full,512k_c1,COMPLETED,524288,64,1,2,0,inf,,,0,2,0,64.866417705,0.030832595212758863,1.9732860936165673,16167.132965000537,31955.50436399998,31955.50436399998,31964.928197399964,31965.765871479958,7.577353785715483,7.577353785715483,7.5804367214302495,7.580710760160451,7.577363944444678,32432.877652500054,524288,524288,524288,64,64,64,True,249,0.06471514006924772,1.0,0.0,0.8032128514056225,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.027667434000221647,30.95778521849985,0.40183598250004593,31.359621200999896,"{""node0"": {""gpu_mem_used_peak_mb"": 90539.0, ""gpu_power_mean_w"": 391.2991064257028, ""gpu_samples"": 996, ""gpu_sm_clock_mean_mhz"": 2417.6917670682733, ""gpu_util_mean_pct"": 80.13654618473896, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp8_qualification,qualification;single_node;tp_compare,Matched TP8 qualification for topology sensitivity.,8,1,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,32,,auto,,0,False,full,8k_c1,COMPLETED,8192,256,1,12,2,inf,,,0,12,0,22.639364634999993,0.5300502109254536,135.6928539969161,4477.864181898231,267.7295497500059,268.0535150000196,268.84976994998624,268.9765299899432,6.348064610457554,6.3513838000000185,6.35485041941189,6.355513268196288,6.348065149673222,1886.4860254166824,8192,8192,8192,256,256,256,True,106,0.0011239112110142946,1.0,0.0,0.5283018867924528,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,7.904166665184675e-06,0.25070826241666094,1.6159162915833463,1.8666245540000073,"{""node0"": {""gpu_mem_used_peak_mb"": 88583.0, ""gpu_power_mean_w"": 139.05776190476192, ""gpu_samples"": 840, ""gpu_sm_clock_mean_mhz"": 2361.5738095238094, ""gpu_util_mean_pct"": 66.98095238095237, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp8_qualification,qualification;single_node;tp_compare,Matched TP8 qualification for topology sensitivity.,8,1,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,32,,auto,,0,False,full,8k_c8,COMPLETED,8192,256,8,32,2,inf,,,0,32,0,18.37782448400003,1.741228948391558,445.75461078823884,14709.902156011882,1036.0319124374869,1014.9348604999204,1898.1103526499564,2050.7068799700746,13.924374129902004,13.894246792157151,16.748707158627578,16.96123070933327,13.924374568627425,4586.7473155624975,8192,8192,8192,256,256,256,True,93,0.00899128968811469,8.0,6.0,4.247311827956989,0.3225806451612903,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.19740235896875902,0.6188927770312418,3.5303067315312653,4.149199508562507,"{""node0"": {""gpu_mem_used_peak_mb"": 88585.0, ""gpu_power_mean_w"": 164.0003804347826, ""gpu_samples"": 736, ""gpu_sm_clock_mean_mhz"": 2372.209239130435, ""gpu_util_mean_pct"": 61.37092391304348, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,False,1898.1103526499564,,16.748707158627578,,,
tp8_qualification,qualification;single_node;tp_compare,Matched TP8 qualification for topology sensitivity.,8,1,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,32,,auto,,0,False,full,128k_c1,COMPLETED,131072,128,1,5,1,inf,,,0,5,0,28.56553240100004,0.17503612149812256,22.404623551759688,22964.73914055368,4819.556956600013,4818.572038999946,4833.353299000078,4835.172299000092,7.034060878740142,7.014152314960792,7.111080116535021,7.121144810708169,7.034063855118129,5712.882688200011,131072,131072,131072,128,128,128,True,130,0.016109394024538704,1.0,0.0,0.6153846153846154,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,-0.01923748719989362,4.4907406751999135,0.6254320730000927,5.116172748200006,"{""node0"": {""gpu_mem_used_peak_mb"": 89377.0, ""gpu_power_mean_w"": 183.76335576923077, ""gpu_samples"": 1040, ""gpu_sm_clock_mean_mhz"": 2397.876923076923, ""gpu_util_mean_pct"": 66.03557692307692, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp8_qualification,qualification;single_node;tp_compare,Matched TP8 qualification for topology sensitivity.,8,1,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,32,,auto,,0,False,full,512k_c1,COMPLETED,524288,64,1,2,0,inf,,,0,2,0,57.62750930100003,0.03470564708173659,2.2211614132311417,18197.975458602745,28216.822391500045,28216.822391500045,28219.845612550034,28220.114343310033,9.470323634920375,9.470323634920375,9.470362949206093,9.470366443809269,9.470331888888861,28813.45278050003,524288,524288,524288,64,64,64,True,227,0.06406293902781679,1.0,0.0,0.775330396475771,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,-0.04810631799972498,27.05815950399972,-0.07089833049968775,26.98726117350003,"{""node0"": {""gpu_mem_used_peak_mb"": 89379.0, ""gpu_power_mean_w"": 268.4568971238938, ""gpu_samples"": 1808, ""gpu_sm_clock_mean_mhz"": 2413.214048672566, ""gpu_util_mean_pct"": 78.04480088495575, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_context_baseline,baseline;long_context;single_node,Warmed-server context scaling to nominal 1M input tokens.,4,1,"[0, 1, 2, 3]",8192,8,,auto,,0,False,full,8k_c1,COMPLETED,8192,128,1,10,2,inf,,,0,10,0,7.881414848000077,1.2688077195349663,162.40738810047569,10556.480226530919,222.28495830001975,222.18593800005237,224.71073205013,225.72790161014836,4.454152216535619,4.454364472440099,4.458456087008461,4.459169258347188,4.454153397638024,787.9622898000434,8192,8192,8192,128,128,128,True,30,0.0012559658377292449,1.0,0.0,0.3,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,5.9039999996457485e-06,0.2076052032000007,0.5657434413999909,0.7733486445999915,"{""node0"": {""gpu_mem_used_peak_mb"": 88745.0, ""gpu_power_mean_w"": 143.58375, ""gpu_samples"": 120, ""gpu_sm_clock_mean_mhz"": 2333.8083333333334, ""gpu_util_mean_pct"": 38.50833333333333, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_context_baseline,baseline;long_context;single_node,Warmed-server context scaling to nominal 1M input tokens.,4,1,"[0, 1, 2, 3]",8192,8,,auto,,0,False,full,128k_c1,COMPLETED,131072,128,1,5,1,inf,,,0,5,0,25.942877199999884,0.19273112852725613,24.669584451488785,25286.324062776002,4540.827496400016,4539.463383999873,4552.436441000054,4553.70051620007,5.098295130708033,5.0794231023618925,5.146226092912238,5.156110818581482,5.098297949605938,5188.310977999936,131072,131072,131072,128,128,128,True,61,0.01632755589047974,1.0,0.0,0.6065573770491803,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.0061999955723876e-05,4.342130049200068,0.647397629399984,4.989527678600052,"{""node0"": {""gpu_mem_used_peak_mb"": 90513.0, ""gpu_power_mean_w"": 239.800368852459, ""gpu_samples"": 244, ""gpu_sm_clock_mean_mhz"": 2390.3975409836066, ""gpu_util_mean_pct"": 61.91803278688525, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
