row_id,test_group,case,bench,tp,pp,input_tokens_displayed,concurrency,ttft_ms,tpot_ms,output_tok_s,kv_peak_pct,status,provenance_status,evidence_class_target,extra_vs_archived_v6,run_id,source_file,sample_count_N
tp4_qualification::8k_c1,qualification,tp4_qualification,8k_c1,4,1,8192,1,224.3,4.45,188.4,0.1,COMPLETED,RAW_VALIDATED_PER_REPORT (qualification package S2),MEASURED-48B,false,,,
tp4_qualification::8k_c8,qualification,tp4_qualification,8k_c8,4,1,8192,8,956.5,10.7,555.0,1.0,COMPLETED,RAW_VALIDATED_PER_REPORT (qualification package S2),MEASURED-48B,false,,,
tp4_qualification::128k_c1,qualification,tp4_qualification,128k_c1,4,1,131072,1,4534.1,5.08,24.7,1.6,COMPLETED,RAW_VALIDATED_PER_REPORT (qualification package S2),MEASURED-48B,false,,,
tp4_qualification::512k_c1,qualification,tp4_qualification,512k_c1,4,1,524288,1,31955.5,7.58,2.0,6.5,COMPLETED,RAW_VALIDATED_PER_REPORT (qualification package S2),MEASURED-48B,false,,,
tp8_qualification::8k_c1,qualification,tp8_qualification,8k_c1,8,1,8192,1,267.7,6.35,135.7,0.1,COMPLETED,RAW_VALIDATED_PER_REPORT (qualification package S2),MEASURED-48B,false,,,
tp8_qualification::8k_c8,qualification,tp8_qualification,8k_c8,8,1,8192,8,1036.0,13.92,445.8,0.9,COMPLETED,RAW_VALIDATED_PER_REPORT (qualification package S2),MEASURED-48B,false,,,
tp8_qualification::128k_c1,qualification,tp8_qualification,128k_c1,8,1,131072,1,4819.6,7.03,22.4,1.6,COMPLETED,RAW_VALIDATED_PER_REPORT (qualification package S2),MEASURED-48B,false,,,
tp8_qualification::512k_c1,qualification,tp8_qualification,512k_c1,8,1,524288,1,28216.8,9.47,2.2,6.4,COMPLETED,RAW_VALIDATED_PER_REPORT (qualification package S2),MEASURED-48B,false,,,
tp4_context_baseline::8k_c1,baseline,tp4_context_baseline,8k_c1,4,1,8192,1,222.3,4.45,162.4,0.1,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_context_baseline::128k_c1,baseline,tp4_context_baseline,128k_c1,4,1,131072,1,4540.8,5.1,24.7,1.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_context_baseline::512k_c1,baseline,tp4_context_baseline,512k_c1,4,1,524288,1,31978.5,7.56,2.0,6.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_context_baseline::1m_c1,baseline,tp4_context_baseline,1m_c1,4,1,1000000,1,93384.5,10.24,0.3,12.3,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp8_context_baseline::8k_c1,baseline,tp8_context_baseline,8k_c1,8,1,8192,1,267.6,6.33,119.5,0.1,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp8_context_baseline::128k_c1,baseline,tp8_context_baseline,128k_c1,8,1,131072,1,4824.3,7.05,22.4,1.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp8_context_baseline::512k_c1,baseline,tp8_context_baseline,512k_c1,8,1,524288,1,28166.5,9.44,2.2,6.4,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp8_context_baseline::1m_c1,baseline,tp8_context_baseline,1m_c1,8,1,1000000,1,74850.3,12.07,0.4,12.2,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_prefill_focus::8k_prefill,prefill_decode,tp4_prefill_focus,8k_prefill,4,1,8192,1,223.0,4.38,16.9,0.0,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_prefill_focus::128k_prefill,prefill_decode,tp4_prefill_focus,128k_prefill,4,1,131072,1,4542.1,5.09,0.9,1.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_prefill_focus::512k_prefill,prefill_decode,tp4_prefill_focus,512k_prefill,4,1,524288,1,31960.1,7.84,0.1,6.4,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_prefill_focus::1m_prefill,prefill_decode,tp4_prefill_focus,1m_prefill,4,1,1000000,1,93354.2,10.64,0.0,12.3,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_decode_focus::8k_decode_c1,prefill_decode,tp4_decode_focus,8k_decode_c1,4,1,8192,1,225.6,4.47,204.0,0.1,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_decode_focus::8k_decode_c8,prefill_decode,tp4_decode_focus,8k_decode_c8,4,1,8192,8,957.2,9.23,721.0,1.0,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_decode_focus::8k_decode_c16,prefill_decode,tp4_decode_focus,8k_decode_c16,4,1,8192,16,1242.6,15.64,885.1,2.0,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk4k::128k_c1,chunking,tp4_chunk4k,128k_c1,4,1,131072,1,5235.5,5.13,11.5,1.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk4k::128k_c4,chunking,tp4_chunk4k,128k_c4,4,1,131072,4,11475.9,142.05,12.2,4.8,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk4k::512k_c1,chunking,tp4_chunk4k,512k_c1,4,1,524288,1,40307.2,7.57,0.8,6.4,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk4k::1m_c1,chunking,tp4_chunk4k,1m_c1,4,1,1000000,1,122103.8,10.28,0.1,12.2,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk8k::128k_c1,chunking,tp4_chunk8k,128k_c1,4,1,131072,1,4544.5,5.11,13.2,1.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
