
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node0_capture/worker_process_1497648.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node0_capture/worker_process_1497648.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node0_capture/worker_process_1497648.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.6,2032688018,11484,177001.7,46840.0,1840,129215439,3995272.9,cudaMemcpyAsync
20.3,783574080,40,19589352.0,85940.0,33900,251078677,59892704.1,cuModuleLoadData
6.8,261955668,9092,28811.7,3950.0,2410,193051008,2029760.1,cudaLaunchKernel
6.2,238208746,10350,23015.3,17270.0,2210,50615240,499235.1,cudaStreamSynchronize
2.4,94246409,2,47123204.5,47123204.5,49640,94196769,66572073.3,cudaDeviceSynchronize
1.8,70894059,34,2085119.4,1791965.0,62590,6562680,1568420.2,cuLibraryLoadData
1.8,68727018,2229,30833.1,360.0,220,52279820,1133336.9,cuKernelGetFunction
1.7,65642080,8,8205260.0,7007760.0,4396180,16590370,4002060.5,cuMemExportToShareableHandle
1.4,54453018,105,518600.2,262200.0,5330,3884640,629455.7,cudaMalloc
1.3,48567310,64,758864.2,273745.0,47150,8579080,1327979.5,cuMemSetAccess
0.8,29909080,167,179096.3,3500.0,1760,5560650,666516.5,cudaHostAlloc
0.6,22217660,4673,4754.5,3300.0,2450,3393660,55624.5,cuLaunchKernelEx
0.5,20976720,128,163880.6,1145.0,860,1456100,330102.8,cudaStreamCreateWithPriority
0.3,9879339,50,197586.8,37155.0,6950,1847739,351055.4,cuMemCreate
0.2,9300600,625,14881.0,5110.0,2790,3037720,149962.1,cudaLaunchKernelExC_v11060
0.2,7878110,8,984763.8,757755.0,180170,2593170,859676.5,cuMemImportFromShareableHandle
0.2,7455919,2229,3345.0,3130.0,2440,29230,1572.9,cuLaunchKernel
0.1,4917780,12123,405.7,370.0,170,261480,2398.2,cudaStreamIsCapturing_v10000
0.1,4035900,3626,1113.0,640.0,350,22710,1358.3,cudaEventQuery
0.1,3645269,56,65094.1,25030.0,1610,1386010,185491.7,cuMemMap
0.1,3553710,25,142148.4,132240.0,1880,550200,128494.8,cudaFree
0.1,3109370,12,259114.2,16645.0,2500,1270530,462897.9,cudaStreamCreateWithFlags
0.1,2598930,1945,1336.2,620.0,340,25450,1590.0,cudaEventRecord
0.1,2513170,2223,1130.5,890.0,380,24510,873.6,cudaStreamWaitEvent
0.1,1965800,306,6424.2,5580.0,1480,61510,5735.0,cudaMemsetAsync
0.0,1821080,9092,200.3,160.0,80,128660,1400.6,cuKernelGetName
0.0,1566600,544,2879.8,260.0,120,291970,25358.9,cudaThreadExchangeStreamCaptureMode_v10010
0.0,1217420,2,608710.0,608710.0,472270,745150,192955.3,cuMemRelease
0.0,941170,1857,506.8,360.0,150,20610,736.0,cudaStreamGetCaptureInfo_v12030
0.0,749180,893,838.9,750.0,340,7170,561.0,cudaGetFuncBySymbol_v11000
0.0,686810,802,856.4,730.0,330,25820,1028.0,cudaEventRecordWithFlags_v11010
0.0,674900,62,10885.5,230.0,80,361620,58365.1,cuMemGetAllocationGranularity
0.0,661010,5,132202.0,54660.0,33520,470250,189212.4,cudaMemPoolCreate_v11020
0.0,559110,2318,241.2,210.0,70,8340,258.2,cuGetProcAddress_v2
0.0,216360,56,3863.6,2065.0,640,18750,4068.3,cuMemAddressReserve
0.0,192610,225,856.0,500.0,190,15080,1215.5,cudaEventCreateWithFlags
0.0,143300,79,1813.9,1450.0,360,6320,1425.3,cuLibraryGetKernel
0.0,93120,100,931.2,630.0,220,8040,1131.5,cudaEventDestroy
0.0,73530,3,24510.0,25540.0,18510,29480,5557.1,cudaMemGetInfo
0.0,40640,93,437.0,180.0,140,11190,1179.1,cudaGetDriverEntryPointByVersion_v12050
0.0,13530,1,13530.0,13530.0,13530,13530,0.0,cudaProfilerStart
0.0,12970,22,589.5,310.0,90,2770,727.5,cudaGetDeviceProperties_v12000
0.0,11320,5,2264.0,2260.0,2060,2490,157.3,cudaMemPoolSetAttribute_v11020
0.0,10530,7,1504.3,1280.0,300,3690,1246.7,cuInit
0.0,7570,5,1514.0,150.0,80,6560,2829.8,cuModuleGetLoadingMode

