
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp2_dist/decode_8k/node1_capture/worker_process_89686.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp2_dist/decode_8k/node1_capture/worker_process_89686.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp2_dist/decode_8k/node1_capture/worker_process_89686.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.2,894208726,22895,39056.9,10270.0,2170,48549240,334496.9,cudaMemcpyAsync
22.0,592112429,113679,5208.6,4130.0,2750,63291979,188774.0,cudaLaunchKernel
9.9,265905917,10316,25776.1,17850.0,3850,50458009,497718.0,cudaStreamSynchronize
9.2,247432347,52902,4677.2,4300.0,2960,4194050,21528.7,cuLaunchKernelEx
3.4,90733938,36,2520387.2,1902050.0,56540,6616140,1839824.7,cuLibraryLoadData
2.8,75231390,100,752313.9,245540.0,53310,7416680,1363762.2,cuMemSetAccess
2.2,59430198,109,545231.2,190240.0,3020,7649530,1108176.6,cudaMalloc
2.2,58005020,8892,6523.3,5880.0,3560,3099870,39868.0,cudaLaunchKernelExC_v11060
2.0,54032808,50630,1067.2,920.0,380,132840,962.0,cudaStreamWaitEvent
1.7,45384728,281,161511.5,3200.0,1920,11824659,978952.8,cudaHostAlloc
1.6,42736289,38767,1102.4,640.0,330,573920,3089.0,cudaEventRecord
1.6,41942830,16,2621426.9,2949300.0,47780,5182210,1835048.9,cuMemExportToShareableHandle
1.3,34687580,11862,2924.3,2580.0,340,37400,1736.7,cudaEventQuery
1.3,34349609,70,490708.7,105105.0,12370,5629180,1049023.4,cuMemCreate
0.7,20172950,51276,393.4,370.0,150,266840,1225.9,cudaStreamIsCapturing_v10000
0.7,20091670,84,239186.5,43320.0,1120,4627930,719642.2,cuMemMap
0.7,19584810,113671,172.3,120.0,80,18630,252.4,cuKernelGetName
0.7,19426969,20179,962.7,870.0,340,141140,1265.0,cudaEventRecordWithFlags_v11010
0.5,14231490,17059,834.3,780.0,360,44710,823.9,cudaGetFuncBySymbol_v11000
0.5,13738379,33207,413.7,380.0,160,18010,434.5,cudaStreamGetCaptureInfo_v12030
0.4,9439049,128,73742.6,1985.0,1330,607750,137400.5,cudaStreamCreateWithPriority
0.3,8215520,16,513470.0,213825.0,51000,2041220,630114.9,cuMemImportFromShareableHandle
0.2,5960900,52,114632.7,80490.0,33960,958090,132912.4,cuModuleLoadData
0.2,5306930,509,10426.2,420.0,210,1922070,115263.9,cuKernelGetFunction
0.1,3488470,26,134171.9,133450.0,3440,352150,101882.0,cudaFree
0.1,2894200,3743,773.2,480.0,190,48440,1038.9,cudaEventCreateWithFlags
0.1,2556710,2,1278355.0,1278355.0,22390,2534320,1776202.7,cudaDeviceSynchronize
0.1,2395340,4508,531.4,180.0,130,282590,8708.0,cudaThreadExchangeStreamCaptureMode_v10010
0.1,2326630,509,4571.0,3940.0,2790,41090,2895.3,cuLaunchKernel
0.1,2036460,3614,563.5,380.0,220,15510,426.2,cudaEventDestroy
0.1,1491290,2,745645.0,745645.0,672960,818330,102792.1,cuMemRelease
0.0,967500,12,80625.0,18235.0,2980,424960,145034.7,cudaStreamCreateWithFlags
0.0,680550,90,7561.7,205.0,80,368550,48605.8,cuMemGetAllocationGranularity
0.0,622250,2318,268.4,220.0,70,12380,410.7,cuGetProcAddress_v2
0.0,581620,70,8308.9,3585.0,1850,57130,11001.7,cudaMemsetAsync
0.0,358170,84,4263.9,2120.0,750,52100,7314.2,cuMemAddressReserve
0.0,342110,5,68422.0,50430.0,43480,144860,43081.4,cudaMemPoolCreate_v11020
0.0,175370,92,1906.2,1420.0,230,11980,1701.7,cuLibraryGetKernel
0.0,86180,3,28726.7,32280.0,21250,32650,6477.6,cudaMemGetInfo
0.0,34990,93,376.2,190.0,140,6090,664.5,cudaGetDriverEntryPointByVersion_v12050
0.0,18940,1,18940.0,18940.0,18940,18940,0.0,cudaProfilerStart
0.0,12670,5,2534.0,2490.0,1970,3240,480.8,cudaMemPoolSetAttribute_v11020
0.0,9370,7,1338.6,1480.0,370,3390,1051.8,cuInit
0.0,8500,14,607.1,505.0,80,2070,551.0,cudaGetDeviceProperties_v12000
0.0,6390,5,1278.0,240.0,80,5590,2411.5,cuModuleGetLoadingMode

