
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/long_prefill_512k/node0_capture/worker_process_1387218.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/long_prefill_512k/node0_capture/worker_process_1387218.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/long_prefill_512k/node0_capture/worker_process_1387218.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
80.6,8043714484,7455,1078969.1,35700.0,2010,201575677,11959517.8,cudaMemcpyAsync
9.7,967565291,40,24189132.3,90070.0,34900,659302743,109041231.0,cuModuleLoadData
1.8,177204237,30,5906807.9,527309.5,2540,151746278,27563144.2,cudaFree
1.5,154618049,4883,31664.6,17840.0,3160,54371690,779081.3,cudaStreamSynchronize
1.1,112075738,24,4669822.4,3552790.0,742500,12701680,3359873.6,cuMemExportToShareableHandle
0.8,80705120,9631,8379.7,4140.0,2830,14165240,157434.4,cudaLaunchKernel
0.8,78215080,116,674267.9,293270.0,46790,10070700,1169738.1,cuMemSetAccess
0.7,72619550,34,2135869.1,1759460.0,61020,6429920,1619674.7,cuLibraryLoadData
0.4,42899280,97,442260.6,235230.0,2780,5287700,783066.5,cudaMalloc
0.4,41896440,8158,5135.6,3920.0,2780,3745100,45833.4,cuLaunchKernelEx
0.3,33630009,222,151486.5,3140.0,1830,6831020,743059.1,cudaHostAlloc
0.3,29082170,78,372848.3,169680.0,7690,3067050,572058.6,cuMemCreate
0.3,27016869,2,13508434.5,13508434.5,155790,26861079,18883490.9,cudaDeviceSynchronize
0.2,23973198,24,998883.3,963245.0,71710,3000139,871950.7,cuMemImportFromShareableHandle
0.2,16371040,3953,4141.4,3890.0,2870,30780,1679.7,cuLaunchKernel
0.1,11361730,7877,1442.4,660.0,350,615710,8153.8,cudaEventQuery
0.1,11163640,859,12996.1,5750.0,3060,3147000,129830.4,cudaLaunchKernelExC_v11060
0.1,10996430,3953,2781.8,370.0,220,4956940,87759.3,cuKernelGetFunction
0.1,10338180,128,80767.0,1165.0,860,1499180,184734.9,cudaStreamCreateWithPriority
0.1,7714890,100,77148.9,38625.0,1390,1113520,140386.5,cuMemMap
0.0,3909200,2985,1309.6,680.0,330,46700,1678.3,cudaEventRecord
0.0,3709010,3111,1192.2,880.0,390,16670,855.3,cudaStreamWaitEvent
0.0,3319530,8826,376.1,310.0,160,265910,2844.7,cudaStreamIsCapturing_v10000
0.0,2301800,16,143862.5,12375.0,2320,1719770,426172.3,cudaStreamCreateWithFlags
0.0,1744000,9631,181.1,120.0,80,19310,365.1,cuKernelGetName
0.0,1610940,1800,895.0,720.0,340,24420,952.8,cudaEventRecordWithFlags_v11010
0.0,1552380,106,14645.1,250.0,80,369280,64597.9,cuMemGetAllocationGranularity
0.0,1520420,186,8174.3,5975.0,1670,65910,9508.0,cudaMemsetAsync
0.0,1414790,1317,1074.3,840.0,340,130000,3710.1,cudaGetFuncBySymbol_v11000
0.0,1389030,2609,532.4,400.0,160,21220,675.3,cudaStreamGetCaptureInfo_v12030
0.0,1074930,1092,984.4,180.0,130,301010,12745.9,cudaThreadExchangeStreamCaptureMode_v10010
0.0,1011810,100,10118.1,2710.0,610,366150,40390.3,cuMemAddressReserve
0.0,633710,2318,273.4,220.0,70,29570,659.7,cuGetProcAddress_v2
0.0,534870,2,267435.0,267435.0,91080,443790,249403.6,cuMemRelease
0.0,357600,5,71520.0,55190.0,34920,158850,49596.2,cudaMemPoolCreate_v11020
0.0,279330,71,3934.2,1260.0,330,150260,17684.0,cuLibraryGetKernel
0.0,274300,303,905.3,540.0,190,8230,929.4,cudaEventCreateWithFlags
0.0,223700,196,1141.3,920.0,230,15860,1559.4,cudaEventDestroy
0.0,90550,3,30183.3,26650.0,26480,37420,6267.7,cudaMemGetInfo
0.0,31000,93,333.3,190.0,140,2040,363.6,cudaGetDriverEntryPointByVersion_v12050
0.0,29370,4,7342.5,7315.0,4560,10180,3128.8,cudaStreamDestroy
0.0,19570,1,19570.0,19570.0,19570,19570,0.0,cudaProfilerStart
0.0,12880,22,585.5,190.0,80,5210,1080.4,cudaGetDeviceProperties_v12000
0.0,11330,5,2266.0,2230.0,2160,2460,115.5,cudaMemPoolSetAttribute_v11020
0.0,9470,7,1352.9,1320.0,440,3260,1044.8,cuInit
0.0,6550,5,1310.0,170.0,80,5950,2594.3,cuModuleGetLoadingMode

