
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_99228.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_99228.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_99228.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.6,2159263437,11518,187468.6,45770.0,1890,134010278,4073094.4,cudaMemcpyAsync
7.1,233962877,10327,22655.5,17290.0,3400,50670789,499247.3,cudaStreamSynchronize
6.5,212831307,52,4092909.8,78535.0,34510,205478307,28476410.4,cuModuleLoadData
4.6,152499229,9432,16168.3,3930.0,2490,79453139,823813.2,cudaLaunchKernel
3.5,114937518,2097,54810.5,390.0,220,100127608,2198770.8,cuKernelGetFunction
2.8,91547059,38,2409133.1,2108075.0,69090,6809200,1762479.7,cuLibraryLoadData
1.6,52684189,103,511497.0,225020.0,2930,6426670,826357.7,cudaMalloc
1.5,48725649,8,6090706.1,6025345.0,1977820,9829020,3078784.0,cuMemExportToShareableHandle
1.4,44671859,64,697997.8,216755.0,48440,11384359,1554727.0,cuMemSetAccess
1.2,39609960,295,134271.1,3020.0,1730,10423540,778788.3,cudaHostAlloc
0.7,23050840,4269,5399.6,3250.0,2410,5026530,83492.6,cuLaunchKernelEx
0.6,19880890,128,155319.5,1305.0,870,1794300,328071.3,cudaStreamCreateWithPriority
0.5,17799920,2,8899960.0,8899960.0,26200,17773720,12549391.7,cudaDeviceSynchronize
0.4,14504860,672,21584.6,5020.0,2810,4854660,255068.2,cudaLaunchKernelExC_v11060
0.4,14017710,50,280354.2,50225.0,7110,2696540,556891.6,cuMemCreate
0.3,11388329,8,1423541.1,1178220.0,163740,3690490,1185237.6,cuMemImportFromShareableHandle
0.2,7023120,2097,3349.1,3090.0,2460,32390,1792.2,cuLaunchKernel
0.1,4702150,12354,380.6,320.0,160,254010,2305.0,cudaStreamIsCapturing_v10000
0.1,4390369,2,2195184.5,2195184.5,896870,3493499,1836094.0,cuMemRelease
0.1,4067600,21,193695.2,209180.0,3160,511910,147666.1,cudaFree
0.1,2719890,56,48569.5,43510.0,1370,246240,48315.2,cuMemMap
0.1,2596310,2239,1159.6,890.0,400,19640,845.1,cudaStreamWaitEvent
0.1,2522630,1957,1289.0,640.0,350,22440,1275.7,cudaEventRecord
0.1,2252210,1150,1958.4,1500.0,350,21050,1726.1,cudaEventQuery
0.1,1906220,281,6783.7,5600.0,1740,78610,6972.5,cudaMemsetAsync
0.1,1698610,508,3343.7,180.0,130,472200,31454.3,cudaThreadExchangeStreamCaptureMode_v10010
0.1,1673460,9424,177.6,160.0,80,2220,100.8,cuKernelGetName
0.0,1338530,12,111544.2,20930.0,2360,594050,194393.0,cudaStreamCreateWithFlags
0.0,965210,1867,517.0,360.0,160,16780,761.3,cudaStreamGetCaptureInfo_v12030
0.0,839670,892,941.3,750.0,380,23260,1242.9,cudaGetFuncBySymbol_v11000
0.0,838940,943,889.7,660.0,320,11700,765.1,cudaEventRecordWithFlags_v11010
0.0,663770,2318,286.4,240.0,70,6090,246.8,cuGetProcAddress_v2
0.0,568770,62,9173.7,200.0,80,277360,48831.9,cuMemGetAllocationGranularity
0.0,250990,5,50198.0,53390.0,33200,58340,10213.2,cudaMemPoolCreate_v11020
0.0,225210,271,831.0,450.0,190,8700,896.6,cudaEventCreateWithFlags
0.0,215480,56,3847.9,2055.0,650,27630,5029.2,cuMemAddressReserve
0.0,185480,103,1800.8,1340.0,310,18630,2105.4,cuLibraryGetKernel
0.0,107180,146,734.1,485.0,250,2900,556.6,cudaEventDestroy
0.0,74740,3,24913.3,26600.0,20890,27250,3499.4,cudaMemGetInfo
0.0,44410,93,477.5,180.0,140,13130,1378.4,cudaGetDriverEntryPointByVersion_v12050
0.0,18430,1,18430.0,18430.0,18430,18430,0.0,cudaProfilerStart
0.0,12870,5,2574.0,2660.0,2370,2720,170.1,cudaMemPoolSetAttribute_v11020
0.0,11390,7,1627.1,1530.0,340,3960,1211.8,cuInit
0.0,10530,5,2106.0,250.0,90,8790,3761.6,cuModuleGetLoadingMode
0.0,9850,22,447.7,275.0,80,1210,356.6,cudaGetDeviceProperties_v12000

