Generating SQLite file /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp4_prefill/vllm_profile.1.sqlite from /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp4_prefill/vllm_profile.1.nsys-rep
Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp4_prefill/vllm_profile.1.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     46.0    8,230,808,451      5,060  1,626,642.0  2,158,433.0     14,432  18,090,630    904,887.9  ncclDevKernel_AllReduce_bf16_RING(ncclDevKernelArgsStorage<(unsigned long)4096>)                    
     21.5    3,845,748,322        616  6,243,097.9  6,864,509.0  1,164,704   9,151,390  2,850,282.1  void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)192, (int)128, (int)64, (int)8, (bool)0, …
     11.6    2,076,225,937      4,784    433,993.7    558,370.0      8,608     758,720    283,437.3  fused_moe_kernel                                                                                    
      5.8    1,029,616,507      8,808    116,895.6     56,480.0     15,264     438,401    124,064.4  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Par…
      2.2      401,430,024      2,392    167,821.9    240,064.0      1,216     244,353    110,182.9  void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, int, (int)8, (bool)0>(T1 *, const T1 *, long, int…
      2.0      351,384,300        448    784,340.0    782,880.0    780,032     830,752      7,563.2  void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)192, (int)128, (int)64, (int)8, (bool)0, …
      1.6      291,218,454      1,280    227,514.4    227,280.5    218,848     248,417      3,521.4  chunk_gated_delta_rule_fwd_kernel_h_blockdim64                                                      
      1.3      228,546,097      2,176    105,030.4     67,777.0     66,496     506,017     81,250.8  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Par…
      0.9      163,087,353      4,876     33,447.0     45,472.0      1,824      52,864     20,865.5  std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kern…
      0.6      111,748,591      3,840     29,101.2     31,456.0     21,472      35,648      4,494.2  _causal_conv1d_fwd_kernel                                                                           
      0.6      101,006,680      1,092     92,497.0     52,816.5     10,464     230,720     91,025.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.5       91,659,336      1,280     71,608.9     71,200.0     70,400      80,033      1,242.5  chunk_kda_fwd_kernel_intra_token_parallel                                                           
      0.5       90,958,716        616    147,660.3    170,688.0      8,672     237,216     84,853.0  void vllm::kimi_k3_fused_ops::fusedKimiK3MLAKVConcatPackKernel<c10::BFloat16, (bool)0, (bool)0>(con…
      0.5       90,434,675      2,484     36,406.9     52,288.0        736      54,913     23,580.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, …
      0.5       85,701,206      3,392     25,265.7     27,600.0      5,888      47,872     18,976.3  void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vl…
      0.4       75,495,725      1,280     58,981.0     58,912.0     57,504      61,600        585.5  chunk_gla_fwd_kernel_o                                                                              
      0.4       69,394,486      1,664     41,703.4     41,601.0     39,009      45,536      1,125.3  void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_128x128_64x3_tn_align8>(T1::Params)       
      0.4       66,205,176      1,280     51,722.8     52,384.0     45,344      60,544      2,958.6  recompute_w_u_fwd_kernel                                                                            
      0.3       59,157,890        616     96,035.5     94,304.0     65,312     123,840     20,712.7  void vllm::gather_and_maybe_dequant_cache_page<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataT…
      0.3       54,298,773      2,736     19,846.0      3,488.0        480     117,793     35,009.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std:…
      0.3       45,762,266      1,280     35,751.8     35,616.0     34,912      40,256        562.4  chunk_kda_fwd_kernel_inter_solve_fused                                                              
      0.2       35,335,390      1,280     27,605.8     27,456.0     23,009      32,416      1,432.3  kda_gate_chunk_cumsum_vector_kernel                                                                 
      0.2       29,545,683      1,280     23,082.6     23,008.0     22,144      26,336        503.8  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_64x4_tn_align8>(T1::Para…
      0.2       28,484,980      1,664     17,118.4     17,952.0     12,480      19,552      2,022.5  void vllm::moe::single_group_topk::detail::single_group_topk_warp_kernel<float, float, int, (vllm::…
      0.1       26,782,452      1,664     16,095.2     16,128.0     15,392      18,272        316.7  void vllm::moe::moe_align_block_size_kernel<int>(const T1 *, int *, int *, int *, int *, int, int, …
      0.1       26,777,180        196    136,618.3    136,592.5    132,864     140,193      1,532.3  _fwd_grouped_kernel_stage1                                                                          
      0.1       24,282,177      1,664     14,592.7     13,568.0      8,736      25,120      3,837.1  void vllm::moe::count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, int *, unsigned …
      0.1       21,893,504      1,840     11,898.6     16,256.0      1,216      18,432      6,999.7  layer_norm_gated_fwd_kernel                                                                         
      0.1       20,877,936      1,968     10,608.7      4,288.0      2,240     144,897     28,458.2  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.1       16,726,561      2,560      6,533.8      6,464.0      6,112       8,192        264.1  l2norm_fwd_kernel2                                                                                  
      0.1       14,789,175        616     24,008.4     22,752.0     14,368      34,720      5,859.2  void vllm::merge_attn_states_kernel<__nv_bfloat16, __nv_bfloat16, (unsigned int)128, (bool)0>(T2 *,…
      0.1       13,794,193      1,372     10,054.1      6,016.0      5,216      21,120      5,031.9  std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv…
      0.1       12,904,754      1,280     10,081.8     10,144.0        992      12,096        807.6  _gather_initial_states_kernel                                                                       
      0.1       10,505,140        196     53,597.7     53,568.0     53,344      55,104        219.2  _fwd_kernel_stage2                                                                                  
      0.0        7,244,779      1,280      5,660.0      5,664.0      5,056       6,336        252.6  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0        7,071,562         92     76,864.8     45,776.5     18,048     350,048     74,821.6  ncclDevKernel_AllGather_RING(ncclDevKernelArgsStorage<(unsigned long)4096>)                         
      0.0        6,729,449      1,848      3,641.5      2,304.0      1,952       9,696      2,073.5  std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv…
      0.0        5,947,303        448     13,275.2     13,152.0     12,192      14,880        422.5  void vllm::kimi_k3_fused_ops::fusedKimiK3MLAKeyConcatKVCacheInsertKernel<c10::BFloat16, (bool)0>(T1…
