Generating SQLite file /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp8_batched_decode/vllm_profile.1.sqlite from /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp8_batched_decode/vllm_profile.1.nsys-rep
Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp8_batched_decode/vllm_profile.1.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     78.7  101,945,158,010    228,800  445,564.5  452,034.0    21,888  46,059,600    401,007.5  ncclDevKernel_AllReduce_bf16_RING(ncclDevKernelArgsStorage<(unsigned long)4096>)                    
     10.9   14,125,206,906    216,320   65,297.7   51,552.0     8,768     770,015     73,205.3  fused_moe_kernel                                                                                    
      1.7    2,137,899,224     29,064   73,558.3   73,601.0    54,529      81,696      3,411.4  _fwd_grouped_kernel_stage1                                                                          
      1.4    1,800,112,196    421,552    4,270.2    3,296.0     1,792      90,400      6,487.9  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      0.8      982,754,140      4,160  236,239.0  250,208.5    26,528     601,282     53,513.6  ncclDevKernel_AllGather_RING(ncclDevKernelArgsStorage<(unsigned long)4096>)                         
      0.5      647,208,537    220,480    2,935.5    2,144.0     1,856      55,456      5,810.7  std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kern…
      0.5      609,943,067     81,440    7,489.5    7,488.0     6,752       8,544        216.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_64x2_tn_align2>(T1::Params)   
      0.4      574,522,023    108,160    5,311.8    1,632.0     1,280     245,152     29,468.0  void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, int, (int)8, (bool)0>(T1 *, const T1 *, long, int…
      0.4      498,537,550    216,880    2,298.7    2,080.0     1,024       8,160        726.3  void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vl…
      0.4      454,716,533    186,952    2,432.3    1,696.0     1,280      12,960      1,295.5  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.3      390,507,184    104,624    3,732.5    3,168.0     2,336      14,208      1,444.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align8>(T1::Para…
      0.3      366,581,941    106,080    3,455.7    3,392.0     3,040      15,488        720.8  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)  
      0.3      362,312,706     81,760    4,431.4    4,416.0     2,912       5,792        229.0  fused_recurrent_kda_packed_decode_kernel                                                            
      0.3      333,479,767      4,160   80,163.4   78,272.0    11,904     195,744     20,151.5  _gumbel_sample_kernel                                                                               
      0.2      288,252,475    106,496    2,706.7    2,784.0     1,856       3,680        222.7  void vllm::moe::single_group_topk::detail::single_group_topk_block_kernel<float, float, int, (vllm:…
      0.2      281,781,219      1,280  220,141.6  219,809.0   216,577     225,216      1,534.4  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x256_32x3_tn_align2>(T1::Params)  
      0.2      252,028,205      5,248   48,023.7   30,208.0     8,288     278,720     39,482.2  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Par…
      0.2      250,851,168      1,440  174,202.2  194,399.0     3,296     207,616     60,500.4  chunk_gated_delta_rule_fwd_kernel_h_blockdim64                                                      
