-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.189s       150.84%        1.189s     121.601us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     627.044ms        79.54%     627.044ms     627.044ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     259.771ms        32.95%     259.771ms      36.899us          7040  
                                       vllm::all_reduce         0.00%     211.390us         0.09%       4.241ms      77.118us     120.443ms        15.28%     120.443ms       2.190ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     119.837ms        15.20%     119.837ms      18.004us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      72.312ms         9.17%      72.312ms      81.341us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      64.611ms         8.20%      64.611ms      10.383us          6223  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      55.488ms         7.04%      55.488ms       6.424us          8637  
                                               aten::mm         0.10%       4.886ms         0.16%       7.647ms      22.758us      36.079ms         4.58%      36.079ms     107.377us           336  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      35.587ms         4.51%      35.587ms       4.246us          8382  
                               vllm::moe_forward_shared         0.00%     114.100us         9.02%     435.705ms      16.758ms      33.087ms         4.20%      44.803ms       1.723ms            26  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      23.278ms         2.95%      23.278ms       3.458us          6731  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      17.876ms         2.27%      17.876ms       2.635us          6784  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      13.896ms         1.76%      13.896ms     108.561us           128  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.676ms         1.61%      12.676ms       3.839us          3302  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      11.633ms         1.48%      11.633ms      13.085us           889  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.124ms         1.41%      11.124ms       3.342us          3328  
