case,groups,purpose,tp,pp,network_provenance,network_mode,configured_network_cap_gbps,nccl_transport_provenance,physical_gpu_indices,max_num_batched_tokens,max_num_seqs,max_num_active_seqs,kv_cache_dtype,kv_cache_memory_bytes,offload_gib_total,prefix_caching,observability_profile,bench,status,requested_input_tokens,requested_output_tokens,concurrency,prompts_requested,warmups,request_rate,burstiness,probe_request_rate,bench_exit_code,completed,failed,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms_raw,p99_ttft_ms_raw,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms_raw,p99_tpot_ms_raw,mean_itl_ms,mean_e2el_ms,actual_input_min,actual_input_max,actual_input_mean,actual_output_min,actual_output_max,actual_output_mean,input_len_exact_match,metric_samples,peak_kv_usage,peak_running,peak_waiting,mean_running,mean_waiting,preemptions_delta,preemptions_metric,prefix_hits_delta,prefix_queries_delta,prefix_hit_metric,prefix_query_metric,offload_bytes_delta,offload_time_delta_s,queue_mean_s_from_hist,prefill_mean_s_from_hist,decode_mean_s_from_hist,inference_mean_s_from_hist,gpu_node_stats_json,metrics_capture_status,p95_reliable,p99_reliable,p95_ttft_ms,p99_ttft_ms,p95_tpot_ms,p99_tpot_ms
tp4_pp2_dist,qualification;topology;long_context_scaleout;scaleout_1m,One TP4 group per node; one remote PP boundary; force 4 visible GPUs/node so placement cannot collapse to one node.,4,2,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3]",8192,8,,auto,,,,,128k_c1,COMPLETED,131072,64,1,4,1,inf,,,0,4,0,12.829103076997853,0.31179108749791434,19.954629599866518,40887.036050126495,2859.202987999197,2845.0753034994705,2908.603942649097,2917.0301301291693,5.52143085317925,5.5241054920655195,5.531456396830248,5.5324602444457085,5.521436448390656,3207.0531317494897,131072,131072,131072,64,64,64,True,41,0.007852612503775336,1.0,0.0,0.43902439024390244,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.2722500287054572e-05,2.6636912849999135,0.34777872650101926,3.0114700115009327,"{""node0"": {""gpu_mem_used_peak_mb"": 90589.0, ""gpu_power_mean_w"": 184.66378048780487, ""gpu_samples"": 164, ""gpu_sm_clock_mean_mhz"": 2330.182926829268, ""gpu_util_mean_pct"": 48.548780487804876, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90813.0, ""gpu_power_mean_w"": 193.572375, ""gpu_samples"": 160, ""gpu_sm_clock_mean_mhz"": 2351.225, ""gpu_util_mean_pct"": 49.9, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp2_dist,qualification;topology;long_context_scaleout;scaleout_1m,One TP4 group per node; one remote PP boundary; force 4 visible GPUs/node so placement cannot collapse to one node.,4,2,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3]",8192,8,,auto,,,,,512k_c1,COMPLETED,524288,32,1,2,0,inf,,,0,2,0,37.23586768400128,0.053711652887286354,1.7187728923931633,28162.093841861984,18371.564150000268,18371.564150000268,18384.673257501163,18385.838511501242,7.937772645163932,7.937772645163932,7.953095145181109,7.954457145182636,7.937787806499287,18617.63510200035,524288,524288,524288,32,32,32,True,84,0.031048021745696208,1.0,0.0,0.6904761904761905,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.621000046725385e-05,17.631066152998756,0.24523949200010975,17.876305644998865,"{""node0"": {""gpu_mem_used_peak_mb"": 90591.0, ""gpu_power_mean_w"": 283.24377976190476, ""gpu_samples"": 336, ""gpu_sm_clock_mean_mhz"": 2388.8005952380954, ""gpu_util_mean_pct"": 69.7797619047619, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90815.0, ""gpu_power_mean_w"": 340.4867771084337, ""gpu_samples"": 332, ""gpu_sm_clock_mean_mhz"": 2394.9548192771085, ""gpu_util_mean_pct"": 69.35843373493977, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp2_dist,qualification;topology;long_context_scaleout;scaleout_1m,One TP4 group per node; one remote PP boundary; force 4 visible GPUs/node so placement cannot collapse to one node.,4,2,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3]",8192,8,,auto,,,,,1m_c1,COMPLETED,1000000,32,1,1,0,inf,,,0,1,0,53.45455031399979,0.01870748129253459,0.5986394013611068,18708.07993193595,53127.08464700336,53127.08464700336,53127.08464700336,53127.08464700336,10.55001345159854,10.55001345159854,10.55001345159854,10.55001345159854,10.550022806485012,53454.13506400291,1000000,1000000,1000000,32,32,32,True,112,0.05910601026880091,1.0,0.0,0.7589285714285714,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,2.432000110275112e-05,51.730739871996775,0.32577766699978383,52.05651753899656,"{""node0"": {""gpu_mem_used_peak_mb"": 90591.0, ""gpu_power_mean_w"": 339.9410491071429, ""gpu_samples"": 448, ""gpu_sm_clock_mean_mhz"": 2421.484375, ""gpu_util_mean_pct"": 75.83482142857143, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90815.0, ""gpu_power_mean_w"": 408.60213636363636, ""gpu_samples"": 440, ""gpu_sm_clock_mean_mhz"": 2416.509090909091, ""gpu_util_mean_pct"": 76.03636363636363, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp8_pp2_dist,topology;long_context_scaleout;scaleout_1m,"TP8 within each 8-GPU node, PP across nodes.",8,2,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,128k_c1,COMPLETED,131072,64,1,4,1,inf,,,0,4,0,13.153460392997658,0.30410248561887404,19.46255907960794,39878.78355411667,2810.1938112504286,2806.7657584997505,2821.897558351702,2823.985302871806,7.586215428567639,7.579254349207437,7.60773390238827,7.61113478048621,7.586221222222126,3288.1253832501898,131072,131072,131072,64,64,64,True,42,0.007761849606642723,1.0,0.0,0.42857142857142855,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.2137499652453698e-05,2.6156072707499334,0.4777596620015174,3.093366932751451,"{""node0"": {""gpu_mem_used_peak_mb"": 89525.0, ""gpu_power_mean_w"": 159.85315476190476, ""gpu_samples"": 336, ""gpu_sm_clock_mean_mhz"": 2329.6755952380954, ""gpu_util_mean_pct"": 47.607142857142854, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 89609.0, ""gpu_power_mean_w"": 157.65185975609756, ""gpu_samples"": 328, ""gpu_sm_clock_mean_mhz"": 2339.2256097560976, ""gpu_util_mean_pct"": 47.8109756097561, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp8_pp2_dist,topology;long_context_scaleout;scaleout_1m,"TP8 within each 8-GPU node, PP across nodes.",8,2,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,512k_c1,COMPLETED,524288,32,1,2,0,inf,,,0,2,0,31.706736265998188,0.06307807852632152,2.0184985128422888,33073.098132920895,15545.555016502476,15545.555016502476,15578.768499051512,15581.720808611426,9.920863435435159,9.920863435435159,9.95885590485071,9.962233013243203,9.92088488707058,15853.101783000966,524288,524288,524288,32,32,32,True,75,0.030866890296183724,1.0,0.0,0.6533333333333333,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.7860002117231488e-05,14.814791379498274,0.30677387149989954,15.121565250998174,"{""node0"": {""gpu_mem_used_peak_mb"": 89527.0, ""gpu_power_mean_w"": 216.7531587837838, ""gpu_samples"": 592, ""gpu_sm_clock_mean_mhz"": 2381.275337837838, ""gpu_util_mean_pct"": 63.998310810810814, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 89609.0, ""gpu_power_mean_w"": 239.46381756756756, ""gpu_samples"": 592, ""gpu_sm_clock_mean_mhz"": 2388.5675675675675, ""gpu_util_mean_pct"": 64.52027027027027, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp8_pp2_dist,topology;long_context_scaleout;scaleout_1m,"TP8 within each 8-GPU node, PP across nodes.",8,2,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,1m_c1,COMPLETED,1000000,32,1,1,0,inf,,,0,1,0,41.85992191299738,0.02388919888762389,0.7644543644039645,23889.963341988296,41471.61929699723,41471.61929699723,41471.61929699723,41471.61929699723,12.514414064606816,12.514414064606816,12.514414064606816,12.514414064606816,12.51442051615149,41859.566133000044,1000000,1000000,1000000,32,32,32,True,92,0.05881556581777703,1.0,0.0,0.7065217391304348,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,2.227000004495494e-05,40.08527967300324,0.3866058259991405,40.47188549900238,"{""node0"": {""gpu_mem_used_peak_mb"": 89531.0, ""gpu_power_mean_w"": 246.54927989130434, ""gpu_samples"": 736, ""gpu_sm_clock_mean_mhz"": 2402.3627717391305, ""gpu_util_mean_pct"": 63.213315217391305, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 89615.0, ""gpu_power_mean_w"": 288.4293818681319, ""gpu_samples"": 728, ""gpu_sm_clock_mean_mhz"": 2410.502747252747, ""gpu_util_mean_pct"": 71.09065934065934, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp4_dist,topology;long_context_scaleout;scaleout_1m,Four TP4 stages across two nodes; local TP groups with multiple PP boundaries.,4,4,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,128k_c1,COMPLETED,131072,64,1,4,1,inf,,,0,4,0,9.26752108599976,0.4316148798455621,27.623352310115976,56600.24888342764,1960.865962999378,1948.8316679999116,1994.0314771485646,2000.1238050281609,5.647640134922103,5.6474790634970375,5.653728198396695,5.6541090174378335,5.647643825406184,2316.6672914994706,131072,131072,131072,64,64,64,True,35,0.0036512751376249764,1.0,0.0,0.34285714285714286,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.2395000339893159e-05,1.7674677400000292,0.3556500787490222,2.1231178187490514,"{""node0"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 150.16753571428572, ""gpu_samples"": 280, ""gpu_sm_clock_mean_mhz"": 2330.6178571428572, ""gpu_util_mean_pct"": 38.32857142857143, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 152.84217857142858, ""gpu_samples"": 280, ""gpu_sm_clock_mean_mhz"": 2341.8571428571427, ""gpu_util_mean_pct"": 35.910714285714285, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp4_dist,topology;long_context_scaleout;scaleout_1m,Four TP4 stages across two nodes; local TP groups with multiple PP boundaries.,4,4,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,512k_c1,COMPLETED,524288,32,1,2,0,inf,,,0,2,0,22.771330935996957,0.08782973668167972,2.810551573813751,46050.88753693831,11134.243245998732,11134.243245998732,11147.789650000232,11148.993774800365,8.101742161318638,8.101742161318638,8.125843870995244,8.127986245188719,8.101754419370874,11385.39725299961,524288,524288,524288,32,32,32,True,60,0.014422536793618712,1.0,0.0,0.55,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.9889999748556875e-05,10.39495158400132,0.2499320870010706,10.64488367100239,"{""node0"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 229.19225, ""gpu_samples"": 480, ""gpu_sm_clock_mean_mhz"": 2369.05, ""gpu_util_mean_pct"": 57.86875, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 262.6016041666667, ""gpu_samples"": 480, ""gpu_sm_clock_mean_mhz"": 2383.977083333333, ""gpu_util_mean_pct"": 55.62291666666667, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp4_dist,topology;long_context_scaleout;scaleout_1m,Four TP4 stages across two nodes; local TP groups with multiple PP boundaries.,4,4,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,1m_c1,COMPLETED,1000000,32,1,1,0,inf,,,0,1,0,30.01586117500119,0.033315719118292474,1.0661030117853592,33316.78522130426,29683.658138001192,29683.658138001192,29683.658138001192,29683.658138001192,10.705165387104985,10.705165387104985,10.705165387104985,10.705165387104985,10.705172806469378,30015.518265001447,1000000,1000000,1000000,32,32,32,True,73,0.02748286709358494,1.0,0.0,0.6301369863013698,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,3.4520002373028547e-05,28.28556571399895,0.33047200700093526,28.616037720999884,"{""node0"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 277.6726198630137, ""gpu_samples"": 584, ""gpu_sm_clock_mean_mhz"": 2400.220890410959, ""gpu_util_mean_pct"": 63.36643835616438, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 330.5660590277778, ""gpu_samples"": 576, ""gpu_sm_clock_mean_mhz"": 2408.7638888888887, ""gpu_util_mean_pct"": 62.49131944444444, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp16_pp1_dist,topology;stress;long_context_scaleout;scaleout_1m,Cross-node TP16 stress; failure is evidence only for this tested GCP/Ray/NCCL stack.,16,1,GCP_CAPPED_20G,20g,20,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,128k_c1,COMPLETED,131072,64,1,3,0,inf,,,0,3,0,96.0655514680002,0.03122867619199908,1.9986352762879411,4095.2036811139915,31053.114879998855,31033.819483000116,31157.61116109752,31168.61486581729,15.372883587313856,15.375410158744744,15.401510858744528,15.403830920966731,15.372890888872062,32021.606545999624,131072,131072,131072,64,64,64,True,179,0.01595232922628098,1.0,0.0,0.8212290502793296,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.3780000396460915e-05,30.85611145533282,0.9684858193334852,31.824597274666303,"{""node0"": {""gpu_mem_used_peak_mb"": 88791.0, ""gpu_power_mean_w"": 124.39299581005587, ""gpu_samples"": 1432, ""gpu_sm_clock_mean_mhz"": 2327.447625698324, ""gpu_util_mean_pct"": 87.68086592178771, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 88791.0, ""gpu_power_mean_w"": 118.01463983050847, ""gpu_samples"": 1416, ""gpu_sm_clock_mean_mhz"": 2325.257768361582, ""gpu_util_mean_pct"": 88.02824858757062, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
