case,groups,purpose,tp,pp,network_provenance,network_mode,configured_network_cap_gbps,nccl_transport_provenance,physical_gpu_indices,max_num_batched_tokens,max_num_seqs,max_num_active_seqs,kv_cache_dtype,kv_cache_memory_bytes,offload_gib_total,prefix_caching,observability_profile,bench,status,requested_input_tokens,requested_output_tokens,concurrency,prompts_requested,warmups,request_rate,burstiness,probe_request_rate,bench_exit_code,completed,failed,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms_raw,p99_ttft_ms_raw,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms_raw,p99_tpot_ms_raw,mean_itl_ms,mean_e2el_ms,actual_input_min,actual_input_max,actual_input_mean,actual_output_min,actual_output_max,actual_output_mean,input_len_exact_match,metric_samples,peak_kv_usage,peak_running,peak_waiting,mean_running,mean_waiting,preemptions_delta,preemptions_metric,prefix_hits_delta,prefix_queries_delta,prefix_hit_metric,prefix_query_metric,offload_bytes_delta,offload_time_delta_s,queue_mean_s_from_hist,prefill_mean_s_from_hist,decode_mean_s_from_hist,inference_mean_s_from_hist,gpu_node_stats_json,metrics_capture_status,p95_reliable,p99_reliable,p95_ttft_ms,p99_ttft_ms,p95_tpot_ms,p99_tpot_ms
tp4_pp2_dist,qualification;topology;long_context_scaleout;scaleout_1m,One TP4 group per node; one remote PP boundary; force 4 visible GPUs/node so placement cannot collapse to one node.,4,2,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3]",8192,8,,auto,,,,,128k_c1,COMPLETED,131072,64,1,4,1,inf,,,0,4,0,11.977652680001484,0.33395525040382995,21.373136025845117,43793.55571695664,2647.2272814999087,2642.3037165004644,2662.12277964878,2664.914256728516,5.507025928564539,5.512696761884615,5.515844976209683,5.516130595263218,5.507029976191309,2994.1699149994747,131072,131072,131072,64,64,64,True,40,0.007852612503775336,1.0,0.0,0.4,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.2227500519657042e-05,2.4518351440001425,0.34679202100051043,2.798627165000653,"{""node0"": {""gpu_mem_used_peak_mb"": 90589.0, ""gpu_power_mean_w"": 183.039625, ""gpu_samples"": 160, ""gpu_sm_clock_mean_mhz"": 2336.125, ""gpu_util_mean_pct"": 41.19375, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90813.0, ""gpu_power_mean_w"": 194.70782051282052, ""gpu_samples"": 156, ""gpu_sm_clock_mean_mhz"": 2351.4102564102564, ""gpu_util_mean_pct"": 43.73076923076923, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp2_dist,qualification;topology;long_context_scaleout;scaleout_1m,One TP4 group per node; one remote PP boundary; force 4 visible GPUs/node so placement cannot collapse to one node.,4,2,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3]",8192,8,,auto,,,,,512k_c1,COMPLETED,524288,32,1,2,0,inf,,,0,2,0,36.37896081500003,0.05497683153102455,1.7592586089927855,28825.45230834679,17945.461865498146,17945.461865498146,17952.287312047883,17952.89401840786,7.861564096827117,7.861564096827117,7.873720193610127,7.874800735546394,7.861583129030601,18189.170352499787,524288,524288,524288,32,32,32,True,83,0.031048021745696208,1.0,0.0,0.6987951807228916,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,2.348999805690255e-05,17.223685049501,0.24296365699956368,17.466648706500564,"{""node0"": {""gpu_mem_used_peak_mb"": 90591.0, ""gpu_power_mean_w"": 291.50158536585366, ""gpu_samples"": 328, ""gpu_sm_clock_mean_mhz"": 2391.682926829268, ""gpu_util_mean_pct"": 70.42073170731707, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90815.0, ""gpu_power_mean_w"": 346.05904320987656, ""gpu_samples"": 324, ""gpu_sm_clock_mean_mhz"": 2394.0216049382716, ""gpu_util_mean_pct"": 69.10185185185185, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp2_dist,qualification;topology;long_context_scaleout;scaleout_1m,One TP4 group per node; one remote PP boundary; force 4 visible GPUs/node so placement cannot collapse to one node.,4,2,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3]",8192,8,,auto,,,,,1m_c1,COMPLETED,1000000,32,1,1,0,inf,,,0,1,0,52.85349290500017,0.018920225420057255,0.6054472134418322,18920.8308672707,52526.41852800298,52526.41852800298,52526.41852800298,52526.41852800298,10.540101193445508,10.540101193445508,10.540101193445508,10.540101193445508,10.540111193545126,52853.16166499979,1000000,1000000,1000000,32,32,32,True,110,0.05910601026880091,1.0,0.0,0.7636363636363637,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,2.1030002244515345e-05,51.16725621299702,0.3253686970019771,51.492624909998995,"{""node0"": {""gpu_mem_used_peak_mb"": 90591.0, ""gpu_power_mean_w"": 343.44970454545455, ""gpu_samples"": 440, ""gpu_sm_clock_mean_mhz"": 2421.5227272727275, ""gpu_util_mean_pct"": 76.2090909090909, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90815.0, ""gpu_power_mean_w"": 414.3063425925926, ""gpu_samples"": 432, ""gpu_sm_clock_mean_mhz"": 2418.3333333333335, ""gpu_util_mean_pct"": 75.92129629629629, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp8_pp2_dist,topology;long_context_scaleout;scaleout_1m,"TP8 within each 8-GPU node, PP across nodes.",8,2,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,128k_c1,COMPLETED,131072,64,1,4,1,inf,,,0,4,0,13.05218880800021,0.30646200869759405,19.61356855664602,40188.201972567695,2787.7487120003934,2782.450834500196,2803.246276500613,2805.797278500577,7.540801269825019,7.541440634899089,7.552306190469636,7.553637047615392,7.540808531735993,3262.8191919993697,131072,131072,131072,64,64,64,True,42,0.007761849606642723,1.0,0.0,0.42857142857142855,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.1887500477314461e-05,2.5932751067502977,0.474927002498589,3.0682021092488867,"{""node0"": {""gpu_mem_used_peak_mb"": 89525.0, ""gpu_power_mean_w"": 159.3852976190476, ""gpu_samples"": 336, ""gpu_sm_clock_mean_mhz"": 2330.223214285714, ""gpu_util_mean_pct"": 47.38988095238095, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 89609.0, ""gpu_power_mean_w"": 158.27134146341464, ""gpu_samples"": 328, ""gpu_sm_clock_mean_mhz"": 2339.0914634146343, ""gpu_util_mean_pct"": 47.22560975609756, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp8_pp2_dist,topology;long_context_scaleout;scaleout_1m,"TP8 within each 8-GPU node, PP across nodes.",8,2,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,512k_c1,COMPLETED,524288,32,1,2,0,inf,,,0,2,0,31.76457125500019,0.06296322981803734,2.014823354177195,33012.88065819334,15575.729030499133,15575.729030499133,15609.39100104788,15612.383176207768,9.878694258077303,9.878694258077303,9.927830338746125,9.932197990361132,9.878718774181776,15881.96855249953,524288,524288,524288,32,32,32,True,76,0.030866890296183724,1.0,0.0,0.6447368421052632,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.9910001356038265e-05,14.845600363498306,0.30539515200143796,15.150995515499744,"{""node0"": {""gpu_mem_used_peak_mb"": 89527.0, ""gpu_power_mean_w"": 212.65356907894736, ""gpu_samples"": 608, ""gpu_sm_clock_mean_mhz"": 2380.6875, ""gpu_util_mean_pct"": 62.452302631578945, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 89609.0, ""gpu_power_mean_w"": 239.49319256756758, ""gpu_samples"": 592, ""gpu_sm_clock_mean_mhz"": 2387.152027027027, ""gpu_util_mean_pct"": 64.72804054054055, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp8_pp2_dist,topology;long_context_scaleout;scaleout_1m,"TP8 within each 8-GPU node, PP across nodes.",8,2,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,1m_c1,COMPLETED,1000000,32,1,1,0,inf,,,0,1,0,41.90192917400054,0.02386524963677528,0.763687988376809,23866.01332476366,41514.880147999065,41514.880147999065,41514.880147999065,41514.880147999065,12.474252451577359,12.474252451577359,12.474252451577359,12.474252451577359,12.474260193548321,41901.58197399796,1000000,1000000,1000000,32,32,32,True,93,0.05881556581777703,1.0,0.0,0.7096774193548387,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,3.781000123126432e-05,40.13556194299963,0.38569542600089335,40.52125736900052,"{""node0"": {""gpu_mem_used_peak_mb"": 89531.0, ""gpu_power_mean_w"": 247.3521875, ""gpu_samples"": 736, ""gpu_sm_clock_mean_mhz"": 2403.2323369565215, ""gpu_util_mean_pct"": 64.01086956521739, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 89615.0, ""gpu_power_mean_w"": 288.7338324175824, ""gpu_samples"": 728, ""gpu_sm_clock_mean_mhz"": 2411.1565934065934, ""gpu_util_mean_pct"": 71.34615384615384, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp4_dist,topology;long_context_scaleout;scaleout_1m,Four TP4 stages across two nodes; local TP groups with multiple PP boundaries.,4,4,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,128k_c1,COMPLETED,131072,64,1,4,1,inf,,,0,4,0,8.259973490999982,0.4842630553667486,30.99283554347191,63504.320028573944,1709.966466500191,1708.906666499388,1713.6284075013464,1714.2595151015485,5.631643908730309,5.630526690491399,5.662085023784981,5.664931747585739,5.6316496626990675,2064.7600327502005,131072,131072,131072,64,64,64,True,33,0.0036512751376249764,1.0,0.0,0.30303030303030304,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.2067500392731745e-05,1.51581576100034,0.3546366187483727,1.8704523797487127,"{""node0"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 154.38375, ""gpu_samples"": 264, ""gpu_sm_clock_mean_mhz"": 2331.590909090909, ""gpu_util_mean_pct"": 36.40151515151515, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 153.94272727272727, ""gpu_samples"": 264, ""gpu_sm_clock_mean_mhz"": 2343.7007575757575, ""gpu_util_mean_pct"": 34.08712121212121, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp4_dist,topology;long_context_scaleout;scaleout_1m,Four TP4 stages across two nodes; local TP groups with multiple PP boundaries.,4,4,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,512k_c1,COMPLETED,524288,32,1,2,0,inf,,,0,2,0,20.941725982000207,0.09550311190773082,3.0560995810473863,50074.19163546143,10221.758398500242,10221.758398500242,10228.30318004926,10228.884938409174,8.026276048410857,8.026276048410857,8.028978385505804,8.029218593247577,8.026295080673018,10470.572956000979,524288,524288,524288,32,32,32,True,57,0.014436580159532642,1.0,0.0,0.543859649122807,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.6109999705804512e-05,9.490665396499026,0.24798722250125138,9.738652619000277,"{""node0"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 233.18609649122806, ""gpu_samples"": 456, ""gpu_sm_clock_mean_mhz"": 2370.160087719298, ""gpu_util_mean_pct"": 55.32236842105263, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 270.6383705357143, ""gpu_samples"": 448, ""gpu_sm_clock_mean_mhz"": 2380.6808035714284, ""gpu_util_mean_pct"": 55.299107142857146, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp4_pp4_dist,topology;long_context_scaleout;scaleout_1m,Four TP4 stages across two nodes; local TP groups with multiple PP boundaries.,4,4,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,1m_c1,COMPLETED,1000000,32,1,1,0,inf,,,0,1,0,28.898278045999177,0.03460413794926598,1.1073324143765113,34605.245281680356,28567.954939997435,28567.954939997435,28567.954939997435,28567.954939997435,10.642206645218634,10.642206645218634,10.642206645218634,10.642206645218634,10.642215032285389,28897.863345999212,1000000,1000000,1000000,32,32,32,True,71,0.02748286709358494,1.0,0.0,0.6197183098591549,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.979999797185883e-05,27.201337763999618,0.32860134600196034,27.52993911000158,"{""node0"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 282.1706161971831, ""gpu_samples"": 568, ""gpu_sm_clock_mean_mhz"": 2401.364436619718, ""gpu_util_mean_pct"": 62.78345070422535, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 90967.0, ""gpu_power_mean_w"": 337.01653571428574, ""gpu_samples"": 560, ""gpu_sm_clock_mean_mhz"": 2410.714285714286, ""gpu_util_mean_pct"": 62.83392857142857, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
tp16_pp1_dist,topology;stress;long_context_scaleout;scaleout_1m,Cross-node TP16 stress; failure is evidence only for this tested GCP/Ray/NCCL stack.,16,1,GCP_NATIVE,native,0,GCP_NCCL_SOCKET_NET_PLUGIN_DISABLED,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,,,,128k_c1,COMPLETED,131072,64,1,3,0,inf,,,0,3,0,22.086133680000785,0.13583183202031102,8.693237249299905,17812.443123815505,6420.4375773333595,6400.866721000057,6546.574001199406,6559.525759439348,14.941562529096334,14.921129666675817,15.01365952380371,15.021884399992857,14.94157020105468,7361.756016666429,131072,131072,131072,64,64,64,True,56,0.01595232922628098,1.0,0.0,0.5892857142857143,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.8746667289330315e-05,6.225498802665243,0.9412843096676321,7.166783112332875,"{""node0"": {""gpu_mem_used_peak_mb"": 88791.0, ""gpu_power_mean_w"": 154.08120454545454, ""gpu_samples"": 440, ""gpu_sm_clock_mean_mhz"": 2325.7090909090907, ""gpu_util_mean_pct"": 64.575, ""gpu_util_peak_pct"": 100.0}, ""node1"": {""gpu_mem_used_peak_mb"": 88791.0, ""gpu_power_mean_w"": 146.06811363636365, ""gpu_samples"": 440, ""gpu_sm_clock_mean_mhz"": 2332.6204545454543, ""gpu_util_mean_pct"": 61.76136363636363, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,
