file,kernel,value,unit
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Copy,1712725.426,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Mul,1444677.122,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Add,1468652.76,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Triad,1462571.272,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Dot,1306064.594,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Copy,1716997.928,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Mul,1445766.446,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Add,1472412.133,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Triad,1466246.141,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu0.log,Dot,1318639.564,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Copy,1716503.859,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Mul,1444016.547,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Add,1470959.811,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Triad,1466059.29,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Dot,1308037.501,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Copy,1719252.288,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Mul,1444988.19,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Add,1472923.818,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Triad,1465925.854,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/110_babelstream_gpu4.log,Dot,1311969.189,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu0.log,Copy,1710270.179,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu0.log,Mul,1447481.564,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu0.log,Add,1470315.254,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu0.log,Triad,1464752.666,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu0.log,Dot,1306986.664,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu4.log,Copy,1716229.499,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu4.log,Mul,1442852.299,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu4.log,Add,1474245.067,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu4.log,Triad,1463102.72,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/110_babelstream_gpu4.log,Dot,1306382.402,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu0.log,Copy,1710270.179,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu0.log,Mul,1447481.564,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu0.log,Add,1470315.254,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu0.log,Triad,1464752.666,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu0.log,Dot,1306986.664,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu4.log,Copy,1716229.499,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu4.log,Mul,1442852.299,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu4.log,Add,1474245.067,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu4.log,Triad,1463102.72,MBytes/sec
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/110_babelstream_gpu4.log,Dot,1306382.402,MBytes/sec
