file,label,kind,tp,network_provenance,cap_gbit,size_label,size_bytes,time_us,algbw_GBs,busbw_GBs,parse_index,raw_line
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/120_ar_tp4_native_16k.log,120_ar_tp4_native_16k,ALLREDUCE,4,,,16K,16384,19.66,0.83,1.25,5,16384          4096     float     sum      -1    19.66    0.83    1.25       0    16.65    0.98    1.48       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/120_ar_tp4_native_128k.log,120_ar_tp4_native_128k,ALLREDUCE,4,,,128K,131072,28.64,4.58,6.87,5,131072         32768     float     sum      -1    28.64    4.58    6.87       0    26.80    4.89    7.34       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/120_ar_tp4_native_512k.log,120_ar_tp4_native_512k,ALLREDUCE,4,,,512K,524288,78.21,6.7,10.06,5,524288        131072     float     sum      -1    78.21    6.70   10.06       0    76.89    6.82   10.23       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/120_ar_tp4_native_64m.log,120_ar_tp4_native_64m,ALLREDUCE,4,,,64M,67108864,3986.41,16.83,25.25,5,67108864      16777216     float     sum      -1  3986.41   16.83   25.25       0  3981.47   16.86   25.28       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/120_ar_tp4_native_128m.log,120_ar_tp4_native_128m,ALLREDUCE,4,,,128M,134217728,7894.3,17.0,25.5,5,134217728      33554432     float     sum      -1  7894.30   17.00   25.50       0  7817.03   17.17   25.75       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/120_ar_tp4_native_256m.log,120_ar_tp4_native_256m,ALLREDUCE,4,,,256M,268435456,15515.0,17.3,25.95,5,268435456      67108864     float     sum      -1  15515.0   17.30   25.95       0  15453.2   17.37   26.06       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/120_ar_tp4_native_16k.log,120_ar_tp4_native_16k,ALLREDUCE,4,,,16K,16384,19.04,0.86,1.29,5,16384          4096     float     sum      -1    19.04    0.86    1.29       0    16.70    0.98    1.47       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/120_ar_tp4_native_128k.log,120_ar_tp4_native_128k,ALLREDUCE,4,,,128K,131072,28.66,4.57,6.86,5,131072         32768     float     sum      -1    28.66    4.57    6.86       0    26.70    4.91    7.36       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/120_ar_tp4_native_512k.log,120_ar_tp4_native_512k,ALLREDUCE,4,,,512K,524288,78.51,6.68,10.02,5,524288        131072     float     sum      -1    78.51    6.68   10.02       0    77.23    6.79   10.18       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/120_ar_tp4_native_64m.log,120_ar_tp4_native_64m,ALLREDUCE,4,,,64M,67108864,3992.23,16.81,25.21,5,67108864      16777216     float     sum      -1  3992.23   16.81   25.21       0  3977.49   16.87   25.31       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/120_ar_tp4_native_128m.log,120_ar_tp4_native_128m,ALLREDUCE,4,,,128M,134217728,7936.63,16.91,25.37,5,134217728      33554432     float     sum      -1  7936.63   16.91   25.37       0  7833.12   17.13   25.70       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/120_ar_tp4_native_256m.log,120_ar_tp4_native_256m,ALLREDUCE,4,,,256M,268435456,15435.1,17.39,26.09,5,268435456      67108864     float     sum      -1  15435.1   17.39   26.09       0  15496.0   17.32   25.98       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/120_ar_tp4_native_16k.log,120_ar_tp4_native_16k,ALLREDUCE,4,,,16K,16384,19.04,0.86,1.29,5,16384          4096     float     sum      -1    19.04    0.86    1.29       0    16.70    0.98    1.47       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/120_ar_tp4_native_128k.log,120_ar_tp4_native_128k,ALLREDUCE,4,,,128K,131072,28.66,4.57,6.86,5,131072         32768     float     sum      -1    28.66    4.57    6.86       0    26.70    4.91    7.36       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/120_ar_tp4_native_512k.log,120_ar_tp4_native_512k,ALLREDUCE,4,,,512K,524288,78.51,6.68,10.02,5,524288        131072     float     sum      -1    78.51    6.68   10.02       0    77.23    6.79   10.18       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/120_ar_tp4_native_64m.log,120_ar_tp4_native_64m,ALLREDUCE,4,,,64M,67108864,3992.23,16.81,25.21,5,67108864      16777216     float     sum      -1  3992.23   16.81   25.21       0  3977.49   16.87   25.31       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/120_ar_tp4_native_128m.log,120_ar_tp4_native_128m,ALLREDUCE,4,,,128M,134217728,7936.63,16.91,25.37,5,134217728      33554432     float     sum      -1  7936.63   16.91   25.37       0  7833.12   17.13   25.70       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/120_ar_tp4_native_256m.log,120_ar_tp4_native_256m,ALLREDUCE,4,,,256M,268435456,15435.1,17.39,26.09,5,268435456      67108864     float     sum      -1  15435.1   17.39   26.09       0  15496.0   17.32   25.98       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/121_ar_tp8_native_16k.log,121_ar_tp8_native_16k,ALLREDUCE,8,,,16K,16384,37.03,0.44,0.77,5,16384          4096     float     sum      -1    37.03    0.44    0.77       0    34.34    0.48    0.83       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/121_ar_tp8_native_128k.log,121_ar_tp8_native_128k,ALLREDUCE,8,,,128K,131072,54.6,2.4,4.2,5,131072         32768     float     sum      -1    54.60    2.40    4.20       0    51.79    2.53    4.43       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/121_ar_tp8_native_512k.log,121_ar_tp8_native_512k,ALLREDUCE,8,,,512K,524288,168.72,3.11,5.44,5,524288        131072     float     sum      -1   168.72    3.11    5.44       0   166.45    3.15    5.51       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/121_ar_tp8_native_64m.log,121_ar_tp8_native_64m,ALLREDUCE,8,,,64M,67108864,4682.37,14.33,25.08,5,67108864      16777216     float     sum      -1  4682.37   14.33   25.08       0  4582.00   14.65   25.63       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/121_ar_tp8_native_128m.log,121_ar_tp8_native_128m,ALLREDUCE,8,,,128M,134217728,9173.41,14.63,25.6,5,134217728      33554432     float     sum      -1  9173.41   14.63   25.60       0  9733.12   13.79   24.13       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/121_ar_tp8_native_256m.log,121_ar_tp8_native_256m,ALLREDUCE,8,,,256M,268435456,18760.5,14.31,25.04,5,268435456      67108864     float     sum      -1  18760.5   14.31   25.04       0  18617.0   14.42   25.23       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/140_ar_tp8_sensitivity_p2p_SYS.log,140_ar_tp8_sensitivity_p2p_SYS,ALLREDUCE,8,,,,16384,37.2,0.44,0.77,5,16384          4096     float     sum      -1    37.20    0.44    0.77       0    34.11    0.48    0.84       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/140_ar_tp8_sensitivity_p2p_PHB.log,140_ar_tp8_sensitivity_p2p_PHB,ALLREDUCE,8,,,,16384,37.97,0.43,0.76,5,16384          4096     float     sum      -1    37.97    0.43    0.76       0    33.94    0.48    0.84       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node0/141_ar_tp8_sensitivity_p2p_disabled.log,141_ar_tp8_sensitivity_p2p_disabled,ALLREDUCE,8,,,,16384,38.77,0.42,0.74,5,16384          4096     float     sum      -1    38.77    0.42    0.74       0    34.93    0.47    0.82       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/121_ar_tp8_native_16k.log,121_ar_tp8_native_16k,ALLREDUCE,8,,,16K,16384,37.61,0.44,0.76,5,16384          4096     float     sum      -1    37.61    0.44    0.76       0    34.48    0.48    0.83       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/121_ar_tp8_native_128k.log,121_ar_tp8_native_128k,ALLREDUCE,8,,,128K,131072,55.52,2.36,4.13,5,131072         32768     float     sum      -1    55.52    2.36    4.13       0    52.61    2.49    4.36       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/121_ar_tp8_native_512k.log,121_ar_tp8_native_512k,ALLREDUCE,8,,,512K,524288,168.47,3.11,5.45,5,524288        131072     float     sum      -1   168.47    3.11    5.45       0   166.60    3.15    5.51       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/121_ar_tp8_native_64m.log,121_ar_tp8_native_64m,ALLREDUCE,8,,,64M,67108864,4881.19,13.75,24.06,5,67108864      16777216     float     sum      -1  4881.19   13.75   24.06       0  4821.74   13.92   24.36       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/121_ar_tp8_native_128m.log,121_ar_tp8_native_128m,ALLREDUCE,8,,,128M,134217728,9608.52,13.97,24.45,5,134217728      33554432     float     sum      -1  9608.52   13.97   24.45       0  9651.30   13.91   24.34       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/121_ar_tp8_native_256m.log,121_ar_tp8_native_256m,ALLREDUCE,8,,,256M,268435456,18831.2,14.25,24.95,5,268435456      67108864     float     sum      -1  18831.2   14.25   24.95       0  18900.8   14.20   24.85       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/140_ar_tp8_sensitivity_p2p_SYS.log,140_ar_tp8_sensitivity_p2p_SYS,ALLREDUCE,8,,,,16384,37.49,0.44,0.76,5,16384          4096     float     sum      -1    37.49    0.44    0.76       0    33.09    0.50    0.87       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/140_ar_tp8_sensitivity_p2p_PHB.log,140_ar_tp8_sensitivity_p2p_PHB,ALLREDUCE,8,,,,16384,38.25,0.43,0.75,5,16384          4096     float     sum      -1    38.25    0.43    0.75       0    33.99    0.48    0.84       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/141_ar_tp8_sensitivity_p2p_disabled.log,141_ar_tp8_sensitivity_p2p_disabled,ALLREDUCE,8,,,,16384,38.48,0.43,0.75,5,16384          4096     float     sum      -1    38.48    0.43    0.75       0    34.72    0.47    0.83       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/121_ar_tp8_native_16k.log,121_ar_tp8_native_16k,ALLREDUCE,8,,,16K,16384,37.61,0.44,0.76,5,16384          4096     float     sum      -1    37.61    0.44    0.76       0    34.48    0.48    0.83       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/121_ar_tp8_native_128k.log,121_ar_tp8_native_128k,ALLREDUCE,8,,,128K,131072,55.52,2.36,4.13,5,131072         32768     float     sum      -1    55.52    2.36    4.13       0    52.61    2.49    4.36       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/121_ar_tp8_native_512k.log,121_ar_tp8_native_512k,ALLREDUCE,8,,,512K,524288,168.47,3.11,5.45,5,524288        131072     float     sum      -1   168.47    3.11    5.45       0   166.60    3.15    5.51       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/121_ar_tp8_native_64m.log,121_ar_tp8_native_64m,ALLREDUCE,8,,,64M,67108864,4881.19,13.75,24.06,5,67108864      16777216     float     sum      -1  4881.19   13.75   24.06       0  4821.74   13.92   24.36       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/121_ar_tp8_native_128m.log,121_ar_tp8_native_128m,ALLREDUCE,8,,,128M,134217728,9608.52,13.97,24.45,5,134217728      33554432     float     sum      -1  9608.52   13.97   24.45       0  9651.30   13.91   24.34       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/121_ar_tp8_native_256m.log,121_ar_tp8_native_256m,ALLREDUCE,8,,,256M,268435456,18831.2,14.25,24.95,5,268435456      67108864     float     sum      -1  18831.2   14.25   24.95       0  18900.8   14.20   24.85       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/140_ar_tp8_sensitivity_p2p_SYS.log,140_ar_tp8_sensitivity_p2p_SYS,ALLREDUCE,8,,,,16384,37.49,0.44,0.76,5,16384          4096     float     sum      -1    37.49    0.44    0.76       0    33.09    0.50    0.87       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/140_ar_tp8_sensitivity_p2p_PHB.log,140_ar_tp8_sensitivity_p2p_PHB,ALLREDUCE,8,,,,16384,38.25,0.43,0.75,5,16384          4096     float     sum      -1    38.25    0.43    0.75       0    33.99    0.48    0.84       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/node1/v8full_hw_node1/141_ar_tp8_sensitivity_p2p_disabled.log,141_ar_tp8_sensitivity_p2p_disabled,ALLREDUCE,8,,,,16384,38.48,0.43,0.75,5,16384          4096     float     sum      -1    38.48    0.43    0.75       0    34.72    0.47    0.83       0
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_NATIVE_16k.log,220_sendrecv_GCP_NATIVE_16k,SENDRECV,,GCP_NATIVE,0.0,16K,16384,-1.0,169.31,0.1,4,16384          4096     float     sum      -1   169.31    0.10    0.10       0   116.19    0.14    0.14    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_NATIVE_128k.log,220_sendrecv_GCP_NATIVE_128k,SENDRECV,,GCP_NATIVE,0.0,128K,131072,-1.0,200.81,0.65,4,131072         32768     float     sum      -1   200.81    0.65    0.65       0   177.64    0.74    0.74    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_NATIVE_512k.log,220_sendrecv_GCP_NATIVE_512k,SENDRECV,,GCP_NATIVE,0.0,512K,524288,-1.0,309.96,1.69,4,524288        131072     float     sum      -1   309.96    1.69    1.69       0   274.67    1.91    1.91    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_NATIVE_64m.log,220_sendrecv_GCP_NATIVE_64m,SENDRECV,,GCP_NATIVE,0.0,64M,67108864,-1.0,9267.93,7.24,4,67108864      16777216     float     sum      -1  9267.93    7.24    7.24       0  9362.58    7.17    7.17    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_NATIVE_128m.log,220_sendrecv_GCP_NATIVE_128m,SENDRECV,,GCP_NATIVE,0.0,128M,134217728,-1.0,19218.0,6.98,4,134217728      33554432     float     sum      -1  19218.0    6.98    6.98       0  19637.5    6.83    6.83    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_NATIVE_256m.log,220_sendrecv_GCP_NATIVE_256m,SENDRECV,,GCP_NATIVE,0.0,256M,268435456,-1.0,37742.4,7.11,4,268435456      67108864     float     sum      -1  37742.4    7.11    7.11       0  39068.4    6.87    6.87    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_100G_16k.log,220_sendrecv_GCP_CAPPED_100G_16k,SENDRECV,,GCP_CAPPED_100G,100.0,16K,16384,-1.0,174.65,0.09,4,16384          4096     float     sum      -1   174.65    0.09    0.09       0   119.38    0.14    0.14    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_100G_128k.log,220_sendrecv_GCP_CAPPED_100G_128k,SENDRECV,,GCP_CAPPED_100G,100.0,128K,131072,-1.0,217.54,0.6,4,131072         32768     float     sum      -1   217.54    0.60    0.60       0   183.60    0.71    0.71    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_100G_512k.log,220_sendrecv_GCP_CAPPED_100G_512k,SENDRECV,,GCP_CAPPED_100G,100.0,512K,524288,-1.0,338.75,1.55,4,524288        131072     float     sum      -1   338.75    1.55    1.55       0   294.59    1.78    1.78    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_100G_64m.log,220_sendrecv_GCP_CAPPED_100G_64m,SENDRECV,,GCP_CAPPED_100G,100.0,64M,67108864,-1.0,12149.7,5.52,4,67108864      16777216     float     sum      -1  12149.7    5.52    5.52       0  12075.7    5.56    5.56    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_100G_128m.log,220_sendrecv_GCP_CAPPED_100G_128m,SENDRECV,,GCP_CAPPED_100G,100.0,128M,134217728,-1.0,24864.6,5.4,4,134217728      33554432     float     sum      -1  24864.6    5.40    5.40       0  24669.4    5.44    5.44    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_100G_256m.log,220_sendrecv_GCP_CAPPED_100G_256m,SENDRECV,,GCP_CAPPED_100G,100.0,256M,268435456,-1.0,48418.3,5.54,4,268435456      67108864     float     sum      -1  48418.3    5.54    5.54       0  47949.9    5.60    5.60    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_50G_16k.log,220_sendrecv_GCP_CAPPED_50G_16k,SENDRECV,,GCP_CAPPED_50G,50.0,16K,16384,-1.0,167.42,0.1,4,16384          4096     float     sum      -1   167.42    0.10    0.10       0   108.99    0.15    0.15    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_50G_128k.log,220_sendrecv_GCP_CAPPED_50G_128k,SENDRECV,,GCP_CAPPED_50G,50.0,128K,131072,-1.0,221.6,0.59,4,131072         32768     float     sum      -1   221.60    0.59    0.59       0   190.30    0.69    0.69    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_50G_512k.log,220_sendrecv_GCP_CAPPED_50G_512k,SENDRECV,,GCP_CAPPED_50G,50.0,512K,524288,-1.0,366.63,1.43,4,524288        131072     float     sum      -1   366.63    1.43    1.43       0   316.90    1.65    1.65    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_50G_64m.log,220_sendrecv_GCP_CAPPED_50G_64m,SENDRECV,,GCP_CAPPED_50G,50.0,64M,67108864,-1.0,16262.8,4.13,4,67108864      16777216     float     sum      -1  16262.8    4.13    4.13       0  16150.1    4.16    4.16    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_50G_128m.log,220_sendrecv_GCP_CAPPED_50G_128m,SENDRECV,,GCP_CAPPED_50G,50.0,128M,134217728,-1.0,32268.8,4.16,4,134217728      33554432     float     sum      -1  32268.8    4.16    4.16       0  32514.1    4.13    4.13    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_50G_256m.log,220_sendrecv_GCP_CAPPED_50G_256m,SENDRECV,,GCP_CAPPED_50G,50.0,256M,268435456,-1.0,65597.5,4.09,4,268435456      67108864     float     sum      -1  65597.5    4.09    4.09       0  65771.6    4.08    4.08    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_20G_16k.log,220_sendrecv_GCP_CAPPED_20G_16k,SENDRECV,,GCP_CAPPED_20G,20.0,16K,16384,-1.0,169.76,0.1,4,16384          4096     float     sum      -1   169.76    0.10    0.10       0   117.02    0.14    0.14    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_20G_128k.log,220_sendrecv_GCP_CAPPED_20G_128k,SENDRECV,,GCP_CAPPED_20G,20.0,128K,131072,-1.0,222.8,0.59,4,131072         32768     float     sum      -1   222.80    0.59    0.59       0   191.23    0.69    0.69    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_20G_512k.log,220_sendrecv_GCP_CAPPED_20G_512k,SENDRECV,,GCP_CAPPED_20G,20.0,512K,524288,-1.0,426.54,1.23,4,524288        131072     float     sum      -1   426.54    1.23    1.23       0   416.40    1.26    1.26    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_20G_64m.log,220_sendrecv_GCP_CAPPED_20G_64m,SENDRECV,,GCP_CAPPED_20G,20.0,64M,67108864,-1.0,32539.4,2.06,4,67108864      16777216     float     sum      -1  32539.4    2.06    2.06       0  32611.1    2.06    2.06    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_20G_128m.log,220_sendrecv_GCP_CAPPED_20G_128m,SENDRECV,,GCP_CAPPED_20G,20.0,128M,134217728,-1.0,65459.8,2.05,4,134217728      33554432     float     sum      -1  65459.8    2.05    2.05       0  65544.4    2.05    2.05    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_20G_256m.log,220_sendrecv_GCP_CAPPED_20G_256m,SENDRECV,,GCP_CAPPED_20G,20.0,256M,268435456,-1.0,131637.0,2.04,4,268435456      67108864     float     sum      -1   131637    2.04    2.04       0   131254    2.05    2.05    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_10G_16k.log,220_sendrecv_GCP_CAPPED_10G_16k,SENDRECV,,GCP_CAPPED_10G,10.0,16K,16384,-1.0,177.57,0.09,4,16384          4096     float     sum      -1   177.57    0.09    0.09       0   117.54    0.14    0.14    N/A
/home/ayu23/v8_full_results/20260921_195656/hardware_raw/network_node0/220_sendrecv_GCP_CAPPED_10G_128k.log,220_sendrecv_GCP_CAPPED_10G_128k,SENDRECV,,GCP_CAPPED_10G,10.0,128K,131072,-1.0,297.48,0.44,4,131072         32768     float     sum      -1   297.48    0.44    0.44       0   249.97    0.52    0.52    N/A
