
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_183972.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_183972.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_183972.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
68.5,2212012772,11518,192048.3,44030.0,1930,134689498,4243282.8,cudaMemcpyAsync
7.3,236648205,10327,22915.5,17290.0,3060,50701279,500401.3,cudaStreamSynchronize
5.1,164375959,9432,17427.5,3950.0,2460,90924439,940920.2,cudaLaunchKernel
3.5,111748418,2097,53289.7,390.0,220,95997238,2111308.8,cuKernelGetFunction
3.4,110219137,52,2119598.8,71840.0,28090,103168538,14291413.4,cuModuleLoadData
2.8,90116358,38,2371483.1,1945255.0,64490,6902180,1752814.2,cuLibraryLoadData
1.7,55514859,8,6939357.4,7950369.5,1757280,11646820,4078636.3,cuMemExportToShareableHandle
1.6,50467010,103,489971.0,264120.0,3010,6675570,830631.8,cudaMalloc
1.1,36141660,64,564713.4,177460.0,46230,10970850,1459677.7,cuMemSetAccess
0.8,26327929,295,89247.2,3230.0,1730,5885770,451803.8,cudaHostAlloc
0.8,24252680,4269,5681.1,3290.0,2400,6488280,103130.5,cuLaunchKernelEx
0.5,16856870,128,131694.3,1255.0,870,1284720,276034.5,cudaStreamCreateWithPriority
0.5,15574850,2,7787425.0,7787425.0,28750,15546100,10972423.4,cudaDeviceSynchronize
0.4,12745740,8,1593217.5,1060335.0,146000,6169700,1930445.9,cuMemImportFromShareableHandle
0.4,12698090,50,253961.8,70445.0,6690,2293360,443859.0,cuMemCreate
0.4,11442570,672,17027.6,4975.0,2910,4354200,213084.0,cudaLaunchKernelExC_v11060
0.2,6949449,2097,3314.0,3070.0,2400,33450,1679.3,cuLaunchKernel
0.2,4886030,12354,395.5,340.0,160,311000,2811.5,cudaStreamIsCapturing_v10000
0.1,3876380,12,323031.7,15395.0,2390,3091340,882690.1,cudaStreamCreateWithFlags
0.1,3011370,21,143398.6,135600.0,2620,396570,119316.1,cudaFree
0.1,2883530,56,51491.6,30065.0,940,535570,79771.0,cuMemMap
0.1,2684420,2239,1198.9,930.0,400,18610,966.2,cudaStreamWaitEvent
0.1,2559040,1957,1307.6,650.0,340,94200,2399.2,cudaEventRecord
0.1,2355390,1136,2073.4,1560.0,390,18020,1794.0,cudaEventQuery
0.1,1995610,9424,211.8,170.0,80,126540,1341.0,cuKernelGetName
0.1,1752310,281,6236.0,5600.0,1580,67110,4841.4,cudaMemsetAsync
0.0,1468100,516,2845.2,200.0,130,303930,25567.5,cudaThreadExchangeStreamCaptureMode_v10010
0.0,1026970,2,513485.0,513485.0,439420,587550,104743.7,cuMemRelease
0.0,950300,1867,509.0,380.0,160,12190,509.1,cudaStreamGetCaptureInfo_v12030
0.0,892730,943,946.7,710.0,320,20820,1202.9,cudaEventRecordWithFlags_v11010
0.0,793760,892,889.9,770.0,350,7170,611.4,cudaGetFuncBySymbol_v11000
0.0,663660,2318,286.3,230.0,70,11080,408.5,cuGetProcAddress_v2
0.0,637560,62,10283.2,195.0,70,349050,55280.3,cuMemGetAllocationGranularity
0.0,347400,5,69480.0,56900.0,38610,139680,40214.8,cudaMemPoolCreate_v11020
0.0,322530,103,3131.4,1460.0,310,132250,12917.1,cuLibraryGetKernel
0.0,228320,269,848.8,500.0,190,10730,921.2,cudaEventCreateWithFlags
0.0,225590,56,4028.4,1840.0,630,28960,5658.2,cuMemAddressReserve
0.0,142960,146,979.2,550.0,230,20460,2220.4,cudaEventDestroy
0.0,70360,3,23453.3,23410.0,20940,26010,2535.3,cudaMemGetInfo
0.0,43800,93,471.0,180.0,140,13380,1392.8,cudaGetDriverEntryPointByVersion_v12050
0.0,19090,1,19090.0,19090.0,19090,19090,0.0,cudaProfilerStart
0.0,11610,5,2322.0,2390.0,1440,2750,526.5,cudaMemPoolSetAttribute_v11020
0.0,11500,7,1642.9,1680.0,490,3500,1058.4,cuInit
0.0,10420,22,473.6,235.0,80,2560,558.3,cudaGetDeviceProperties_v12000
0.0,7870,5,1574.0,270.0,190,6120,2566.7,cuModuleGetLoadingMode

