
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/decode_8k/node1_capture/worker_process_128115.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/decode_8k/node1_capture/worker_process_128115.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/decode_8k/node1_capture/worker_process_128115.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
21.0,419492223,12972,32338.3,9440.0,1780,36595390,322426.6,cudaMemcpyAsync
11.6,230583357,58916,3913.8,3350.0,2500,3290150,22466.7,cudaLaunchKernel
11.3,225522517,39,5782628.6,82780.0,35180,217739927,34835175.0,cuModuleLoadData
11.0,220399777,272,810293.3,380.0,220,193055047,11765681.2,cuKernelGetFunction
9.0,178800806,5589,31991.6,19200.0,3200,54406289,730736.8,cudaStreamSynchronize
6.6,130884090,32123,4074.5,3580.0,2340,3219280,20418.7,cuLaunchKernelEx
4.2,83511447,24,3479643.6,2498155.0,57000,26595599,5231947.0,cuMemExportToShareableHandle
3.5,70550189,124,568953.1,183835.0,50250,7189260,971555.0,cuMemSetAccess
3.5,68899270,31,2222557.1,1798640.0,55760,6330270,1537875.8,cuLibraryLoadData
2.7,53547459,2,26773729.5,26773729.5,20690,53526769,37834511.3,cudaDeviceSynchronize
2.6,51307979,36193,1417.6,850.0,360,68630,1372.1,cudaEventQuery
1.6,32736990,35133,931.8,820.0,370,24590,653.4,cudaStreamWaitEvent
1.5,29301290,4708,6223.7,5070.0,2990,3133000,53048.0,cudaLaunchKernelExC_v11060
1.4,26947010,28419,948.2,540.0,330,207230,1515.8,cudaEventRecord
1.3,26699799,24,1112491.6,711150.0,58270,5899259,1307796.3,cuMemImportFromShareableHandle
1.1,21815720,203,107466.6,2940.0,1700,5592190,505537.5,cudaHostAlloc
1.0,20422270,84,243122.3,152560.0,3330,2721590,313552.1,cudaMalloc
0.7,13239449,128,103433.2,1335.0,880,1850029,257152.7,cudaStreamCreateWithPriority
0.6,12948900,36644,353.4,280.0,160,252680,1391.9,cudaStreamIsCapturing_v10000
0.6,12451269,14470,860.5,820.0,350,34570,690.1,cudaEventRecordWithFlags_v11010
0.5,9973870,86,115975.2,41430.0,7800,1773220,248940.9,cuMemCreate
0.5,9186800,11369,808.1,820.0,320,21760,525.8,cudaGetFuncBySymbol_v11000
0.4,8794020,58916,149.3,120.0,80,19900,248.3,cuKernelGetName
0.4,8277310,20799,398.0,300.0,160,19690,497.8,cudaStreamGetCaptureInfo_v12030
0.3,6008610,108,55635.3,24765.0,1120,1473750,154268.5,cuMemMap
0.2,4522610,2,2261305.0,2261305.0,63910,4458700,3107585.8,cuMemRelease
0.2,3534060,26,135925.4,133520.0,1470,507820,120386.5,cudaFree
0.1,2897990,4233,684.6,470.0,190,22370,694.6,cudaEventCreateWithFlags
0.1,2545090,6792,374.7,190.0,120,299970,5845.6,cudaThreadExchangeStreamCaptureMode_v10010
0.1,2376900,4126,576.1,410.0,210,30720,802.8,cudaEventDestroy
0.1,1490670,115,12962.3,190.0,80,395700,60624.0,cuMemGetAllocationGranularity
0.1,1431660,18,79536.7,13470.0,2560,631720,170933.0,cudaStreamCreateWithFlags
0.1,1053570,272,3873.4,3180.0,2400,33660,3146.3,cuLaunchKernel
0.0,815710,2318,351.9,290.0,70,16840,559.6,cuGetProcAddress_v2
0.0,513750,68,7555.1,2410.0,1460,32610,9719.9,cudaMemsetAsync
0.0,485610,108,4496.4,2155.0,660,52380,8089.7,cuMemAddressReserve
0.0,415340,6,69223.3,45120.0,30300,192430,61457.4,cudaMemPoolCreate_v11020
0.0,142370,67,2124.9,1640.0,410,8890,1761.9,cuLibraryGetKernel
0.0,57050,3,19016.7,17550.0,17200,22300,2848.8,cudaMemGetInfo
0.0,43730,93,470.2,180.0,140,12870,1346.2,cudaGetDriverEntryPointByVersion_v12050
0.0,29030,4,7257.5,7185.0,4330,10330,3239.8,cudaStreamDestroy
0.0,19470,1,19470.0,19470.0,19470,19470,0.0,cudaProfilerStart
0.0,15630,23,679.6,260.0,80,2830,851.0,cudaGetDeviceProperties_v12000
0.0,14150,5,2830.0,230.0,170,13270,5836.2,cuModuleGetLoadingMode
0.0,11660,6,1943.3,1940.0,1800,2080,114.3,cudaMemPoolSetAttribute_v11020
0.0,8650,7,1235.7,1340.0,420,2140,557.4,cuInit

