
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/long_prefill_512k/node1_capture/worker_process_164294.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/long_prefill_512k/node1_capture/worker_process_164294.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/long_prefill_512k/node1_capture/worker_process_164294.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.8,8120775821,7582,1071059.9,35920.0,2090,202781686,12014204.6,cudaMemcpyAsync
45.1,7354002464,71,103577499.5,106113708.0,5450,195025087,57041255.3,cudaEventSynchronize
1.0,161042438,4861,33129.5,19450.0,3690,54403290,780973.9,cudaStreamSynchronize
0.8,135883878,11405,11914.4,4040.0,2770,48008009,464314.2,cudaLaunchKernel
0.5,88142840,38,2319548.4,1912845.0,67700,6794560,1725409.7,cuLibraryLoadData
0.5,79233439,24,3301393.3,2868130.0,682080,14279999,2775564.9,cuMemExportToShareableHandle
0.4,60615730,116,522549.4,214655.0,48380,4205620,729178.4,cuMemSetAccess
0.3,56733449,52,1091027.9,67340.0,29900,52287529,7239164.3,cuModuleLoadData
0.3,51007690,3695,13804.5,350.0,210,41946380,695738.4,cuKernelGetFunction
0.2,36867339,6606,5580.9,4000.0,2920,4113420,56619.6,cuLaunchKernelEx
0.2,34368420,99,347155.8,172450.0,4080,3935640,590672.9,cudaMalloc
0.1,24473070,78,313757.3,41865.0,6590,2703330,589045.1,cuMemCreate
0.1,18000620,417,43167.0,3020.0,1880,5367910,335240.2,cudaHostAlloc
0.1,16045329,24,668555.4,383890.0,99500,3256360,717267.3,cuMemImportFromShareableHandle
0.1,15250730,3695,4127.4,3760.0,2880,434010,7273.4,cuLaunchKernel
0.1,11721098,1216,9639.1,4480.0,3130,3196649,104935.5,cudaLaunchKernelExC_v11060
0.1,10819550,128,84527.7,1265.0,870,891850,161749.6,cudaStreamCreateWithPriority
0.0,7260069,3675,1975.5,1590.0,360,91590,2171.6,cudaEventQuery
0.0,5863480,100,58634.8,24385.0,1110,1214720,141289.7,cuMemMap
0.0,3855880,3177,1213.7,850.0,340,25560,1110.1,cudaStreamWaitEvent
0.0,3807890,2997,1270.6,620.0,340,38290,1604.4,cudaEventRecord
0.0,3599490,27,133314.4,116500.0,3830,338710,98463.0,cudaFree
0.0,3560620,9400,378.8,300.0,160,275390,2860.9,cudaStreamIsCapturing_v10000
0.0,2338830,2133,1096.5,730.0,320,133600,3110.1,cudaEventRecordWithFlags_v11010
0.0,2199360,16,137460.0,19345.0,2460,984650,296429.0,cudaStreamCreateWithFlags
0.0,1969870,11397,172.8,120.0,80,22840,313.5,cuKernelGetName
0.0,1672150,196,8531.4,6085.0,1720,67430,10577.0,cudaMemsetAsync
0.0,1498460,106,14136.4,290.0,80,324200,62055.7,cuMemGetAllocationGranularity
0.0,1375400,2619,525.2,370.0,160,21070,774.9,cudaStreamGetCaptureInfo_v12030
0.0,1343070,2,671535.0,671535.0,70850,1272220,849496.9,cuMemRelease
0.0,1290860,1316,980.9,760.0,360,21780,1313.0,cudaGetFuncBySymbol_v11000
0.0,1082100,2,541050.0,541050.0,26240,1055860,728051.3,cudaDeviceSynchronize
0.0,858290,1008,851.5,180.0,130,253880,11043.3,cudaThreadExchangeStreamCaptureMode_v10010
0.0,796930,100,7969.3,2275.0,570,174420,23125.4,cuMemAddressReserve
0.0,771800,2318,333.0,290.0,70,9990,327.5,cuGetProcAddress_v2
0.0,465560,338,1377.4,850.0,250,31760,2419.5,cudaEventDestroy
0.0,459960,445,1033.6,570.0,190,17780,1247.2,cudaEventCreateWithFlags
0.0,268860,5,53772.0,58980.0,41330,63060,9546.7,cudaMemPoolCreate_v11020
0.0,221240,95,2328.8,1790.0,330,15340,2243.1,cuLibraryGetKernel
0.0,167330,1,167330.0,167330.0,167330,167330,0.0,cudaProfilerStart
0.0,81300,3,27100.0,22060.0,17740,41500,12656.4,cudaMemGetInfo
0.0,42690,93,459.0,180.0,140,12240,1283.1,cudaGetDriverEntryPointByVersion_v12050
0.0,31380,4,7845.0,7580.0,4510,11710,3667.5,cudaStreamDestroy
0.0,11670,5,2334.0,2120.0,1950,2770,398.3,cudaMemPoolSetAttribute_v11020
0.0,10300,5,2060.0,230.0,100,9040,3912.3,cuModuleGetLoadingMode
0.0,10280,22,467.3,285.0,90,1250,378.7,cudaGetDeviceProperties_v12000
0.0,9550,7,1364.3,1170.0,470,3200,890.8,cuInit

