
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/prefill_128k/node1_capture/worker_process_120961.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/prefill_128k/node1_capture/worker_process_120961.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/prefill_128k/node1_capture/worker_process_120961.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.8,1246258458,5710,218258.9,67380.0,2140,81097408,3232978.5,cudaMemcpyAsync
26.2,841991026,23,36608305.5,44490749.0,5960,70988679,26888334.6,cudaEventSynchronize
7.2,231083936,971,237985.5,380.0,220,223251706,7166271.8,cuKernelGetFunction
5.0,161593167,4813,33574.3,19500.0,3070,54405789,785391.8,cudaStreamSynchronize
4.9,156135818,24,6505659.1,3990505.0,143010,22073359,6564106.7,cuMemExportToShareableHandle
3.9,125803598,3449,36475.4,4260.0,2720,71514239,1238024.5,cudaLaunchKernel
2.9,94455767,116,814273.9,323425.0,49150,5349239,1087805.6,cuMemSetAccess
2.7,87785788,38,2310152.3,1971070.0,54890,6717970,1684662.7,cuLibraryLoadData
2.6,84129090,99,849788.8,326170.0,3520,5468970,1094171.8,cudaMalloc
1.0,32311910,78,414255.3,102715.0,8290,2241130,573793.1,cuMemCreate
0.8,26448219,24,1102009.1,508375.0,54760,6283780,1447682.3,cuMemImportFromShareableHandle
0.7,24018120,2190,10967.2,4180.0,3020,10208040,225958.0,cuLaunchKernelEx
0.6,17786480,100,177864.8,48760.0,1110,3067280,465346.0,cuMemMap
0.5,16903970,415,40732.5,2950.0,1750,6055130,339878.4,cudaHostAlloc
0.5,16246259,316,51412.2,5960.0,3550,10701409,622257.1,cudaLaunchKernelExC_v11060
0.3,10998090,128,85922.6,1910.0,880,779680,159142.6,cudaStreamCreateWithPriority
0.1,4647100,27,172114.8,137380.0,3970,1078990,206528.3,cudaFree
0.1,4468099,971,4601.5,4040.0,2780,33110,2890.3,cuLaunchKernel
0.1,4433180,52,85253.5,68535.0,33420,235310,47513.0,cuModuleLoadData
0.1,2577480,6520,395.3,330.0,160,261610,3250.1,cudaStreamIsCapturing_v10000
0.1,2560310,1071,2390.6,2130.0,430,24900,2034.9,cudaEventQuery
0.1,2116410,16,132275.6,17920.0,2360,1571340,388476.9,cudaStreamCreateWithFlags
0.0,1595580,1305,1222.7,920.0,400,19010,1015.8,cudaStreamWaitEvent
0.0,1517990,1173,1294.1,680.0,340,22990,1383.0,cudaEventRecord
0.0,1398160,106,13190.2,250.0,80,323180,58114.3,cuMemGetAllocationGranularity
0.0,1244480,2,622240.0,622240.0,80990,1163490,765443.1,cuMemRelease
0.0,1015310,100,10153.1,6065.0,1930,70340,14141.7,cudaMemsetAsync
0.0,886770,789,1123.9,860.0,320,21140,1260.5,cudaEventRecordWithFlags_v11010
0.0,819630,2318,353.6,290.0,80,15170,536.1,cuGetProcAddress_v2
0.0,782710,100,7827.1,1925.0,610,198150,24519.9,cuMemAddressReserve
0.0,749940,520,1442.2,215.0,130,307090,17086.4,cudaThreadExchangeStreamCaptureMode_v10010
0.0,732950,3441,213.0,130.0,80,16370,459.4,cuKernelGetName
0.0,626600,1083,578.6,410.0,160,13910,698.7,cudaStreamGetCaptureInfo_v12030
0.0,545220,500,1090.4,810.0,380,21720,1560.6,cudaGetFuncBySymbol_v11000
0.0,428220,95,4507.6,1570.0,410,154310,15827.9,cuLibraryGetKernel
0.0,294810,5,58962.0,58020.0,43960,75160,12651.7,cudaMemPoolCreate_v11020
0.0,229380,255,899.5,480.0,190,11780,1171.4,cudaEventCreateWithFlags
0.0,161780,146,1108.1,780.0,250,27680,2322.1,cudaEventDestroy
0.0,140770,2,70385.0,70385.0,28380,112390,59404.0,cudaDeviceSynchronize
0.0,60900,3,20300.0,21320.0,17890,21690,2095.3,cudaMemGetInfo
0.0,45820,93,492.7,200.0,140,12420,1299.3,cudaGetDriverEntryPointByVersion_v12050
0.0,30640,4,7660.0,7205.0,4580,11650,3516.7,cudaStreamDestroy
0.0,19180,1,19180.0,19180.0,19180,19180,0.0,cudaProfilerStart
0.0,12390,5,2478.0,270.0,140,11050,4798.1,cuModuleGetLoadingMode
0.0,10990,7,1570.0,1460.0,470,3720,1051.9,cuInit
0.0,10990,5,2198.0,2420.0,910,2790,760.2,cudaMemPoolSetAttribute_v11020
0.0,9830,22,446.8,310.0,80,1140,354.3,cudaGetDeviceProperties_v12000

