Generating SQLite file /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp4_batched_decode/vllm_profile.1.sqlite from /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp4_batched_decode/vllm_profile.1.nsys-rep
Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp4_batched_decode/vllm_profile.1.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     73.0   41,918,838,997    114,400  366,423.4  415,632.0    16,256  32,937,987    340,494.5  ncclDevKernel_AllReduce_bf16_RING(ncclDevKernelArgsStorage<(unsigned long)4096>)                    
     13.1    7,519,926,957    108,160   69,526.0   52,800.0     8,896     770,112     72,719.5  fused_moe_kernel                                                                                    
      3.1    1,804,132,273    289,752    6,226.5    3,872.0     1,888     172,096      5,077.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      1.9    1,089,684,027     14,532   74,985.1   75,168.0    54,976      82,112      3,660.2  _fwd_grouped_kernel_stage1                                                                          
      0.8      476,021,718      2,080  228,856.6  253,216.5    29,920     729,440     91,151.5  ncclDevKernel_AllGather_RING(ncclDevKernelArgsStorage<(unsigned long)4096>)                         
      0.8      446,453,968      4,264  104,703.1   56,512.5    15,360     382,367    113,769.2  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Par…
      0.6      320,432,561    110,240    2,906.7    2,176.0     1,856      52,352      5,567.8  std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kern…
      0.5      286,834,612     67,320    4,260.8    4,256.0     3,712       5,728        199.8  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_32x32_128x1_tn_align8>(T1::Params)  
      0.5      284,818,919     54,080    5,266.6    1,600.0     1,280     244,736     29,424.5  void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, int, (int)8, (bool)0>(T1 *, const T1 *, long, int…
      0.5      268,061,717      2,084  128,628.5  129,408.5     4,288     175,808     15,189.4  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_tn_align8>(T1::Par…
      0.5      259,565,311     40,880    6,349.4    6,336.0     3,040       7,744        322.6  fused_recurrent_kda_packed_decode_kernel                                                            
      0.4      207,262,182     81,704    2,536.7    1,856.0     1,248      13,824      1,639.0  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat1…
      0.4      202,462,136    108,440    1,867.0    1,248.0     1,056       8,704      1,084.8  void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vl…
      0.3      197,861,197      2,080   95,125.6   95,600.5    13,536     187,744     13,575.1  _gumbel_sample_kernel                                                                               
      0.3      181,664,559     53,040    3,425.0    3,360.0     3,040      16,160        728.5  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)  
      0.3      180,421,836        252  715,959.7  783,535.5     6,016     883,842    252,380.6  void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)192, (int)128, (int)64, (int)8, (bool)0, …
      0.3      154,670,537        720  214,820.2  239,391.5     4,480     258,177     74,570.7  chunk_gated_delta_rule_fwd_kernel_h_blockdim64                                                      
