Generating SQLite file /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp4_decode/vllm_profile.1.sqlite from /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp4_decode/vllm_profile.1.nsys-rep
Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp4_decode/vllm_profile.1.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     86.3   41,618,432,382    112,640  369,481.8  409,505.0    16,352  18,995,013    256,967.2  ncclDevKernel_AllReduce_bf16_RING(ncclDevKernelArgsStorage<(unsigned long)4096>)                    
      3.1    1,485,978,585    106,496   13,953.4   15,072.0     8,672     756,864     27,578.8  fused_moe_kernel                                                                                    
      2.1    1,007,217,127    100,156   10,056.5    5,856.0     5,249      20,864      5,016.0  std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv…
      1.8      867,438,009    138,996    6,240.7    4,352.0     2,144     143,456     15,411.3  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      1.6      795,546,866     14,308   55,601.5   55,600.5    52,352      58,592        544.0  _fwd_grouped_kernel_stage1                                                                          
      1.0      504,238,583    134,904    3,737.8    2,368.0     2,016      10,080      2,141.1  std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv…
      0.7      340,359,736      2,048  166,191.3  193,152.5    28,960     459,970     86,030.5  ncclDevKernel_AllGather_RING(ncclDevKernelArgsStorage<(unsigned long)4096>)                         
      0.5      233,313,553    108,544    2,149.5    2,048.0     1,856      53,152      2,009.6  std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kern…
      0.4      195,831,871     53,144    3,684.9    3,648.0     3,360       4,672        149.8  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, floa…
      0.3      146,770,403    108,332    1,354.8    1,152.0     1,024       4,096        423.0  void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vl…
