
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp8_prefill/vllm_profile.1.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp8_prefill/vllm_profile.1.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_single_node/tp8_prefill/vllm_profile.1.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
83.8,25825913106,11624,2221775.0,6735.0,2080,257085357,21864807.2,cudaMemcpyAsync
12.0,3695376498,23,160668543.4,197230688.0,30675610,261921727,91077516.0,cudaEventSynchronize
1.4,433735117,74560,5817.3,3560.0,2390,17896170,183252.8,cudaLaunchKernel
0.7,215997247,59192,3649.1,3350.0,2390,51420,1463.7,cuLaunchKernelEx
0.7,207257104,5,41451420.8,39477448.0,37232400,47857968,4653465.0,cudaProfilerStop
0.4,135343690,176,768998.2,716605.0,119060,2947690,436790.7,cudaMalloc
0.3,95440010,27856,3426.2,3230.0,2450,1559090,9392.7,cuLaunchKernel
0.1,37599800,7304,5147.8,5120.0,3020,89960,3174.5,cudaLaunchKernelExC_v11060
0.1,28718780,20608,1393.6,975.0,390,26780,1115.0,cudaEventRecord
0.1,28516460,23704,1203.0,970.0,490,21990,778.5,cudaStreamWaitEvent
0.1,20175010,3584,5629.2,5480.0,2500,26700,1813.4,cudaMemsetAsync
0.0,11747350,74560,157.6,130.0,80,21230,202.4,cuKernelGetName
0.0,11417320,27856,409.9,360.0,230,82430,1156.0,cuKernelGetFunction
0.0,10723150,16,670196.9,641790.0,106540,1322700,570270.5,cuLibraryLoadData
0.0,10180720,5731,1776.4,1510.0,440,154110,2495.7,cudaEventQuery
0.0,10055240,21328,471.5,430.0,160,36480,549.9,cudaStreamGetCaptureInfo_v12030
0.0,8226950,10304,798.4,750.0,420,48280,735.1,cudaGetFuncBySymbol_v11000
0.0,5793010,6328,915.5,730.0,330,38550,941.2,cudaEventRecordWithFlags_v11010
0.0,4431519,13024,340.3,260.0,170,19860,333.9,cudaStreamIsCapturing_v10000
0.0,2721910,16,170119.4,158945.0,63380,440920,104243.0,cuModuleLoadData
0.0,1832660,176,10412.8,6865.0,2280,72820,11471.4,cudaHostAlloc
0.0,798820,128,6240.8,5670.0,4390,21980,2363.6,cudaStreamSynchronize
0.0,438910,368,1192.7,1240.0,370,18790,1155.9,cudaEventCreateWithFlags
0.0,378510,368,1028.6,905.0,370,13610,1115.1,cudaEventDestroy
0.0,77100,8,9637.5,9170.0,7280,13520,1960.7,cuProfilerStart
0.0,56920,32,1778.8,960.0,440,11450,2061.4,cuLibraryGetKernel

