-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.629s       153.08%        1.629s     166.583us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     662.168ms        62.22%     662.168ms     662.168ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     601.903ms        56.56%     601.903ms      85.498us          7040  
                                       vllm::all_reduce         0.00%     207.980us         0.06%       5.128ms      93.230us     183.705ms        17.26%     183.705ms       3.340ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     116.649ms        10.96%     116.649ms      17.525us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      68.400ms         6.43%      68.400ms      76.940us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      33.465ms         3.14%      33.465ms      11.453us          2922  
                               vllm::moe_forward_shared         0.00%     113.170us         5.15%     429.095ms      16.504ms      32.884ms         3.09%      43.861ms       1.687ms            26  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.422ms         2.67%      28.422ms       3.730us          7620  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.307ms         2.47%      26.307ms       3.836us          6858  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      25.570ms         2.40%      25.570ms       3.799us          6731  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      22.289ms         2.09%      22.289ms       3.815us          5842  
                                               aten::mm         0.06%       4.795ms         0.09%       7.598ms      22.612us      21.007ms         1.97%      21.039ms      62.616us           336  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      17.619ms         1.66%      17.619ms       2.597us          6784  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.598ms         1.18%      12.598ms       3.815us          3302  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.022ms         1.04%      11.022ms       3.312us          3328  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      10.824ms         1.02%      10.824ms      12.176us           889  
