case,groups,purpose,tp,pp,network_provenance,network_mode,configured_network_cap_gbps,nccl_transport_provenance,physical_gpu_indices,max_num_batched_tokens,max_num_seqs,max_num_active_seqs,kv_cache_dtype,kv_cache_memory_bytes,offload_gib_total,prefix_caching,observability_profile,bench,status,requested_input_tokens,requested_output_tokens,concurrency,prompts_requested,warmups,request_rate,burstiness,probe_request_rate,bench_exit_code,completed,failed,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms_raw,p99_ttft_ms_raw,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms_raw,p99_tpot_ms_raw,mean_itl_ms,mean_e2el_ms,actual_input_min,actual_input_max,actual_input_mean,actual_output_min,actual_output_max,actual_output_mean,input_len_exact_match,metric_samples,peak_kv_usage,peak_running,peak_waiting,mean_running,mean_waiting,preemptions_delta,preemptions_metric,prefix_hits_delta,prefix_queries_delta,prefix_hit_metric,prefix_query_metric,offload_bytes_delta,offload_time_delta_s,queue_mean_s_from_hist,prefill_mean_s_from_hist,decode_mean_s_from_hist,inference_mean_s_from_hist,gpu_node_stats_json,metrics_capture_status,p95_reliable,p99_reliable,p95_ttft_ms,p99_ttft_ms,p95_tpot_ms,p99_tpot_ms,prefix_first_ttft_ms,prefix_repeat_ttft_median_ms
tp4_1m_concurrency_extension,v8_full;long_context;concurrency;one_million,Matched 1M TP4 closed-loop c1->c2->c4 progression; safety-gated to distinguish service degradation from memory exhaustion.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,8,,auto,,0,False,full,1m_c1,COMPLETED,1000000,32,1,2,0,inf,,,0,2,0,187.42445432800014,0.010670966108296208,0.34147091546547864,10671.307579211674,93394.8981124995,93394.8981124995,93506.90291764913,93516.8589003291,10.227507629033719,10.227507629033719,10.24420493707904,10.245689142238623,10.227522306459218,93711.95084899955,1000000,1000000,1000000,32,32,32,True,341,0.12289625722180353,1.0,0.0,0.8944281524926686,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,2.0450001102290116e-05,92.02640983299898,0.315690811499735,92.34210064449871,"{""node0"": {""gpu_mem_used_peak_mb"": 90513.0, ""gpu_power_mean_w"": 476.72157624633434, ""gpu_samples"": 1364, ""gpu_sm_clock_mean_mhz"": 2409.192082111437, ""gpu_util_mean_pct"": 89.70894428152492, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_1m_concurrency_extension,v8_full;long_context;concurrency;one_million,Matched 1M TP4 closed-loop c1->c2->c4 progression; safety-gated to distinguish service degradation from memory exhaustion.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,8,,auto,,0,False,full,1m_c2,COMPLETED,1000000,32,2,2,0,inf,,,0,2,0,185.58433542199782,0.010776771624890786,0.34485669199650515,10777.116481582781,139373.6260504993,139373.6260504993,180660.62039855024,184330.57545171032,181.97401491940377,181.97401491940377,336.56301414361104,350.30425851909615,181.97403395160725,145014.82051300083,1000000,1000000,1000000,32,32,32,True,337,0.1551745792514444,2.0,1.0,0.9643916913946587,0.4421364985163205,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,44.34024832999967,92.88838016950103,5.636087877499449,98.52446804700048,"{""node0"": {""gpu_mem_used_peak_mb"": 90513.0, ""gpu_power_mean_w"": 486.3009940652819, ""gpu_samples"": 1348, ""gpu_sm_clock_mean_mhz"": 2420.0215133531156, ""gpu_util_mean_pct"": 90.4406528189911, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_1m_concurrency_extension,v8_full;long_context;concurrency;one_million,Matched 1M TP4 closed-loop c1->c2->c4 progression; safety-gated to distinguish service degradation from memory exhaustion.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,8,,auto,,0,False,full,1m_c4,COMPLETED,1000000,32,4,4,0,inf,,,0,4,0,369.2421386640017,0.01083299976127554,0.3466559923608173,10833.346417267901,231267.51058724948,231339.78343749914,355121.6978610515,366115.1904106121,267.4106213709761,352.7686212258437,353.7583246290817,353.85140061618347,267.41063499998893,239557.23984974975,1000000,1000000,1000000,32,32,32,True,649,0.1551117809595579,2.0,3.0,1.0261941448382126,1.37904468412943,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,134.4276723945004,93.32137593199877,8.282763847500064,101.60413977949884,"{""node0"": {""gpu_mem_used_peak_mb"": 90515.0, ""gpu_power_mean_w"": 500.5917372881356, ""gpu_samples"": 2596, ""gpu_sm_clock_mean_mhz"": 2419.96687211094, ""gpu_util_mean_pct"": 93.7284283513097, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp8_1m_concurrency_extension,v8_full;long_context;concurrency;one_million;tp_compare,Matched 1M TP8 closed-loop c1->c2->c4 progression for direct comparison with TP4; safety-gated.,8,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,0,False,full,1m_c1,COMPLETED,1000000,32,1,2,0,inf,,,0,2,0,150.52006815499772,0.013287264778145758,0.42519247290066425,13287.689970618658,74886.07922750089,74886.07922750089,75082.66743125096,75100.14193825096,12.05341177416314,12.05341177416314,12.06242658057407,12.063227896699484,12.053430322574117,75259.73499249994,1000000,1000000,1000000,32,32,32,True,278,0.12177271170076931,1.0,0.0,0.8705035971223022,0.0,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.8515000192564912e-05,73.52448908850056,0.372433929998806,73.89692301849936,"{""node0"": {""gpu_mem_used_peak_mb"": 89369.0, ""gpu_power_mean_w"": 336.9147427797834, ""gpu_samples"": 2216, ""gpu_sm_clock_mean_mhz"": 2410.6854693140795, ""gpu_util_mean_pct"": 87.34296028880867, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp8_1m_concurrency_extension,v8_full;long_context;concurrency;one_million;tp_compare,Matched 1M TP8 closed-loop c1->c2->c4 progression for direct comparison with TP4; safety-gated.,8,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,0,False,full,1m_c2,COMPLETED,1000000,32,2,2,0,inf,,,0,2,0,148.95635448399844,0.013426751795371368,0.4296560574518838,13427.18145142882,111744.2599119986,111744.2599119986,144880.97650839936,147826.46242807942,177.20815483875003,177.20815483875003,325.8485659871733,339.0610469781442,177.20816580649333,117237.71271199985,1000000,1000000,1000000,32,32,32,True,275,0.15269862032451964,2.0,1.0,0.9490909090909091,0.4290909090909091,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,35.28013301399915,74.37402773800204,5.486711469999136,79.86073920800118,"{""node0"": {""gpu_mem_used_peak_mb"": 89369.0, ""gpu_power_mean_w"": 348.71465454545455, ""gpu_samples"": 2200, ""gpu_sm_clock_mean_mhz"": 2421.898181818182, ""gpu_util_mean_pct"": 87.90863636363636, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp8_1m_concurrency_extension,v8_full;long_context;concurrency;one_million;tp_compare,Matched 1M TP8 closed-loop c1->c2->c4 progression for direct comparison with TP4; safety-gated.,8,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3, 4, 5, 6, 7]",8192,8,,auto,,0,False,full,1m_c4,COMPLETED,1000000,32,4,4,0,inf,,,0,4,0,295.08508610100034,0.013555412280751114,0.43377319298403566,13555.846053944098,184879.4380952486,184934.85591949866,283703.109670798,292475.8268349578,259.495314169374,341.69991609680085,342.3634194887376,342.4296434590571,259.4953231209729,192923.79283449918,1000000,1000000,1000000,32,32,32,True,525,0.15369522563767168,2.0,3.0,1.0304761904761905,1.3485714285714285,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,106.91145909024908,74.4977896092496,8.034197024249806,82.5319866334994,"{""node0"": {""gpu_mem_used_peak_mb"": 89369.0, ""gpu_power_mean_w"": 363.24685353053434, ""gpu_samples"": 4192, ""gpu_sm_clock_mean_mhz"": 2421.9415553435115, ""gpu_util_mean_pct"": 92.33349236641222, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_1m_maxseq4,v8_full;one_million;scheduler_limits,1M c4 scheduler sensitivity with max_num_seqs=4; compare only with identical workload/config.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,4,,auto,,0,False,full,1m_c4,COMPLETED,1000000,32,4,4,0,inf,,,0,4,0,370.3138423370001,0.010801648609073174,0.3456527554903416,10801.994261828666,232342.11362049973,232414.58477200102,356196.1024965989,367189.7588993187,267.5323334999942,352.91814851611446,353.9744059919617,354.0675962693833,267.5323425322741,240635.61595899955,1000000,1000000,1000000,32,32,32,True,650,0.1550771934228693,2.0,3.0,1.0276923076923077,1.3876923076923078,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,135.18045721499948,93.37579755050047,8.283317838499897,101.65911538900036,"{""node0"": {""gpu_mem_used_peak_mb"": 90521.0, ""gpu_power_mean_w"": 498.84209615384617, ""gpu_samples"": 2600, ""gpu_sm_clock_mean_mhz"": 2413.2646153846154, ""gpu_util_mean_pct"": 93.8273076923077, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_1m_maxseq8,v8_full;one_million;scheduler_limits,1M c4 scheduler sensitivity with max_num_seqs=8; compare only with identical workload/config.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,8,,auto,,0,False,full,1m_c4,COMPLETED,1000000,32,4,4,0,inf,,,0,4,0,370.328457833999,0.010801222307881653,0.3456391138522129,10801.567946995505,232363.68779500027,232434.75204899913,356212.73018695205,367205.7467797925,267.45081741128456,352.84174496777155,353.8333028225797,353.91719718387554,267.4508274112668,240654.6631347501,1000000,1000000,1000000,32,32,32,True,652,0.1551745792514444,2.0,3.0,1.0245398773006136,1.3849693251533743,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,135.176693648501,93.37364925475049,8.280399719749767,101.65404897450026,"{""node0"": {""gpu_mem_used_peak_mb"": 90513.0, ""gpu_power_mean_w"": 497.34416027607364, ""gpu_samples"": 2608, ""gpu_sm_clock_mean_mhz"": 2413.125, ""gpu_util_mean_pct"": 93.62921779141104, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_1m_maxseq16,v8_full;one_million;scheduler_limits,1M c4 scheduler sensitivity with max_num_seqs=16; compare only with identical workload/config.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,16,,auto,,0,False,full,1m_c4,COMPLETED,1000000,32,4,4,0,inf,,,0,4,0,370.2137179909987,0.010804569916280777,0.34574623732098486,10804.915662518099,232249.97101749977,232310.65337949985,356109.62819199864,367107.4986591983,267.48001610482584,352.90866883863805,353.7748644919643,353.84776938875154,267.4800286854553,240541.85151674936,1000000,1000000,1000000,32,32,32,True,650,0.15524282213985052,2.0,3.0,1.0246153846153847,1.3846153846153846,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,135.17318744275053,93.36975859150061,8.280785974249739,101.65054456575035,"{""node0"": {""gpu_mem_used_peak_mb"": 90551.0, ""gpu_power_mean_w"": 497.78105, ""gpu_samples"": 2600, ""gpu_sm_clock_mean_mhz"": 2412.9757692307694, ""gpu_util_mean_pct"": 93.60153846153847, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,,
tp4_prefix1m,v8_full;one_million;prefix_cache,1M deterministic prefix-reuse experiment. First request is cold; repeats quantify real cache-hit TTFT rather than projecting from 128K/512K.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,8,,auto,,0,True,full,prefix1m,COMPLETED,1000000,32,1,4,0,inf,,,0,4,0,194.6802505099986,0.02054651146955743,0.6574883670258378,20547.168957924456,48349.466051999116,48287.77722299856,94187.38985259787,94219.27212891798,10.334940096776512,10.337739693568437,10.35332273707266,10.353401476420386,10.334950096758774,48669.84919499919,1000000,1000000,1000000,32,32,32,True,349,0.14606882692790757,1.0,0.0,0.8882521489971347,0.0,0.0,vllm:num_preemptions_total,1998848.0,4000000.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.5892499504843727e-05,46.77985051875021,0.3175358930002403,47.09738641175045,"{""node0"": {""gpu_mem_used_peak_mb"": 90527.0, ""gpu_power_mean_w"": 467.74252865329515, ""gpu_samples"": 1396, ""gpu_sm_clock_mean_mhz"": 2410.618194842407, ""gpu_util_mean_pct"": 89.2528653295129, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,False,False,,,,,94227.24269799801,2613.9973839999584
